,“The Changeling”,Me,“Pieman”,“Magnum Force”
Notes,https://mtgcube.blogspot.com/2012/03/four-player-rotisserie-draft.html,,,
Date,2012-03-23,,,
1,Sol Ring,Time Walk,Ancestral Recall,Black Lotus
2,Mox Jet,Mox Emerald,Mox Sapphire,Umezawa's Jitte
3,Mox Ruby,Fastbond,Mox Pearl,Mana Crypt
4,Tolarian Academy,Time Spiral,Sensei's Divining Top,Skullclamp
5,Mana Vault,Force of Will,Mana Drain,Stoneforge Mystic
6,Tinker,Eternal Witness,"Jace, the Mind Sculptor",Mox Diamond
7,Strip Mine,Timetwister,Snapcaster Mage,Chrome Mox
8,"Emrakul, the Aeons Torn",Frantic Search,Brainstorm,Swords to Plowshares
9,Phyrexian Metamorph,Cryptic Command,Path to Exile,Wheel of Fortune
10,Metalworker,Temporal Manipulation,Library of Alexandria,Land Tax
11,Balance,Fact or Fiction,Counterspell,Mox Opal
12,Mishra's Workshop,Grim Monolith,"Elspeth, Knight-Errant",Karakas
13,Wasteland,Ancestral Vision,Vendilion Clique,Kor Skyfisher
14,Ancient Tomb,Remand,Trinket Mage,Student of Warfare
15,Crucible of Worlds,Time Warp,Mana Leak,Winter Orb
16,Tezzeret the Seeker,Treachery,Mystical Tutor,Tangle Wire
17,Karn Liberated,Birds of Paradise,Wrath of God,"Thalia, Guardian of Thraben"
18,Myr Battlesphere,Cunning Wish,Austere Command,Phyrexian Revoker
19,Tumble Magnet,Gifts Ungiven,Disenchant,City of Traitors
20,Talisman of Dominance,Sakura-Tribe Elder,Force Spike,Yawgmoth's Will
21,Spellskite,Capsize,Baneslayer Angel,Hex Parasite
22,Demonic Tutor,Life from the Loam,Arcane Denial,Scrubland
23,City of Brass,Regrowth,Tundra,Vindicate
24,Lodestone Golem,Nature's Lore,Flooded Strand,Marsh Flats
25,Everflowing Chalice,Mind's Desire,Mindbreak Trap,Godless Shrine
26,Wurmcoil Engine,Sunscape Familiar,Celestial Colonnade,Dark Confidant
27,Mindslaver,Helm of Awakening,Adarkar Wastes,"Isamaru, Hound of Konda"
28,Talisman of Progress,Nature's Claim,Hallowed Fountain,Lingering Souls
29,Trinisphere,Exploration,Oblivion Ring,Armageddon
30,Batterskull,Harrow,Ponder,Hero of Bladehold
31,"Tezzeret, Agent of Bolas",Noble Hierarch,Nevinyrral's Disk,Aether Vial
32,Duplicant,Garruk wildspeaker,Spell Pierce,Thoughtseize
33,Academy Ruins,Tropical Island,Pact of Negation,"Sorin, Lord of Innistrad"
34,Polluted Delta,Windswept Heath,Thirst for Knowledge,Inquisition of Kozilek
35,Underground Sea,Misty Rainforest,Seat of the Synod,Grand Abolisher
36,Watery Grave,Savannah,Gideon Jura,Ethersworn Canonist
37,Azorius Signet,Breeding Pool,Mystic Gate,Ancient Den
38,All is Dust,Flooded Grove,Scalding Tarn,Flagstones of Trokair
39,Voltaic Key,Heartbeat of Spring,Preordain,Dark Ritual
40,Seal of Cleansing,Mirari's Wake,Into the Roil,Duress
41,Revoke Existence,Palinchron,Ratchet Bomb,Spectral Lynx
42,Inkwell Leviathan,Stifle,Consecrated Sphinx,Cataclysm
43,Sphinx of the Steel Wind,Vapor Snag,Lat-Nam's Legacy,Mana Tithe
44,Palladium Myr,Azorius Chancery,Daze,Porcelain Legionnaire
45,Sun Titan,Lonely Sandbar,Day of Judgment,Reveillark
46,Goblin Welder,Temple Garden,Counterbalance,Knight of the White Orchid
47,Volcanic Island,Beast Within,Negate,Orim's Chant
48,Lightning Greaves,Lotus Cobra,Mental Misstep,Abeyance
49,Bloodstained Mire,Horn of Greed,"Teferi, Mage of Zhalfir",Catastrophe
50,Burning Wish,Zuran Orb,Meddling Mage,Blinkmoth Nexus
