,Alex,Dan,Mac,Bobby,Jay
Wins,6,6,1,1,6
Losses,2,2,7,7,2
Date,2019-07-14,,,,
Notes,"""First"" Draft Vintage - From Discord TheKniphoon",,,,
1,Time Vault,Mox Jet,Mox Sapphire,Ancestral Recall,Black Lotus
2,Demonic Tutor,Mox Emerald,Mox Ruby,Time Walk,Mana Vault
3,Vampiric Tutor,Mana Crypt,Tinker,Sol Ring,Mox Pearl
4,Imperial Seal,Library of Alexandria,"Jace, the Mind Sculptor",Force of Will,"Karn, the Great Creator"
5,Dark Confidant,Thoughtseize,"Narset, Parter of Veils",Mana Drain,Grim Monolith
6,Manifold Key,Brainstorm,Ponder,Snapcaster Mage,Voltaic Key
7,Painter's Servant,Dack Fayden,Splinter Twin,True-Name Nemesis,Strip Mine
8,Grindstone,Preordain,Show and Tell,Spell Pierce,Mental Misstep
9,Ancient Tomb,Scalding Tarn,Counterspell,Fastbond,Channel
10,Duress,"Jace, Vryn's Prodigy","Emrakul, the Aeons Torn",Natural Order,Veil of Summer
11,Enlightened Tutor,Inquisition of Kozilek,Daze,Green Sun's Zenith,Tezzeret the Seeker
12,Rest in Peace,Polluted Delta,Volcanic Island,Noble Hierarch,Tropical Island
13,Helm of Obedience,Steam Vents,Mox Diamond,Force of Negation,Misty Rainforest
14,Null Rod,Breeding Pool,Timetwister,Dark Depths,Crucible of Worlds
15,Gitaxian Probe,Flooded Strand,Arid Mesa,Thespian's Stage,Mox Opal
16,Marsh Flats,Verdant Catacombs,Prismatic Vista,Birds of Paradise,Mishra's Workshop
17,Bloodstained Mire,Wooded Foothills,Blightsteel Colossus,Progenitus,Trinisphere
18,Sensei's Divining Top,Sylvan Library,Vendilion Clique,"Rofellos, Llanowar Emissary",Wasteland
19,Dark Ritual,Liliana of the Veil,Tundra,"Edric, Spymaster of Trest",Flooded Grove
20,Hymn to Tourach,Deathrite Shaman,Plateau,"Ashiok, Dream Render",Tolarian Academy
21,Stony Silence,Collector Ouphe,Phyrexian Revoker,Scapeshift,Spell Snare
22,Ancient Grudge,Underground Sea,Abrade,Terastodon,"Urza, Lord High Artificer"
23,Swords to Plowshares,Tarmogoyf,Mana Leak,Prowling Serpopard,Whir of Invention
24,Karakas,Fiery Islet,City of Brass,Mist-Syndicate Naga,Lotus Petal
25,Silent Clearing,Tireless Tracker,Balance,Serum Visions,Remand
26,Monastery Mentor,Dreadhorde Arcanist,"Teferi, Time Raveler",Flash,Frantic Search
27,Windswept Heath,Negate,Sneak Attack,Sleight of Hand,"Emrakul, the Promised End"
28,Scrubland,Pyroblast,Red Elemental Blast,Elvish Spirit Guide,Upheaval
29,Nurturing Peatland,Waterlogged Grove,Fact or Fiction,Simic Growth Chamber,Thirst for Knowledge
30,"Urborg, Tomb of Yawgmoth",Sorcerous Spyglass,Seat of the Synod,Lotus Cobra,Memory Jar
31,Godless Shrine,Treasure Cruise,Pestermite,Crop Rotation,Mycosynth Lattice
32,Fatal Push,Thought Scour,Mystical Tutor,Trygon Predator,Lion's Eye Diamond
33,Cabal Therapy,Nature's Claim,Steel Sabotage,Primeval Titan,City of Traitors
34,Horizon Canopy,Abrupt Decay,Lightning Greaves,Worldspine Wurm,Echo of Eons
35,Containment Priest,Toxic Deluge,Wheel of Fortune,"Venser, Shaper Savant",Hexdrinker
36,Bitterblossom,Assassin's Trophy,Path to Exile,Vapor Snag,Scroll Rack
37,Sign in Blood,Kolaghan's Command,Lightning Bolt,Carnage Tyrant,Nexus of Fate
38,Vindicate,Ensnaring Bridge,Cryptic Command,Deep Analysis,Mana Confluence
39,Street Wraith,"Leovold, Emissary of Trest",Supreme Verdict,Shadow of Doubt,Natural State
40,Concealed Courtyard,Wrenn and Six,Deceiver Exarch,Rancor,Search for Azcanta
41,Orim's Chant,Goblin Rabblemaster,"Kiki-Jiki, Mirror Breaker",Reflecting Pool,Cyclonic Rift
42,Caves of Koilos,Bayou,Sunbaked Canyon,Hinterland Harbor,Yavimaya Coast
43,Tidehollow Sculler,Badlands,Ghost Quarter,Cold-Eyed Selkie,Walking Ballista
44,Collective Brutality,Mesmeric Fiend,Shivan Reef,Winter Orb,Ancient Stirrings
45,Spirit of the Labyrinth,Liliana's Triumph,Chrome Mox,Dispel,Expedition Map
