,sti1983,trashboat6824,paralos,hyphenated,thekniphoon,sphagan,seefel,masterplum
Date,2024-07-16,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1tBBScQBnj92TvRumrXyZNRyNw2FdLT02jGHpQiGN5gA/edit?gid=0#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Ancestral Recall,Black Lotus,Mox Sapphire,Mana Crypt,Mox Pearl,Mox Jet,Sol Ring,Mox Ruby
2,Force of Negation,Force of Will,Demonic Tutor,Urza's Saga,White Plume Adventurer,Mox Emerald,Time Vault,Time Walk
3,Mental Misstep,Hullbreacher,Vampiric Tutor,"Karn, the Great Creator","Ragavan, Nimble Pilferer",Thoughtseize,Tinker,Mox Diamond
4,Gitaxian Probe,Spell Pierce,Orcish Bowmasters,Mana Vault,Ancient Tomb,"Oko, Thief of Crowns",The One Ring,Strip Mine
5,Snapcaster Mage,"Teferi, Time Raveler",Ponder,Chrome Mox,Forth Eorlingas!,Inquisition of Kozilek,Grim Monolith,Misty Rainforest
6,Preordain,Flooded Strand,Bloodstained Mire,Library of Alexandria,Swords to Plowshares,Polluted Delta,Mishra's Workshop,Scalding Tarn
7,Mystical Tutor,Balance,Entomb,"Minsc & Boo, Timeless Heroes",Arid Mesa,Verdant Catacombs,City of Traitors,Windswept Heath
8,Lorien Revealed,Vendilion Clique,Thassa's Oracle,Red Elemental Blast,Pyroblast,Reanimate,Timetwister,Wooded Foothills
9,"Jace, Vryn's Prodigy",Karakas,Psychic Frog,Channel,Solitude,Grief,Mox Opal,Fastbond
10,Marsh Flats,Dack Fayden,Dark Ritual,"Laelia, the Blade Reforged",Fury,Underground Sea,Tolarian Academy,"Tamiyo, Inquisitive Student"
11,Prismatic Vista,"Comet, Stellar Pup",Duress,Caves of Chaos Adventurer,Seasoned Dungeoneer,Tropical Island,Lotus Petal,Wasteland
12,Brain Freeze,Counterspell,Mana Drain,Lightning Bolt,Broadside Bombardiers,"Sheoldred, the Apocalypse",Lion's Eye Diamond,Brainstorm
13,Tasha's Hideous Laughter,Volcanic Island,Watery Grave,"Emrakul, the Aeons Torn",Plateau,Breeding Pool,Painter's Servant,Steam Vents
14,Shelldock Isle,"Lutri, the Spellchaser",Brazen Borrower,Fable of the Mirror-Breaker,Skyclave Apparition,Veil of Summer,Grindstone,Prismatic Ending
15,Undercity Sewers,"Narset, Parter of Veils",Tishana's Tidebinder,Hexdrinker,Ocelot Pride,Faerie Mastermind,Stoneforge Mystic,Endurance
16,Ruin Crab,Stony Silence,Demonic Consultation,Ignoble Hierarch,"Gut, True Soul Zealot",Green Sun's Zenith,Dismember,Collector Ouphe
17,Hedron Crab,Tundra,Dauthi Voidwalker,Noble Hierarch,Esper Sentinel,"Grist, the Hunger Tide",Sensei's Divining Top,Once Upon a Time
18,Thought Scour,"Ashiok, Dream Render","Atraxa, Grand Unifier","Boseiju, Who Endures",Generous Plunderer,Archon of Cruelty,Kaldra Compleat,Wrenn and Six
19,"Otawara, Soaring City",March of Otherworldly Light,Animate Dead,Undermountain Adventurer,"Ulamog, the Infinite Gyre",Show and Tell,"Urza, Lord High Artificer",Taiga
20,Dress Down,"Kozilek, Butcher of Truth",Underground River,Chain Lightning,"Inti, Seneschal of the Sun",Exhume,"Emry, Lurker of the Loch","Oboro, Palace in the Clouds"
21,Darkslick Shores,Path to Exile,Imperial Seal,Stomping Ground,Sacred Foundry,Delighted Halfling,Voltaic Key,Wheel of Fortune
22,Daze,An Offer You Can't Refuse,Consider,Abrade,Elegant Parlor,Griselbrand,Manifold Key,Zagoth Triome
23,Submerge,Hydroblast,Collective Brutality,Nature's Claim,Galvanic Discharge,Sylvan Library,Lodestone Golem,Springheart Nantuko
24,Sink into Stupor,Blue Elemental Blast,Tainted Pact,Pest Infestation,Shatterskull Smashing,Troll of Khazad-dum,Mystic Forge,Consign to Memory
25,Merchant Scroll,Celestial Colonnade,City of Brass,Mana Confluence,Witch Enchanter,Bayou,Force of Vigor,Eternal Witness
26,Mystical Dispute,Castle Vantress,Dark Depths,"Ulamog, the Ceaseless Hunger",Containment Priest,Flash,Patchwork Automaton,Deathrite Shaman
27,Remand,Raugrin Triome,Thespian's Stage,Shattering Spree,Inspiring Vantage,Abrupt Decay,Inventors' Fair,Territorial Kavu
28,Subtlety,Time Spiral,Careful Study,Birds of Paradise,Sunbaked Canyon,Assassin's Trophy,Forensic Gadgeteer,Ramunap Excavator
29,Nihil Spellbomb,Invert Polarity,Defense Grid,Mawloc,"Thalia, Guardian of Thraben",Shifting Woodland,Phyrexian Metamorph,"Bristly Bill, Spine Sower"
30,"Ashiok, Nightmare Weaver",Hallowed Fountain,Toxic Deluge,Goblin Rabblemaster,Den of the Bugbear,"Takenuma, Abandoned Mire",Portal to Phyrexia,Savannah
31,Fractured Sanity,Thundering Falls,Sunken Ruins,Pick Your Poison,Mother of Runes,Overgrown Tomb,Relic of Progenitus,Commercial District
32,Soul-Guide Lantern,Dig Through Time,Life // Death,Mycosynth Lattice,Smuggler's Copter,Dance of the Dead,Tormod's Crypt,"Nissa, Resurgent Animist"
33,Mesmeric Orb,Memory Deluge,Leyline of the Void,Pithing Needle,"Phlage, Titan of Fire's Fury","Ghalta, Stampede Tyrant",Spire of Industry,Leyline Binding
34,Gemstone Caverns,Swan Song,Null Rod,Cragcrown Pathway,"Ajani, Nacatl Pariah",Emperor of Bones,Adarkar Wastes,"Omnath, Locus of Creation"
35,Archive Trap,Farewell,Gemstone Mine,"Sokenzan, Crucible of Defiance","Kataki, War's Wage",Strix Serenade,Seachrome Coast,Ancient Grudge
36,Snap,Archmage's Charm,Chain of Vapor,Karplusan Forest,Faerie Macabre,"Vohar, Vodalian Desecrator",The Reality Chip,Collective Restraint
37,Ipnu Rivulet,Reprieve,River of Tears,Grove of the Burnwillows,"Phelia, Exuberant Shepherd",Sheoldred,Lion Sash,"Titania, Protector of Argoth"
38,Hurkyl's Recall,Meltdown,Helm of Obedience,Fire-Lit Thicket,Palace Jailer,Energy Flux,The Mightstone and Weakstone,Meticulous Archive
39,"Jace, the Perfected Mind",Fiery Islet,Clearwater Pathway,Chalice of the Void,Archon of Emeria,Woodfall Primus,Glaring Fleshraker,Angel's Grace
40,Steel Sabotage,Shivan Reef,"Etali, Primal Conqueror",Strangle,Invasion of Gobakhan,"Ojer Kaslem, Deepest Growth",Eldrazi Temple,Nishoba Brawler
41,Back to Basics,Wear // Tear,"Urborg, Tomb of Yawgmoth",Thought-Knot Seer,Elite Spellbinder,Hedge Maze,Buried Ruin,Miscast
42,Massacre,Supreme Verdict,Dread Fugue,Aether Hub,Needleverge Pathway,"Leovold, Emissary of Trest",Crystal Vein,Haywire Mite
43,Glimpse the Unthinkable,No More Lies,Vampire Hexmage,Court of Garenbrig,Cathar Commando,Revitalizing Repast,Thoughtcast,Spara's Headquarters
44,Commandeer,Dovin's Veto,Flusterstorm,Scavenging Ooze,Thraben Inspector,Manglehorn,Thought Monitor,Tribal Flames
45,Chancellor of the Spires,Fateful Absence,Bitter Triumph,Copperline Gorge,Gideon of the Trials,Cephalid Coliseum,Darksteel Citadel,Stubborn Denial
46,Stifle,Fractured Identity,Fell the Profane,Thief of Existence,Doorkeeper Thrull,Nimble Obstructionist,Razortide Bridge,Tireless Tracker
