,Mason,Chad,Davy,Jim,Christ,Wes,Leo,Crayton
Date,2017-12-31,,,,,,,
Notes,Sent from Mason via email,,,,,,,
1,Black Lotus,Ancestral Recall,Sol Ring,Mox Sapphire,Time Walk,Mana Crypt,Mox Ruby,Mox Jet
2,Strip Mine,"Jace, the Mind sculptor",Demonic Tutor,Time Vault,Timetwister,Mishra's Workshop,Mox Pearl,Mox Emerald
3,Wasteland,Mana Vault,Vampiric Tutor,Force of Will,Brainstorm,Mox Opal,Library of Alexandria,Bazaar of Baghdad
4,Thoughtseize,Mind Twist,Birthing Pod,Tinker,Ponder,Lotus Bloom,Grim Monolith,Faithless Looting
5,Inquisition of Kozilek,"Ashiok, Nightmare Weaver",Vizier of Remedies,Mana Drain,Preordain,Lotus Petal,Basalt Monolith,Lion's Eye Diamond
6,Duress,True-name Nemesis,Sun Titan,Tezzeret the Seeker,Mental Misstep,Chrome Mox,Voltaic Key,Mana Confluence
7,Fastbond,Phyrexian Metamorph,Devoted Druid,Dack Fayden,Gush,Thran Dynamo,Mox Diamond,Griselbrand
8,Life from the Loam,Snapcaster Mage,Murderous Redcap,Show and Tell,Daze,Coalition Relic,Tolarian Academy,Reanimate
9,Crucible of Worlds,Counterspell,Viscera Seer,Sneak Attack,Gitaxian Probe,Mind Stone,"Emrakul, the Aeons Torn",Entomb
10,Bayou,Polluted Delta,Windswept Heath,Enlightened Tutor,Tropical Island,Darksteel Ingot,Metalworker,Animate Dead
11,Verdant Catacombs,Flooded Strand,Marsh Flats,Blightsteel Colossus,Misty Rainforest,Goblin Charbelcher,Scalding Tarn,Unmask
12,Overgrown Tomb,Underground Sea,Bloodstained Mire,Arid Mesa,Wooded Foothills,Coldsteel Heart,Volcanic Island,Exhume
13,Abrupt Decay,Watery Grave,Savannah,Tundra,Breeding Pool,Hallowed Fountain,Flooded Grove,"Elesh Norn, Grand Cenobite"
14,Maelstrom Pulse,Umezawa's Jitte,Temple Garden,Plateau,Steam Vents,Gifts Ungiven,Botanical Sanctum,Terastodon
15,Green Sun's Zenith,Glen Elendra Archmage,Scrubland,Spell Pierce,Scattered Groves,Talisman of Progress,Channel,City of Brass
16,Ramunap Excavator,Godless Shrine,Canopy Vista,Balance,Fetid Pools,Stasis,Oath of Druids,Unburial Rites
17,Courser of Kruphix,Baleful Strix,Chord of Calling,Misdirection,Pact of Negation,Clock of Omens,Hinterland Harbor,Badlands
