,SamLL,Lyra,Russ,Sam K,Logan,Harry,Karl,Matt
Date,2024-06-06,,,,,,,
1,Black Lotus,Ancestral Recall,Time Walk,Mox Sapphire,Mana Crypt,Mox Pearl,Mox Ruby,Sol Ring
2,Hullbreacher,Strip Mine,Force of Will,Time Vault,White Plume Adventurer,Urza's Saga,Mox Emerald,Mox Jet
3,Orcish Bowmasters,Force of Negation,Library of Alexandria,Mana Vault,Ancient Tomb,Mox Diamond,"Ragavan, Nimble Pilferer",Demonic Tutor
4,Timetwister,Polluted Delta,Scalding Tarn,Mana Drain,Chrome Mox,Tolarian Academy,Thoughtseize,The One Ring
5,Vampiric Tutor,Misty Rainforest,Flooded Strand,"Karn, The Great Creator",Arid Mesa,Painter's Servant,Prismatic Vista,Duress
6,Fastbond,Lotus Petal,Spell Pierce,Tropical Island,Wooded Foothills,Mox Opal,Bloodstained Mire,Grief
7,Lion's Eye Diamond,Lurrus of the Dream-Den,Spellseeker,Tinker,"Minsc & Boo, Timeless Heroes","Urza, Lord High Artificer",Forth Eorlingas!,Dark Ritual
8,"Narset, Parter of Veils",Gush,Remand,"Oko, Thief of Crowns",Windswept Heath,Karakas,Verdant Catacombs,"Sheoldred, the Apocalypse"
9,Underground Sea,Tundra,Thassa's Oracle,Entomb,Swords to Plowshares,Gitaxian Probe,Snapcaster Mage,Reanimate
10,Mystical Tutor,Brainstorm,Watery Grave,Bayou,Plateau,Hallowed Fountain,"Laelia, the Blade Reforged","Atraxa, Grand Unifier"
11,Volcanic Island,Counterspell,Inquisition of Kozilek,Ponder,Fable of the Mirror-Breaker,Reprieve,Badlands,Hymn to Tourach
12,Wasteland,Mana Leak,"Lutri, the Spellchaser",Breeding Pool,Stoneforge Mystic,"Teferi, Time Raveler",Steam Vents,Animate Dead
13,Wheel of Fortune,Blood Crypt,Mental Misstep,"Tamiyo, Inquisitive Student",Broadside Bombardiers,Path to Exile,Caves of Chaos Adventurer,Raucous Theater
14,Preordain,Prismatic Ending,Dig Through Time,Subtlety,Solitude,Sensei's Divining Top,Seasoned Dungeoneer,Troll of Khazad-dum
15,Brain Freeze,Lightning Bolt,Minor Misstep,Mishra's Bauble,Fury,Walking Ballista,Daze,Chaos Defiler
16,Crucible of Worlds,Urza's Bauble,Lorien Revealed,Delighted Halfling,"Gut, True Soul Zealot",Trinket Mage,Brazen Borrower,Kolaghan's Command
17,Taiga,Treasure Cruise,Snuff Out,Endurance,Savannah,Retrofitter Foundry,Pyroblast,Mind Twist
18,Imperial Seal,Young Pyromancer,Flusterstorm,Mystical Dispute,Veil of Summer,Candelabra of Tawnos,Red Elemental Blast,Fatal Push
19,Shelldock Isle,Consider,Undercity Sewers,Undermountain Adventurer,City of Traitors,Grim Monolith,Abrade,Archon of Cruelty
