,Talanthalos,jrp,TragicArrogance,sti,west,viashino,Hyphen-ated,lasersloths
Date,2021-05-22,,,,,,,
Notes,https://discord.gg/Jq8GZMdFmu,,,,,,,
Wins,3,1,2,4,4,3,2,2
Losses,4,1,3,2,2,4,3,2
1,Black Lotus,Ancestral Recall,Mox Jet,Mox Sapphire,Time Walk,Mox Ruby,Mana Crypt,Sol Ring
2,Vampiric Tutor,"Oko, Thief of Crowns",Demonic Tutor,Force of Will,Mox Pearl,Strip Mine,Mox Emerald,Time Vault
3,Mana Vault,"Narset, Parter of Veils",Thoughtseize,Dig Through Time,Force of Negation,Wasteland,Tinker,"Karn, the Great Creator"
4,Thassa's Oracle,Daze,Polluted Delta,Mox Diamond,Chrome Mox,Lightning Bolt,Mystical Tutor,Mana Drain
5,Underground Sea,Spell Pierce,Flooded Strand,Scalding Tarn,Library of Alexandria,Pyroblast,Hullbreacher,Misty Rainforest
6,Pact of Negation,Mystical Dispute,Prismatic Vista,Shelldock Isle,"Teferi, Time Raveler",Red Elemental Blast,Timetwister,Grim Monolith
7,Gitaxian Probe,Brainstorm,Inquisition of Kozilek,Mental Misstep,Counterspell,Chain Lightning,Channel,Snapcaster Mage
8,Sleight of Hand,Ponder,Dark Confidant,Preordain,"Jace, Vryn's Prodigy // Jace, Telepath Unbound",Goblin Guide,Tropical Island,"Jace, the Mind Sculptor"
9,Gush,Veil of Summer,Deathrite Shaman,"Emrakul, the Aeons Torn",Volcanic Island,Sulfuric Vortex,Verdant Catacombs,Painter's Servant
10,Bloodstained Mire,Windswept Heath,Marsh Flats,Ancient Tomb,Arid Mesa,Fiery Islet,Imperial Seal,Remand
11,Dark Ritual,Wooded Foothills,Scrubland,Treasure Cruise,"Lutri, the Spellchaser",Tormod's Crypt,Breeding Pool,Mox Opal
12,Fatal Push,Tundra,Phyrexian Revoker,Serum Visions,Opt,Monastery Swiftspear,Blightsteel Colossus,Tolarian Academy
13,Defense Grid,Savannah,Stoneforge Mystic,Show and Tell,Steam Vents,Grafdigger's Cage,Mana Leak,Sensei's Divining Top
14,Street Wraith,Dovin's Veto,Duress,Frantic Search,Hallowed Fountain,Vexing Devil,Miscalculation,Lotus Petal
15,Yawgmoth's Will,Enlightened Tutor,Swords to Plowshares,Negate,Arcane Denial,Eidolon of the Great Revel,Birds of Paradise,Muddle the Mixture
16,Watery Grave,"Iona, Shield of Emeria",Stony Silence,Merchant Scroll,Stifle,Bomat Courier,Noble Hierarch,Transmute Artifact
17,Swan Song,Nature's Claim,Collector Ouphe,High Tide,Karakas,Smash to Smithereens,Vendilion Clique,Flusterstorm
18,Doomsday,Oath of Druids,Containment Priest,Brazen Borrower // Petty Theft,Peek,Price of Progress,True-Name Nemesis,Seat of the Synod
19,Demonic Consultation,Balance,Umezawa's Jitte,Thought Scour,Portent,Boil,Skullclamp,Grindstone
20,Night's Whisper,Spell Snare,Hymn to Tourach,Hydroblast,Cryptic Command,Rift Bolt,Pithing Needle,Basalt Monolith
21,Dark Petition,Ancestral Vision,Bayou,Blue Elemental Blast,Splinter Twin,Rakdos Cackler,Opposition Agent,Mycosynth Lattice
22,Leyline of Sanctity,Sylvan Library,Council's Judgment,Cunning Wish,Deceiver Exarch,Figure of Destiny,Overgrown Tomb,Ensnaring Bridge
23,Chain of Vapor,Dispel,Batterskull,Mental Note,Dack Fayden,Skullcrack,Upheaval,Chalice of the Void
24,Scroll Rack,Annul,"Ashiok, Dream Render",Mystic Sanctuary,Cascade Bluffs,Searing Blaze,Miscast,The Tabernacle at Pendrell Vale
25,Necropotence,Null Rod,Godless Shrine,"Baral, Chief of Compliance",Ethereal Forager,By Force,Mana Confluence,City of Traitors
26,Snuff Out,"Dovin, Hand of Control","Kataki, War's Wage",Sapphire Medallion,Spellskite,Abrade,City of Brass,Sphere of Resistance
27,Careful Study,Supreme Verdict,Deafening Silence,Archmage's Charm,Shivan Reef,Shrine of Burning Rage,Mind Twist,Mishra's Workshop
28,Massacre,Ceremonious Rejection,Archon of Emeria,Time Spiral,Spirebluff Canal,Koth of the Hammer,Wheel of Fortune,Winter Orb
29,Innocent Blood,Disrupt,Kitchen Finks,Mindbreak Trap,Riverglide Pathway // Lavaglide Pathway,Fireblast,Memory Lapse,Darksteel Citadel
30,Predict,Forbidden Orchard,Ethersworn Canonist,Chill,"Kiki-Jiki, Mirror Breaker",Grim Lavamancer,Walking Ballista,Whir of Invention
31,Hope of Ghirapur,Path to Exile,Spirit of the Labyrinth,Submerge,Plateau,Zurgo Bellstriker,Energy Flux,Inventors' Fair
32,Eliminate,Celestial Colonnade,Luminarch Aspirant,Misdirection,Fire // Ice,Flame Rift,Karn Liberated,Mishra's Bauble
33,Unearth,"Jace, Wielder of Mysteries",Nihil Spellbomb,Omniscience,Impulse,Lava Spike,Vault of Whispers,Manifold Key
34,Sunken Hollow,Memory's Journey,Lurrus of the Dream-Den,Brain Freeze,Prismari Command,Skewer the Critics,Tree of Tales,Lodestone Golem
35,Relic of Progenitus,Jace's Defeat,Sanctum Prelate,Cyclonic Rift,Pestermite,Barbarian Ring,Taiga,Academy Ruins
36,Steel Sabotage,Torpor Orb,Skyclave Apparition,Gigadrowse,Rip Apart,Rampaging Ferocidon,Fastbond,Stonecoil Serpent
37,Deathmark,Flashfreeze,"Kambal, Consul of Allocation",Supreme Will,Force Spike,Soul-Scar Mage,"Leovold, Emissary of Trest",Trinisphere
38,Foil,Weather the Storm,Kor Firewalker,Chart a Course,Jwari Disruption // Jwari Ruins,Ingot Chewer,Flooded Grove,Thorn of Amethyst
39,Force of Despair,Hinterland Harbor,Recruiter of the Guard,Hurkyl's Recall,Abeyance,Shattering Spree,Flash Flood,Witchbane Orb
40,Thought Erasure,Temple Garden,Tidehollow Sculler,Drawn from Dreams,Raugrin Triome,Hellspark Elemental,Collective Brutality,Into the Roil
41,Lion's Eye Diamond,Glacial Fortress,Palace Jailer,Back to Basics,Sulfur Falls,"Kozilek, Butcher of Truth",Hexdrinker,Wurmcoil Engine
42,Pongify,Zagoth Triome,Sword of Fire and Ice,Snap,Wear // Tear,Searing Blood,Natural State,Mystic Forge
43,Quicken,Porphyry Nodes,"Thalia, Guardian of Thraben",Turnabout,Lightning Helix,Runaway Steam-Kin,Gemstone Mine,"Urza, Lord High Artificer"
44,Lim-Dul's Vault,Think Twice,Choke,Fact or Fiction,Winds of Abandon,Incite,Waterlogged Grove,Mishra's Factory
