,ssrego,Ever,sti,JasterRogue7,Hyphen-ated,rosa,Talanthalos,juchemz
Date,2021-11-07,,,,,,,
Notes,https://discord.com/channels/648329034211786752/907030831195885588/907051678258323516,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Ancestral Recall,Mox Sapphire,Black Lotus,Mox Jet,Mox Ruby,Mana Crypt,Sol Ring,Mox Pearl
2,Time Vault,"Oko, Thief of Crowns",Force of Will,Demonic Tutor,Strip Mine,Time Walk,Mana Vault,Mox Emerald
3,Tinker,"Narset, Parter of Veils",Hullbreacher,Thoughtseize,Mox Diamond,"Karn, the Great Creator",Wasteland,"Teferi, Time Raveler"
4,Mystical Tutor,Snapcaster Mage,Chrome Mox,Inquisition of Kozilek,Spell Pierce,Mana Drain,Ancient Tomb,Force of Negation
5,Thassa's Oracle,Dack Fayden,Misty Rainforest,Dark Ritual,Scalding Tarn,Prismatic Vista,Phyrexian Revoker,Flooded Strand
6,Grim Monolith,Counterspell,Windswept Heath,Verdant Catacombs,"Ragavan, Nimble Pilferer",Polluted Delta,"Thalia, Guardian of Thraben",Tropical Island
7,Ponder,Pyroblast,Tundra,Bloodstained Mire,"Lutri, the Spellchaser","Jace, the Mind Sculptor",Stoneforge Mystic,Swords to Plowshares
8,Blightsteel Colossus,Vendilion Clique,Gitaxian Probe,Birds of Paradise,Red Elemental Blast,Duress,Path to Exile,Prismatic Ending
9,Timetwister,Brazen Borrower // Petty Theft,Preordain,Abrupt Decay,Daze,Underground Sea,Noble Hierarch,Mental Misstep
10,Voltaic Key,Mystical Dispute,Steam Vents,Dauthi Voidwalker,Volcanic Island,Vampiric Tutor,Chalice of the Void,"Urza, Lord High Artificer"
11,True-Name Nemesis,Veil of Summer,Arid Mesa,Urza's Saga,Wooded Foothills,Painter's Servant,Spirit of the Labyrinth,Negate
12,"Emry, Lurker of the Loch",Karakas,Brainstorm,Fastbond,Wheel of Fortune,Imperial Seal,Lodestone Golem,"Karn, Scion of Urza"
13,Aether Vial,Fractured Identity,Lion's Eye Diamond,Ignoble Hierarch,Lightning Bolt,Consider,Containment Priest,Seat of the Synod
14,"Thada Adel, Acquisitor",Opt,Shelldock Isle,Bayou,Library of Alexandria,Breeding Pool,Phyrexian Metamorph,"Dovin, Hand of Control"
15,Back to Basics,"Venser, Shaper Savant",Thought Scour,Allosaurus Shepherd,Dig Through Time,Mana Leak,Thought-Knot Seer,"Ashiok, Dream Render"
16,Cursecatcher,Lose Focus,Taiga,Skullclamp,Fiery Islet,Mind Twist,Sword of Fire and Ice,Council's Judgment
17,Remand,Abrade,Underworld Breach,Carpet of Flowers,Fiery Confluence,Grindstone,Fragmentize,Solitude
18,Hurkyl's Recall,Cryptic Command,Brain Freeze,Collector Ouphe,Miscalculation,Flusterstorm,Rest in Peace,Ancestral Vision
19,"Thassa, God of the Sea",Mystic Confluence,Nature's Claim,Destiny Spinner,Embereth Shieldbreaker // Battle Display,Serum Visions,Cavern of Souls,Tezzeret the Seeker
