,Austen,Tyler,Mike,Cam ,Fil,nathan,Bryan,Leigh
,0,0,0,0,2,0,0,3
,0,0,0,0,1,0,0,0
1,Black Lotus,Ancestral Recall,Mox Sapphire,Time Vault,Time Walk,Sol Ring,Mox Jet,Mana Crypt
2,Entomb,Snapcaster Mage,Force of Will,Library of Alexandria,Mox Pearl,Mox Ruby,Mox Emerald,Mana Vault
3,Reanimate,"Jace, the Mind Sculptor",Mental Misstep,Voltaic Key,Mishra's Workshop,Mox Diamond,Demonic Tutor,Ancient Tomb
4,Thoughtseize,Mana Drain,Spell Pierce,Tinker,Volcanic Island,Strip Mine,Vampiric Tutor,Chalice of the Void
5,Griselbrand,Remand,Daze,Grim Monolith,Scalding Tarn,Pyroblast,Helm of Obedience,Dack Fayden
6,Duress,Batterskull,Vendilion Clique,Imperial Seal,Tundra,Tolarian Academy,Leyline of the Void,Shivan Reef
7,Sneak Attack,Stoneforge Mystic,True-Name Nemesis,Mox Opal,Flooded Strand,Lotus Petal,Underground Sea,Urza's Tower
8,Inquisition of Kozilek,Null Rod,Polluted Delta,Blightsteel Colossus,Stony Silence,Chrome Mox,Painter's Servant,Thought-Knot Seer
9,Liliana of the Veil,Force Spike,Misty Rainforest,Mind Twist,Delver of Secrets,Tropical Island,Verdant Catacombs,Cavern of Souls
10,City of Traitors,Hallowed Fountain,Bayou,Ponder,Young Pyromancer,Wooded Foothills,Dark Ritual,Karn Liberated
11,"Emrakul, the Aeons Torn",Preordain,Breeding Pool,Watery Grave,Counterspell,Mystical Tutor,Cabal Ritual,Lodestone Golem
12,Faithless Looting,Brainstorm,Windswept Heath,Basalt Monolith,Spell Snare,UNKNOWN,Yawgmoth's Will,Trinisphere
13,Simian Spirit Guide,Arid Mesa,Tarmogoyf,Serum Visions,Opt,Arcbound Ravager,Gitaxian Probe,Reality Smasher
14,Collective Brutality,Monastery Mentor,Overgrown Tomb,Seat of the Synod,Search for Azcanta,Cranial Plating,"Erayo, Soratami Ascendant","Chandra, Torch of Defiance"
15,Lightning Bolt,Swords to Plowshares,Gush,Relic of Progenitus,Thought Scour,Wheel of Fortune,"Ashiok, Nightmare Weaver",Matter Reshaper
16,"Liliana, the Last Hope",Dig Through Time,Treasure Cruise,Sensei's Divining Top,"Nahiri, the Harbinger",Spellskite,Tormod's Crypt,Eldrazi Temple
