,Ever,Swifty2400,theRealpoBBpC,Stephen Hagan,Chris Clemens,rob_bot13,sti,JasterRogue7
Date,2022-07-01,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1viMuTzSGl8mctsPPaGr5rY21zz6CuSyTCJzpjXfX_A8/edit#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Ancestral Recall,Black Lotus,Time Walk,Mox Sapphire,Mox Ruby,Mana Crypt,Mox Jet,Mox Emerald
2,"Oko, Thief of Crowns","Karn, the Great Creator",Mox Diamond,"Teferi, Time Raveler","Ragavan, Nimble Pilferer",Time Vault,Sol Ring,Mox Pearl
3,Force of Will,Urza's Saga,Force of Negation,Grim Monolith,Tinker,Mana Vault,Hullbreacher,Fastbond
4,Misty Rainforest,Thoughtseize,Snapcaster Mage,Mox Opal,Chrome Mox,Demonic Tutor,"Narset, Parter of Veils",Strip Mine
5,Polluted Delta,Prismatic Vista,Tundra,Tolarian Academy,Scalding Tarn,Vampiric Tutor,Dack Fayden,Windswept Heath
6,Marsh Flats,Verdant Catacombs,Flooded Strand,"Urza, Lord High Artificer",Ancient Tomb,Mana Drain,Timetwister,Wooded Foothills
7,Bloodstained Mire,Inquisition of Kozilek,Spellseeker,Walking Ballista,Volcanic Island,Spell Pierce,Mental Misstep,Enlightened Tutor
8,Bayou,Scrubland,Recruiter of the Guard,Sensei's Divining Top,Arid Mesa,Mind Twist,Mystical Tutor,Balance
9,Underground Sea,Grief,Solitude,Displacer Kitten,Ponder,Duress,Lightning Bolt,Wrenn and Six
10,Tropical Island,Dauthi Voidwalker,Ephemerate,Esper Sentinel,"Emrakul, the Aeons Torn",Library of Alexandria,Preordain,Fury
11,"Jace, the Mind Sculptor",Pithing Needle,Treasure Cruise,Lion's Eye Diamond,Red Elemental Blast,Counterspell,Wheel of Fortune,Veil of Summer
12,Deathrite Shaman,Swords to Plowshares,"Venser, Shaper Savant","Jace, Vryn's Prodigy",Lotus Petal,Thassa's Oracle,Gitaxian Probe,Pyroblast
13,Hymn to Tourach,Path to Exile,Ghostly Flicker,Monastery Mentor,Daze,Dark Ritual,Mystical Dispute,Courser of Kruphix
