,DrPeepeepoopooMD,Hyphen-ated,Joshua_Wiltse | L1,joed8004,sphagan,sti1983,masterplum,everbrink
Date,2023-06-28,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1jxf1xkiMjzm46CLyQ5qfz-gLVg6PkxA45Q8Ug00nEFQ/edit?pli=1#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Black Lotus,Ancestral Recall,Mox Sapphire,Mana Crypt,Sol Ring,Mox Ruby,Mox Emerald,Mox Jet
2,Mox Diamond,Force of Negation,Lion's Eye Diamond,Urza's Saga,White Plume Adventurer,Force of Will,Time Walk,Mox Pearl
3,"Ragavan, Nimble Pilferer",Mana Drain,Underworld Breach,Time Vault,Chrome Mox,Hullbreacher,Strip Mine,Thoughtseize
4,Wheel of Fortune,Demonic Tutor,Brain Freeze,"Karn, the Great Creator",Ancient Tomb,"Narset, Parter of Veils",Fastbond,Seasoned Dungeoneer
5,Vampiric Tutor,Spell Pierce,Ponder,Mana Vault,"Minsc & Boo, Timeless Heroes",Timetwister,"Oko, Thief of Crowns",Orcish Bowmasters
6,Sensei's Divining Top,Snapcaster Mage,Time Spiral,Mox Opal,Caves of Chaos Adventurer,Dack Fayden,"Boseiju, Who Endures",Swords to Plowshares
7,"Sheoldred, the Apocalypse","Jace, Vryn's Prodigy",High Tide,Stoneforge Mystic,Prismatic Vista,Tinker,Mental Misstep,Grief
8,Lotus Petal,Polluted Delta,Scalding Tarn,"Teferi, Time Raveler",Wooded Foothills,Gitaxian Probe,Misty Rainforest,Solitude
9,Lightning Bolt,Inquisition of Kozilek,Flooded Strand,Tolarian Academy,Noble Hierarch,Preordain,Windswept Heath,Karakas
10,Dark Confidant,Reanimate,Volcanic Island,Tundra,Fury,Mystical Tutor,Dark Depths,March of Otherworldly Light
11,Leyline of the Void,Thassa's Oracle,Steam Vents,"Urza, Lord High Artificer",Taiga,Brazen Borrower,Verdant Catacombs,Marsh Flats
12,Bloodstained Mire,Duress,Remand,Grim Monolith,"Laelia, the Blade Reforged",Shelldock Isle,Wrenn and Six,Wasteland
13,Skullclamp,Library of Alexandria,Flusterstorm,Mystical Dispute,Fable of the Mirror-Breaker,Seat of the Synod,Stomping Ground,Dauthi Voidwalker
14,Pyroblast,Entomb,Cryptic Command,Arid Mesa,Abrade,Consider,Endurance,Loran of the Third Path
15,Red Elemental Blast,Miscast,An Offer You Can't Refuse,Rest in Peace,"Comet, Stellar Pup",Third Path Iconoclast,Veil of Summer,Skyclave Apparition
16,Mishra's Workshop,Underground Sea,"Saheeli, Sublime Artificer",Helm of Obedience,Bonecrusher Giant,"Otawara, Soaring City",Once Upon a Time,Reprieve
17,Painter's Servant,Watery Grave,Serum Visions,Balance,Sylvan Library,Prismari Command,Collector Ouphe,Archon of Emeria
18,Goblin Rabblemaster,Dread Fugue,Opt,Prismatic Ending,Phyrexian Metamorph,Mishra's Bauble,Tropical Island,Hymn to Tourach
19,Unearth,Swan Song,Chain of Vapor,Enlightened Tutor,Birds of Paradise,Spirebluff Canal,Crucible of Worlds,Path to Exile
20,Urza's Bauble,Toxic Deluge,Frantic Search,Winter Orb,Hexdrinker,Shivan Reef,Thespian's Stage,Palace Jailer
21,Faithless Looting,"Lutri, the Spellchaser",Spellseeker,Fragmentize,Ancient Grudge,Fiery Islet,Daze,Scrubland
22,Gut Shot,Animate Dead,Turnabout,Conjurer's Bauble,Savannah,Riverglide Pathway,Breeding Pool,Silent Clearing
23,Tormod's Crypt,"Takenuma, Abandoned Mire",Bribery,"Emry, Lurker of the Loch",Scavenging Ooze,Dig Through Time,Sylvan Scrying,"Thalia, Guardian of Thraben"
24,Lurrus of the Dream-Den,Collective Brutality,Fire // Ice,True-Name Nemesis,Undermountain Adventurer,Thought Scour,Sulfur Falls,Baleful Mastery
25,Dark Ritual,Demonic Consultation,Trinket Mage,Transmute Artifact,Questing Beast,Show and Tell,Regrowth,"Eiganjo, Seat of the Empire"
26,Walking Ballista,"Atraxa, Grand Unifier",Chart a Course,"Emrakul, the Aeons Torn",Robber of the Rich,Griselbrand,Stormcarved Coast,Godless Shrine
27,Phyrexian Revoker,Energy Flux,Candelabra of Tawnos,Manifold Key,Active Volcano,Blightsteel Colossus,"Yavimaya, Cradle of Growth",Containment Priest
28,Seasoned Pyromancer,"Urborg, Tomb of Yawgmoth",Izzet Signet,Abolish,Plateau,Vendilion Clique,Haywire Mite,Opposition Agent
29,Badlands,Fact or Fiction,Palinchron,Tezzeret the Seeker,Worldly Tutor,Unholy Heat,Gilded Drake,Phyrexian Censor
30,Empty the Warrens,Dispel,Peek,Mycosynth Lattice,Aven Mindcensor,Dreadhorde Arcanist,Stifle,Hive of the Eye Tyrant
31,Memory Jar,Hurkyl's Recall,Vedalken Shackles,Ancient Den,Jetmir's Garden,Occult Epiphany,Gamble,Celestial Purge
32,Flame Blitz,Tainted Pact,Soul-Guide Lantern,Voltaic Key,Mawloc,Great Furnace,Crop Rotation,Deafening Silence
