,S.J.,A.M.,Z.C,Hyphen-ated,N.M.,C.A.,J.M.,S.F.
Date,2019-08-15,,,,,,,
Wins,5,1,1,3,2,5,5,4
Losses,2,5,4,3,5,2,2,3
1,Black Lotus,Mox Sapphire,Ancestral recall,Mox Jet,mox pearl,Sol Ring,Mox Emerald,mox ruby
2,Time Walk,Tinker,TIme vault,Demonic Tutor,mox opal,Mana Crypt,Force of Will,upheaval
3,Volcanic Island,Mishra's Workshop,Voltaic key,Strip Mine,tolarian academy,Mana Vault,Force of Negation,tropical island
4,Snapcaster Mage,Null Rod,Brainstorm,Vampiric Tutor,chalice of the void,Ponder,Timetwister,fastbond
5,Mana Drain,Lodestone Golem,Dark depths,Painter's Servant,arcbound ravager,"Karn, the Great Creator",Wheel of Fortune,Tooth and Nail
6,Scalding Tarn,Goblin Welder,Thespian's Stage,Library of Alexandria,cranial plating,Mycosynth lattice,Force of Vigor,Avenger of Zendikar
7,Wasteland,Dack Fayden,Misty Rainforest,Verdant Catacombs,mystic forge,Ancient tomb,"Narset, Parter of Veils",steam vents
8,Vendilion Clique,Trinisphere,polluted delta,Marsh Flats,time sieve,Channel,Omniscience,taiga
9,Preordain,Seat of the Synod,breeding pool,Bloodstained Mire,underground sea,Sylvan Library,Ancestral Vision,stomping ground
10,Arid Mesa,Great Furnace,flooded strand,Windswept Heath,thopter assembly,Tezzeret the Seeker,"Leovold, Emissary of Trest",wooded foothills
11,Spell Pierce,Entomb,watery grave,Thoughtseize,mindcrank,Thopter Foundry,Tundra,Llanowar Elves
12,Remand,badlands,overgrown tomb,Bayou,bloodchief ascension,Sword of the Meek,Chrome Mox,Birds of Paradise
13,Lightning Bolt,Goblin Engineer,Deathrite Shaman,Imperial Seal,walking ballista,"Urza, lord high artificer",Progenitus,lotus cobra
14,Sulfur Falls,Reanimate,crop rotation,Helm of Obedience,"Mikaeus, the unhallowed",Spire of industry,Mental Misstep,elvish mystic
15,Izzet Charm,"Iona, Shield of Emeria",savannah,Dark Confidant,nim deathmantle,Metalworker,Woodfall Primus,harrow
16,Hallowed Fountain,Animate Dead,Sylvan scrying,Scrubland,composite Golem,Karn Liberated,Plateau,craterhoof behemoth
