,Mike,Cecile,Theo,George,John,Thommy,Charles,Maggie
Date,2020-10-01,,,,,,,
Wins,5,4,3,5,4,2,4,1
Losses,2,3,4,2,3,5,3,6
Notes,https://docs.google.com/spreadsheets/d/1z3dBdwWg4eFWimBPsnse3Qzpi5Z1B5MrUKF8kJzbyo8/edit#gid=1563054579,,,,,,,
1,Ancestral Recall,Black Lotus,Sol Ring,Mox Sapphire,Mox Jet,Time Vault,Mana Crypt,Mana Vault
2,Snapcaster Mage,Demonic Tutor,Tinker,Time Walk,Strip Mine,Mox Ruby,Mox Pearl,Mox Emerald
3,Force of Will,"Karn, the Great Creator",Blightsteel Colossus,"Narset, Parter of Veils",Thoughtseize,Vampiric Tutor,Wasteland,Grim Monolith
4,Polluted Delta,"Oko, Thief of Crowns","Jace, the Mind Sculptor",Mana Drain,Dark Confidant,Entomb,Ancient Tomb,Library of Alexandria
5,Flooded Strand,Misty Rainforest,Sneak Attack,Monastery Mentor,Verdant Catacombs,Mind Twist,Karakas,Channel
6,Marsh Flats,Force of Negation,Scalding Tarn,Ponder,Veil of Summer,Yawgmoth's Will,Swords to Plowshares,"Emrakul, the Aeons Torn"
7,Underground Sea,Bayou,Volcanic Island,Preordain,Hymn to Tourach,Fastbond,Prismatic Vista,Karn Liberated
8,Duress,Watery Grave,Izzet Signet,Dack Fayden,Overgrown Tomb,Griselbrand,City of Traitors,Mishra's Workshop
9,Spell Pierce,Counterspell,Mystical Tutor,Pyroblast,Liliana of the Veil,Mox Diamond,Null Rod,Lodestone Golem
10,"Ashiok, Nightmare Weaver",Mana Leak,Mystic Confluence,Flusterstorm,Lightning Bolt,Dark Ritual,Phyrexian Metamorph,Tolarian Academy
11,Shelldock Isle,Assassin's Trophy,Remand,Treasure Cruise,Deathrite Shaman,Enlightened Tutor,Phyrexian Revoker,Wurmcoil Engine
