,everbrink,xxxmason1337xxx,trashboat6824,yogapantz,_mr.bishop,dmags0917,sphagan,sti1983
Date,2024-05-01,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1mfpKt9699TvK0wdo5YcZYhEfvy4a24WjNAglJmU4IEw/edit#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Ancestral Recall,Black Lotus,Mana Crypt,Mox Sapphire,White Plume Adventurer,Mox Emerald,Mox Jet,Mox Ruby
2,"Ragavan, Nimble Pilferer",Force of Will,Urza's Saga,Time Vault,Sol Ring,Time Walk,Thoughtseize,Mox Pearl
3,Force of Negation,Orcish Bowmasters,The One Ring,Mana Vault,Ancient Tomb,Mox Diamond,Vampiric Tutor,Chrome Mox
4,Snapcaster Mage,Demonic Tutor,Hullbreacher,Tolarian Academy,Forth Eorlingas!,Strip Mine,Dark Ritual,Mental Misstep
5,Spell Pierce,Ponder,"Oko, Thief of Crowns",Tinker,"Comet, Stellar Pup",Fastbond,Solitude,"Minsc & Boo, Timeless Heroes"
6,Pyroblast,"Lutri, The Spellchaser",Mana Drain,Mox Opal,Caves of Chaos Adventurer,Timetwister,Lurrus of the Dream-Den,"Teferi, Time Raveler"
7,Red Elemental Blast,Inquisition of Kozilek,Tishana's Tidebinder,Lotus Petal,Fable of the Mirror-Breaker,Misty Rainforest,Dauthi Voidwalker,Dack Fayden
8,Lightning Bolt,Polluted Delta,Swords to Plowshares,Mishra's Bauble,Fury,Wheel of Fortune,Entomb,Scalding Tarn
9,Flooded Strand,Reanimate,Tropical Island,Gitaxian Probe,Seasoned Dungeoneer,Wrenn and Six,Enlightened Tutor,Karakas
10,Arid Mesa,"Uro, Titan of Nature's Wrath",Windswept Heath,"Urza, Lord High Artificer",City of Traitors,Volcanic Island,Animate Dead,"Boseiju, Who Endures"
11,Prismatic Vista,Grief,Tundra,Hallowed Fountain,Esper Sentinel,Wooded Foothills,Duress,"Karn, the Great Creator"
12,Brazen Borrower,"Sheoldred, the Apocalypse",Tasha's Hideous Laughter,Balance,"Thalia, Guardian of Thraben",Verdant Catacombs,Stoneforge Mystic,Mystical Tutor
13,Vendilion Clique,Marsh Flats,Flusterstorm,Path to Exile,Palace Jailer,Taiga,Troll of Khazad-dum,Preordain
14,Steam Vents,"Jace, Vryn's Prodigy",Faerie Mastermind,Lion's Eye Diamond,Stony Silence,Veil of Summer,Skyclave Apparition,Bloodstained Mire
15,Wasteland,Treasure Cruise,Counterspell,Urza's Bauble,"Laelia, the Blade Reforged",Breeding Pool,Collective Brutality,Thassa's Oracle
