,Chad,Dylan,Sam,Jeff,Stephen,Noah,Dan,Swifty
Date,2023-01-14,,,,,,,
Notes,https://www.moxfield.com/decks/G1Z-1f-LDkezObtKH4S19w,https://www.moxfield.com/decks/FfzN9qBbQES2mQSW9r_IWw,https://www.moxfield.com/decks/Z3tYtlMvdUOGcoR3uaB33Q,https://www.moxfield.com/decks/tvfCjyZnH0WmhlMMjCrC8g,https://www.moxfield.com/decks/5snv-lqNc0STv1tOEEwHtw,https://www.moxfield.com/decks/NvxhU4Go00eQvCTe9glRww,https://www.moxfield.com/decks/uIpLhJlP4EaritZvMEyejA,https://www.moxfield.com/decks/msCARqxqIkGVLkzMI4SIqQ
Wins,4,5,3,3,3,4,1,5
Losses,3,2,4,4,4,3,6,2
1,Ancestral Recall,Black Lotus,Mox Jet,Mox Sapphire,Mox Ruby,Mana Crypt,time walk,Mox Pearl
2,Snapcaster Mage,Force of Will,Vampiric Tutor,Time Vault,Tinker,"Ragavan, nimble pilferer",sol ring,Mox Emerald
3,Force of Negation,Mana Drain,Thoughtseize,Mana Vault,"Oko, Thief of Crowns","Karn, the Great Creator",fastbond,Urza's Saga
4,Brazen Borrower,"Jace, the Mind Sculptor",dark Confidant,Flooded Strand,Tolarian Academy,"Minsc & Boo, Timeless Heroes",timetwister,"Teferi, Time Raveler"
5,Hullbreacher,Library of Alexandria,skullclamp,True-Name Nemesis,misty rainforest,wooded foothills,tropical island,Scalding Tarn
6,Dack Fayden,Bloodstained Mire,Inquisition of Kozilek,Tundra,Volcanic Island,Arid Mesa,windswept heath,Polluted Delta
7,Lightning Bolt,Steam Vents,dark ritual,Hallowed Fountain,Prismatic Vista,Grim Monolith,mox diamond,Ponder
8,Gitaxian Probe,Daze,dauthi voidwalker,Thassa's Oracle,"Urza, Lord High Artificer",Stoneforge Mystic,"uro, titan of nature's wrath",Preordain
9,Vendilion Clique,"Narset, Parter of Veils",bitterblossom,Counterspell,Mental Misstep,Ancient Tomb,gaea's cradle,Spell Pierce
10,Cryptic Command,Dig Through Time,demonic tutor,White Plume Adventurer,Mystical Dispute,City of Traitors,green sun's zenith,Miscast
11,Treasure Cruise,Mana Leak,leyline of the void,Seasoned Dungeoneer,Noble Hierarch,"Boseiju, Who Endures","rofellos, llanowar emissary",Balance
12,Cascade Bluffs,Pyroblast,Hymn to tourach,Ranger-Captain of Eos,Strip mine,Cavern of souls,birds of paradise,Plateau
13,Riverglide Pathway,Brainstorm,reanimate,Esper Sentinel,Chrome Mox,Thought-Knot Seer,joraga treespeaker,Raugrin Triome
14,Swan Song,Archmage's Charm,lotus petal,Misdirection,Red Elemental Blast,Reality Smasher,channel,"Comet, Stellar Pup"
15,Flusterstorm,Remand,dismember,Thought Lash,Phyrexian Revoker,Endurance,arbor elf,Swords to Plowshares
16,Sensei's Divining Top,Miscalculation,"urborg, Tomb of Yawgmoth",Intuition,Hexdrinker,Ignoble Hierarch,breeding pool,Prismatic Ending
17,"Lutri, the Spellchaser",Consider,entomb,Sevinne's Reclamation,"Yavimaya, Cradle of Growth","Laelia, the Blade Reforged",scavenging ooze,Rest in Peace
18,Ancestral Vision,Opt,Helm of Obedience,"Thalia, Guardian of Thraben",Prismari Command,Matter Reshaper,eternal witness,Solitude
19,Izzet Charm,Expressive Iteration,phyrexian altar,Mother of runes,"Nissa, Who Shakes the World",Grove of the Burnwillows,veil of summer,Sulfur Falls
20,Dreadhorde Arcanist,Verdant Catacombs,grafdigger's cage,Umezawa's Jitte,Crucible of Worlds,Kaldra Compleat,regrowth,Glacial Fortress
21,Sprite Dragon,Marsh Flats,tormod's crypt,Giver of Runes,Tree of Tales,Bloodbraid Elf,mystical tutor,Lose Focus
