,Jim,Dylan Draper,Jake,Chad,Crayton,Papke,Jago,Fredo,Christ,Leo,Wes,Mason
Date,2019-12-31,,,,,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1rGmSkfX8jKe2LHRdAlglGKzZT7WX0vbeR8Idy8uUUHI/edit#gid=0,,,,,,,,,,,
Wins,5,9,8,5,5,5,3,0,4,7,6,9
Losses,6,2,3,6,2,6,8,1,7,4,5,2
1,Black Lotus,Ancestral Recall,Time Vault,Mox Jet,Mox Emerald,Mox Sapphire,Wheel of Fortune,Mox Ruby,Sol Ring,Mox Diamond,Time Walk,Mox Pearl
2,Lion's Eye Diamond,Snapcaster Mage,Force of Will,Entomb,Gaea's Cradle,Demonic Tutor,Yawgmoth's Will,Mishra's Workshop,Mana Vault,Fastbond,"Jace, The Mind Sculptor",Mana Crypt
3,Grim Monolith,Daze,Tinker,Griselbrand,Arbor Elf,Sensei's Divining Top,Thoughtseize,Tolarian Academy,Mox Opal,"Karn, the Great Creator",Mana Drain,Skullclamp
4,"Urza, Lord High Artificer",Swords to Plowshares,Enlightened Tutor,Vampiric Tutor,Llanowar Elves,Strip Mine,Dark Ritual,Scroll Rack,Lotus Petal,Channel,Force of Negation,Stoneforge Mystic
5,"Emry, Lurker of the Loch",Tundra,Transmute Artifact,Reanimate,Fyndhorn Elves,Crucible of Worlds,Inquisition of Kozilek,Recurring Nightmare,Library of Alexandria,Brainstorm,Tropical Island,Ancient Tomb
6,Basalt Monolith,Ponder,Hallowed Fountain,Liliana of the Veil,Elvish Mystic,Grim Tutor,Badlands,Volcanic Island,Flooded Strand,Prismatic Vista,Misty Rainforest,City of Traitors
7,Power Artifact,Preordain,Path to Exile,Pack Rat,"Rofellos, Llanowar Emissary",Painter's Servant,Mind Twist,Academy Ruins,Arid Mesa,Breeding Pool,Polluted Delta,Noble Hierarch
8,Faithless Looting,Mystical Tutor,Seachrome Coast,Imperial Seal,Green Sun's Zenith,Grindstone,Bloodstained Mire,Scalding Tarn,Windswept Heath,Verdant Catacombs,Inkmoth Nexus,"Oko, Thief of Crowns"
9,Cathartic Reunion,Treasure Cruise,Adarkar Wastes,Survival of the Fittest,Craterhoof Behemoth,"Narset, Parter of Veils",Blood Crypt,Splinter Twin,Marsh Flats,Once Upon a Time,Umezawa's Jitte,Arcum's Astrolabe
10,Frantic Search,Vendilion Clique,"Teferi, Time Raveler",Sylvan Library,Concordant Crossroads,Lightning Bolt,Blackcleave Cliffs,Pestermite,Savannah,Veil of Summer,Gush,Birds of Paradise
11,Experimental Frenzy,Brazen Borrower // Petty Theft,Counterspell,Bayou,Genesis Wave,Chain Lightning,Liliana's Caress,Underground Sea,Temple Garden,Wooded Foothills,Spell Pierce,Mystic Forge
12,Memory Jar,Cryptic Command,Opt,Twilight Mire,Cloudstone Curio,Pyroblast,Goblin Lore,Steam Vents,Rest in Peace,Overgrown Tomb,Mental Misstep,"Thalia, Guardian of Thraben"
13,Past in Flames,Archmage's Charm,Talisman of Progress,Woodland Cemetery,Thousand-Year Elixir,Goblin Guide,Waste Not,Watery Grave,Balance,Gitaxian Probe,Blighted Agent,Cavern of Souls
14,Rite of Flame,Monastery Mentor,Azorius Signet,Golgari Signet,Aluren,Red Elemental Blast,Burning Inquiry,Hangarback Walker,Stony Silence,Crop Rotation,Muddle the Mixture,Walking Ballista
15,Seething Song,Mystic Gate,Relic of Progenitus,Buried Alive,Dryad Arbor,Eidolon of the Great Revel,Desperate Ritual,Defense Grid,Serra's Sanctum,Ancient Stirrings,Elvish Spirit Guide,Grafdigger's Cage
16,Cabal Ritual,Council's Judgment,True-Name Nemesis,Animate Dead,Glimpse of Nature,Rishadan Port,Pyretic Ritual,Mindslaver,Spirit of the Labyrinth,"Emrakul, the Aeons Torn",Worldly Tutor,Dismember
17,Manamorphose,Supreme Verdict,Glacial Fortress,Sundering Titan,Elvish Archdruid,Fiery Confluence,Hymn to Tourach,Palinchron,Sylvan Scrying,Spellseeker,Glistener Elf,Engineered Explosives
18,Timetwister,"Venser, Shaper Savant",Tezzeret the Seeker,Myr Battlesphere,Reclamation Sage,Shrine of Burning Rage,Duress,Ensnaring Bridge,Suppression Field,Dark Depths,Invigorate,Phyrexian Revoker
19,Echo of Eons,Delver of Secrets // Insectile Aberration,Mana Leak,Living Death,Priest Of Titania,Monastery Swiftspear,Bomat Courier,Goblin Engineer,Land Tax,Thespian's Stage,Vines of Vastwood,Containment Priest
20,Paradox Engine,Negate,Blightsteel Colossus,Terastodon,Beast Whisperer,Sulfuric Vortex,The Rack,Savor the Moment,Mirri's Guile,"Urborg, Tomb of Yawgmoth",Blossoming Defense,Thought-Knot Seer
21,Thran Dynamo,Port Town,Oblivion Ring,Exhume,Heritage Druid,Grim Lavamancer,Graven Cairns,Panoptic Mirror,Oath of Nissa,Elvish Reclaimer,Nature's Claim,Trinisphere
22,Noxious Revival,"Jace, Vryn's Prodigy // Jace, Telepath Unbound",Serum Visions,Necromancy,Gaea's Herald,Mishra's Factory,"Davriel, Rogue Shadowmage",Ancestral Vision,Carpet of Flowers,Flusterstorm,Null Rod,Yavimaya Coast
23,Simian Spirit Guide,Brain Freeze,Ceremonious Rejection,Necropotence,Chord of Calling,Rift Bolt,Surgical Extraction,Maze of Ith,Chalice of the Void,Waterlogged Grove,Flooded Grove,Spire of Industry
24,Fiery Islet,Annul,Chromatic Star,Wasteland,Quirion Ranger,Tormod's Crypt,Chains of Mephistopheles,Copy Artifact,Helm of Obedience,Nurturing Peatland,Berserk,Eldrazi Displacer
25,Sunbaked Canyon,Steel Sabotage,Sleight of Hand,Phyrexian Metamorph,Natural Order,Light Up the Stage,Chain of Smog,Worn Powerstone,Prairie Stream,Horizon Canopy,Rancor,"Ugin, the Ineffable"
26,Spirebluff Canal,Fractured Identity,Krosan Grip,Mana Confluence,Wirewood Symbiote,Fireblast,Blackmail,"Daretti, Scrap Savant",Solitary Confinement,Sterling Grove,Karn's Bastion,Brushland
27,Inspiring Vantage,Phantasmal Image,Chromatic Sphere,Abrupt Decay,Sylvan Messenger,Kiln Fiend,Winds of Change,Izzet Signet,Moat,Gemstone Caverns,Return to Nature,Back to Nature
28,Cascade Bluffs,Gilded Drake,Ichor Wellspring,Viridian Shaman,Ground Seal,Gamble,Raven's Crime,In the Eye of Chaos,Leyline of Sanctity,City of Brass,Mutagenic Growth,Glowrider
29,Rugged Prairie,Nimbus Maze,Terrarion,Blooming Marsh,Seedtime,Zurgo Bellstriker,Collective Brutality,Vexing Shusher,Idyllic Tutor,Mycosynth Lattice,Might Of Old Krosa,Warping Wail
30,Auriok Salvagers,Swan Song,"Sai, Master Thopterist",Assassin's Trophy,Bind,Smash to Smithereens,Kolaghan's Command,Forcefield,Argothian Enchantress,Vampire Hexmage,Groundswell,Gaddock Teeg
31,Pyrite Spellbomb,Reality Shift,Buried Ruin,Sinkhole,Joraga Treespeaker,Shattering Spree,Lightning Skelemental,Banefire,Academy Rector,Botanical Sanctum,Corrupted Resolve,Stubborn Denial
32,Gemstone Mine,Revoke Existence,Isochron Scepter,"Iona, Shield of Emeria","Ezuri, Renegade Leader",Lava Spike,Hollow One,Chasm Skulker,Eidolon of Rhetoric,Orim's Chant,Remand,Reality Smasher
33,Helm of Awakening,Flashfreeze,Manifold Key,Regrowth,Elvish Visionary,Winter Orb,Price of Progress,Deceiver Exarch,High Market,Razorverge Thicket,Tolaria West,Batterskull
34,Deep Analysis,Abolish,Silence,Bitterblossom,Finale of Devastation,Stromkirk Noble,Unearth,Stonecoil Serpent,Dovescape,Sevinne's Reclamation,Viridian Corrupter,Endbringer
35,Careful Study,Condemn,Voltaic Key,Inkwell Leviathan,"Eladamri, Lord of Leaves",Staggershock,Bedevil,Memnarch,Enduring Ideal,Tainted Pact,Hinterland Harbor,Gilded Goose
36,Forbidden Orchard,Cleansing Nova,Wrath of God,Oath of Druids,Harmonize,Exquisite Firecraft,Mesmeric Fiend,Meekstone,Overwhelming Splendor,Lim-Dul's Vault,Chain of Vapor,Eldrazi Temple
37,Sulfur Vent,Devouring Light,Grinding Station,"Elesh Norn, Grand Cenobite",Benefactor's Draught,Pyrostatic Pillar,Flameblade Adept,Altar of the Brood,Wargate,Into the Roil,Virulent Sliver,Spellskite
38,Channel the Suns,Spell Queller,Cavalier of Dawn,Oona's Prowler,Sword of Sinew and Steel,Scab-Clan Berserker,Fiery Temper,Snapback,Enchantress's Presence,Temple of Malady,Blight Mamba,Bane of Progress
39,Aether Spellbomb,Dig Through Time,Argivian Find,Ophiomancer,Progenitus,Searing Blaze,Bedlam Reveler,By Force,Starfield of Nyx,Temple of Mystery,Reverent Silence,Aura of Silence
40,Misdirection,Pteramander,Nullhide Ferox,Volrath's Stronghold,Sword of Fire and Ice,Goblin Rabblemaster,Mind Rake,Condescend,Leyline of the Void,Glacial Chasm,Seeds of Innocence,Thragtusk
41,Commandeer,Siren Stormtamer,Loxodon Smiter,Hero's Downfall,Sword of War and Peace,Skewer the Critics,Ill-Gotten Gains,Wheel of Fate,Teferi's Protection,Retreat to Hagra,Necropede,Lodestone Golem
42,Force Spike,Pithing Needle,Gigadrowse,"Ruric Thar, the Unbowed",Insist,Firedrinker Satyr,Megrim,"Teferi, Mage of Zhalfir",Guttural Response,Trade Routes,Ichorclaw Myr,Sword of Body and Mind
43,Mana Tithe,"Lavinia, Azorius Renegade",Scrap Trawler,Scavenging Ooze,Regal Force,Embereth Shieldbreaker // Battle Display,Nihil Spellbomb,Final Fortune,Silent Arbiter,"Oboro, Palace in the Clouds",Plague Myr,Trinket Mage
44,Dance of the Manse,Dovin's Veto,"Saheeli, Sublime Artificer",Geth's Verdict,wirewood lodge,Hazoret the Fervent,Rakdos Charm,Upheaval,"Heliod, God of the Sun",Simic Growth Chamber,Become Immense,"Thrun, the Last Troll"
