,Joey Zapelli,Jed Dolbeer,Corbett Gray,Paul Waite,Jesse Wilke,Paul Teft-Meeker,Steven Birklid,Charles Dupont
Wins,3,4,2,4,2,1,5,6
Losses,4,3,5,3,5,6,2,1
Date,2014-02-01,,,,,,,
1,Black Lotus,Ancestral Recall,Sol Ring,Mox Jet,Time Vault,Mishra's Workshop,Demonic Tutor,Mox Sapphire
2,Time Walk,Mana Drain,Tinker,Dark Ritual,Mana Crypt,Mox Ruby,Strip Mine,Mox Emerald
3,Channel,"Jace, the Mind Sculptor",tezzeret the seeker,Thoughtseize,Mox Pearl,Mana Vault,Vampiric Tutor,"Thada Adel, Acquisitor"
4,Lion's Eye Diamond,Gifts Ungiven,Mind Twist,Dark Confidant,Grim Monolith,Tolarian Academy,Duress,Trinket Mage
5,Yawgmoth's Will,Force of Will,Library of Alexandria,Hymn to Tourach,Voltaic Key,Ancient Tomb,Inquisition of Kozilek,Sensei's Divining Top
6,Mox Diamond,Painter's Servant,Chrome Mox,Imperial Seal,Mox Opal,Metalworker,Bitterblossom,Counterspell
7,Pact of Negation,Grindstone,Lotus Bloom,Sinkhole,Balance,Wasteland,Crucible of Worlds,Mystical Tutor
8,Timetwister,Muddle the Mixture,Lotus Petal,Mesmeric Fiend,"Emrakul, the Aeons Torn",Phyrexian Metamorph,Enlightened Tutor,Upheaval
9,Brainstorm,Stifle,Sculpting Steel,Umezawa's Jitte,Transmute Artifact,Lodestone Golem,Tangle Wire,Miscalculation
10,Cabal Ritual,Thopter Foundry,Personal Tutor,Liliana of the Veil,Reshape,Arcbound Ravager,Null Rod,Daze
11,Infernal Tutor,Sword of the Meek,Grim Tutor,Entomb,Fabricate,Sphere of Resistance,Smokestack,Bribery
12,Show and Tell,Steel Sabotage,Chain of Vapor,Distress,Oath of Druids,Trinisphere,Polluted Delta,Noble Hierarch
13,Gitaxian Probe,Annul,Underground Sea,Necropotence,Mind over Matter,Thoughtcast,Marsh Flats,Birds of Paradise
14,Manamorphose,Force Spike,Faith's Reward,Bloodghast,Seat of the Synod,Wurmcoil Engine,Swords to Plowshares,Misty Rainforest
15,Ponder,Path to Exile,Krark-Clan Ironworks,Vampire Hexmage,Ancient Den,Great Furnace,Dismember,Eternal Witness
16,Memory Jar,Thirst for Knowledge,Tree of Tales,Dark Depths,Power Artifact,Vault of Whispers,Verdant Catacombs,Trygon Predator
17,Volcanic Island,"Kataki, War's Wage",Darksteel Citadel,"Urborg, Tomb of Yawgmoth",Basalt Monolith,Duplicant,"Braids, Cabal Minion",Memory Lapse
18,Badlands,Pithing Needle,City of Traitors,Mishra's Factory,Kiora's Follower,Frogmite,Pack Rat,Vendilion Clique
19,Mental Misstep,Spell Snare,Crystal Vein,Mutavault,Stroke of Genius,Cranial Plating,Tidehollow Sculler,Cryptic Command
20,Elvish Spirit Guide,Isochron Scepter,Silence,Stupor,Mindslaver,Steel Overseer,Phyrexian Revoker,Mana Leak
21,Simian Spirit Guide,Academy Ruins,Abeyance,Unmask,Orim's Chant,Master of Etherium,Land Tax,Snapcaster Mage
22,UNKNOWN,UNKNOWN2,Echoing Truth,Winter Orb,Tropical Island,Etherium Sculptor,Aura of Silence,Nature's Claim
23,Gemstone Mine,Engineered Explosives,Helm of Awakening,Shattered Dreams,Seal of Cleansing,Goblin Welder,Lingering Souls,Energy Flux
24,City of Brass,Ancestral Vision,Leyline of Sanctity,Liliana Vess,Tundra,Sundering Titan,"Elspeth, Knight-Errant",Breeding Pool
25,Seething Song,Flooded Strand,Second Sunrise,Hero's Downfall,Pentad Prism,Slash Panther,Stony Silence,Garruk Wildspeaker
26,Watery Grave,Spell Pierce,Copy Artifact,Liliana's Reaver,Windswept Heath,Glimmervoid,Ethersworn Canonist,Wooded Foothills
27,Rite of Flame,Oblivion Ring,Open the Vaults,Liliana's Specter,Chromatic Star,Juggernaut,Disenchant,Treetop Village
28,Peer Through Depths,Compulsive Research,Chromatic Sphere,Diabolic Edict,Terrarion,Blinkmoth Nexus,Vindicate,Oxidize
29,Burning Wish,Stoneforge Mystic,Conjurer's Bauble,Thespian's Stage,Disrupting Shoal,Steam Vents,Castigate,Sylvan Library
30,Faithless Looting,Mystic Gate,Skycloud Egg,Necrotic Ooze,Remand,Red Elemental Blast,Scrubland,Dryad Arbor
31,Ray of Revelation,Vedalken Shackles,Thran Dynamo,Funeral Charm,Misdirection,Shattering Spree,Godless Shrine,Green Sun's Zenith
32,Wheel of Fortune,Back to Basics,Defense Grid,Gate to Phyrexia,Divert,Platinum Angel,Innocent Blood,Tarmogoyf
33,Pyretic Ritual,Reconstruction,Coalition Relic,Unearth,Seal of Primordium,Solemn Simulacrum,Grafdigger's Cage,Flooded Grove
34,Desperate Ritual,Disrupt,Darkwater Egg,Lashwrithe,Relic of Progenitus,Izzet Signet,Fetid Heath,Wickerbough Elder
35,Coffin Purge,Serenity,Sungrass Egg,Headhunter,Forbidden Orchard,Scrabbling Claws,Bloodstained Mire,Spellstutter Sprite
36,Ancient Grudge,Azorius Signet,Mossfire Egg,Sword of Light and Shadow,Temple Bell,Thorn of Amethyst,Humility,Rishadan Port
37,Banefire,Glen Elendra Archmage,Pyrite Spellbomb,Nightveil Specter,Griselbrand,Jester's Cap,"Sorin, Lord of Innistrad","Tamiyo, the Moon Sage"
38,Fastbond,True-Name Nemesis,Blightsteel Colossus,sadistic sacrament,Sterling Grove,Triskelion,Faith's Fetters,Viridian Shaman
39,Gush,Preordain,Inkwell Leviathan,Shadow of Doubt,Savannah,"Karn, Silver Golem",Orzhov Basilica,"Polukranos, World Eater"
40,grapeshot,Aven Mindcensor,Ghost Quarter,hypnotic specter,Braingeyser,Chalice of the Void,Phyrexian Arena,Plow Under
41,Past in Flames,Light of Day,Archaeological Dig,Hatred,Hurkyl's Recall,Lightning Greaves,Weathered Wayfarer,Peek
42,Eye of Nowhere,Forbid,Meditate,Reanimate,Argivian Find,Shivan Reef,Caves of Koilos,Faerie Conclave
43,Brain Freeze,Arcane Laboratory,Soldevi Digger,Nether Void,Rule of Law,Lightning Bolt,Devout Witness,Yavimaya Coast
44,Underground River,Batterskull,Clutch of the Undercity,Go for the Throat,Oust,Worn Powerstone,Sun Titan,"Teferi, Mage of Zhalfir"
45,Mistcutter Hydra,Condemn,Tendrils of Agony,Phyrexian Negator,Jace Beleren,Palladium Myr,skullclamp,Sword of Fire and Ice
