,viashino,notdave,rc_cola,Jack,Milldawg,Kelvandil,Hyphen-ated,sti
Date,2019-12-15,,,,,,,
1,Black Lotus,Sol Ring,Ancestral Recall,Mana Crypt,Mox Pearl,Mox Sapphire,Mox Jet,Mox Emerald
2,Demonic Tutor,Mishra's Workshop,Mana Drain,Mana Vault,Library of Alexandria,Time Walk,Time Vault,Mox Ruby
3,Yawgmoth's Will,Grim Monolith,Tinker,"Karn, The Great Creator",Null Rod,Strip Mine,Vampiric Tutor,Skullclamp
4,Imperial Seal,Ancient Tomb,"Kiki-Jiki, Mirror Breaker",Dack Fayden,Phyrexian Revoker,Dig THrough Time,"Jace, the Mind Sculptor","Urza, Lord High Artificer"
5,Dark Ritual,Mox Opal,Force of Will,Griselbrand,Mental Misstep,"Oko, Thief of Crowns",Timetwister,Force of Negation
6,Wheel of Fortune,Mox Diamond,Volcanic Island,Sneak Attack,Chalice of the Void,Brainstorm,"Narset, Parter of Veils",Chrome Mox
7,Ponder,City of Traitors,Snapcaster Mage,Treasure Cruise,Helm of Obedience,Misty rainforest,Polluted Delta,Flooded Strand
8,Serum Visions,Walking Ballista,Bloodstained Mire,Prismatic Vista,Rest in Peace,Scalding Tarn,Enlightened Tutor,Preordain
9,Necropotence,Hangarback Walker,Arid Mesa,Wooded Foothills,Pithing Needle,Verdant Catacombs,Marsh Flats,Windswept Heath
10,Grim Tutor,Sensei's Divining Top,Steam Vents,"Emrakul, The Aeons Torn",Sorcerous Spyglass,Breeding Pool,"Teferi, Time Raveler",Tropical Island
11,City of Brass,Wasteland,Merchant Scroll,Channel,Imposing Sovereign,Green Sun's Zenith,Tundra,Monastery Mentor
12,Mana Confluence,Tangle wire,Blightsteel Colossus,Veil of Summer,Council's Judgment,Collector Ouphe,Spell Pierce,"Sai, Master Thopterist"
13,Lion's Eye Diamond,Seat of the Synod,Sleight of Hand,Tolarian Academy,Stony Silence,Underground Sea,Watery Grave,Birds of Paradise
14,Gitaxian Probe,Defense Grid,Corridor Monitor,Arcum's Astrolabe,Cursed Totem,Taiga,Thoughtseize,Noble Hierarch
15,Faithless Looting,Lodestone Golem,Splinter Twin,Sylvan Library,Mana Tithe,Deathrite SHaman,Counterspell,Force of Vigor
16,Cabal Ritual,Goblin Welder,Vendilion Clique,Lotus Petal,Suppression Field,Wrenn and Six,Dark Confidant,Shelldock Isle
17,Manamorphose,"Daretti, Scrap Savant",Remand,Swan Song,"Thalia, Guardian of Thraben",Mystic Sanctuary,Mana Leak,Tireless Tracker
18,Tendrils of Agony,Mystic Forge,Cryptic Command,Urza's Bauble,Grand Abolisher,Flusterstorm,Daze,Once Upon A time
19,Mind's Desire,Great Furnace,True-Name Nemesis,Mishra's Bauble,Blind Obedience,Gush,Tezzeret the Seeker,Hallowed Fountain
20,Pyretic Ritual,Chromatic Star,Izzet Charm,Mystical Tutor,Path to Exile,Courser of Kruphix,Dark Depths,Eternal Witness
21,Desperate Ritual,Academy Ruins,Vedalken Shackles,"Karn, Scion of Urza",Tithe Taker,Ramunap Excavator,Memory Lapse,Swords to Plowshares
22,Past in Flames,Memory Jar,Negate,Forbidden Orchard,Nature's Chant,Ancient Grudge,Pack Rat,Watcher for Tomorrow
23,Seething Song,Paradox Engine,Deceiver Exarch,Grove of the Burnwillows,Settle the Wreckage,Fastbond,"Dovin, Hand of Control",Stoneforge Mystic
24,Gemstone Mine,Pyroblast,Grafdigger's Cage,Oath of Druids,"Kataki, War's Wage",Fetid Pools,Ancestral Vision,Shardless Agent
25,Sulfur Vent,Inventors' Fair,Red Elemental Blast,Mystical Dispute,Disenchant,Duress,Manifold Key,Aether Vial
26,Tendo Ice Bridge,Blast Zone,Spellskite,Punishing Fire,Mother of Runes,Baleful Strix,Voltaic Key,Cavern of Souls
27,Aether Hub,Batterskull,Fiery Islet,Stomping Ground,Ethersworn Canonist,Tarmogoyf,Sunken Ruins,Trinket Mage
28,Burning Wish,Metalworker,Cascade Bluffs,Shivan Reef,Leonin Arbiter,Inquisition of Kozilek,Underground River,Aether Spellbomb
29,Simian Spirit Guide,Everflowing Chalice,Spirebluff Canal,Portent,Mentor of the Meek,Scavenging Ooze,Adarkar Wastes,Karakas
30,Dark Petition,Talisman of Creativity,Shattering Spree,Sulfur Falls,Eight-and-a-Half-Tails,Nature's Claim,Lim-Dul's Vault,Mindbreak Trap
31,Reckless Air Strike,Shattering Pulse,Imperial Recruiter,Prophetic Prism,Recruiter of the Guard,Dryad Arbor,Mystic Gate,Callous Dismissal
32,Grapeshot,Foundry Inspector,Temple of Epiphany,Worldspine Wurm,Seal Away,"Leovold, Emissary of Trest",Glacial Fortress,Brazen Borrower
33,Chain of Vapor,Astral Cornucopia,Lightning Bolt,Through the Breach,Bygone Bishop,Life from the Loam,Drowned Catacomb,Umezawa's Jitte
34,Void snare,Temple Bell,Pestermite,Mycosynth Lattice,Blessed Alliance,Elvish Reclaimer,Creeping Tar Pit,Waterlogged Grove
35,Vivid Marsh,Darksteel Citadel,Archmage's Charm,Bayou,Spirit of the Labyrinth,Overgrown Tomb,Vampire Hexmage,Deputy of Detention
36,Frantic Search,Trading Post,Thirst for Knowledge,Mind Twist,Forsake the Worldly,Abrupt Decay,Thespian's Stage,Knight of Autumn
37,Deface,Chaos Warp,Blood Moon,Wurmcoil Engine,Ghostly Prison,Reclamation Sage,"Urborg, Tomb of Yawgmoth",Damping Sphere
38,Rite of Flame,Mind Stone,Magus of the Moon,Engineered Explosives,Sevinne's Reclamation,Nurturing Peatland,Toxic Deluge,Savannah
39,Pentad Prism,Lightning Greaves,Abrade,Tormod's Crypt,"Tomik, Distinguished Advokist",Fatal Push,Fragmentize,Choke
40,Time Spiral,Terrarion,Hope of Ghirapur,Fabled Passage,Containment Priest,Exploration,Silent Clearing,Horizon Canopy
41,Yawgmoth's Bargain,Trinisphere,Gigadrowse,Prismatic Lens,Aegis of the Gods,Tranquil Thicket,Revoke Existence,Palace Jailer
42,Incite,Phyrexian Metamorph,Pact of Negation,"Ulamog, the Infinite Gyre",Aven Mindcensor,Dismember,Seal of Cleansing,Seal of Primordium
