,64 squares,Ever,Mason,Talanthalos,sphagan,quickwit29,theRealpoBBpC,masterplum
Date,2023-02-02,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/16t9_aihMLTwg7LFq92Ev8EuFPWJaWs-Co7GUfoMTjOI/edit#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Black Lotus,Ancestral Recall,Mana Crypt,Mox Emerald,Mox Jet,Mox Ruby,Mox Pearl,Mox Sapphire
2,Tinker,Force of Will,Urza's Saga,"Ragavan, Nimble Pilferer",Vampiric Tutor,Sol Ring,Enlightened Tutor,Time Walk
3,Time Vault,Force of Negation,Mox Opal,Mox Diamond,Hullbreacher,Fastbond,Sylvan Library,"Oko, Thief of Crowns"
4,Mana Vault,Mana Drain,Thoughtseize,Hexdrinker,"Narset, Parter of Veils",Strip Mine,Lurrus of the Dream-Den,Snapcaster Mage
5,Chrome Mox,Scalding Tarn,Spell Pierce,"Minsc & Boo, Timeless Heroes",Timetwister,Veil of Summer,Earthcraft,"Teferi, Time Raveler"
6,Grim Monolith,Mental Misstep,Stoneforge Mystic,"Boseiju, Who Endures",Polluted Delta,Dark Depths,Squirrel Nest,Gitaxian Probe
7,"Karn, the Great Creator",Flooded Strand,Walking Ballista,Ignoble Hierarch,Dark Ritual,Green Sun's Zenith,Once Upon a Time,Misty Rainforest
8,Sensei's Divining Top,Pyroblast,Tolarian Academy,Ancient Tomb,Preordain,Wooded Foothills,Noble Hierarch,Swords to Plowshares
9,Dack Fayden,Red Elemental Blast,Gaea's Cradle,Questing Beast,"Urza, Lord High Artificer",Wrenn and Six,Serra's Sanctum,Esper Sentinel
10,Ponder,Volcanic Island,Mishra's Workshop,Lightning Bolt,Karakas,Wasteland,Savannah,Windswept Heath
11,Tezzeret the Seeker,Tundra,Prismatic Ending,Taiga,Vendilion Clique,"Yavimaya, Cradle of Growth",Sterling Grove,Counterspell
12,Bloodstained Mire,Solitude,The Mycosynth Gardens,"Laelia, the Blade Reforged",Consider,Stomping Ground,Horizon Canopy,Brazen Borrower
13,Arid Mesa,March of Otherworldly Light,City of Brass,Verdant Catacombs,Arcum's Astrolabe,Ramunap Excavator,"Sythis, Harvest's Hand",Hallowed Fountain
14,Steam Vents,White Plume Adventurer,Mana Confluence,Bonecrusher Giant,Spellseeker,Courser of Kruphix,Destiny Spinner,Prismatic Vista
15,Brainstorm,Seasoned Dungeoneer,Umezawa's Jitte,Birds of Paradise,Ledger Shredder,Crop Rotation,Argothian Enchantress,Collector Ouphe
16,Goblin Welder,"Lutri, the Spellchaser","Emry, Lurker of the Loch",Abrade,"Sheoldred, the Apocalypse",Crucible of Worlds,On Thin Ice,Monastery Mentor
17,Goblin Engineer,Fury,Ancient Grudge,Robber of the Rich,"Jace, Vryn's Prodigy",Ancient Stirrings,Stony Silence,Treasure Cruise
18,Basalt Monolith,"Otawara, Soaring City",Dismember,Assassin's Trophy,Displacer Kitten,Amulet of Vigor,Setessan Champion,Mystical Tutor
19,"Zirda, the Dawnwaker",Caves of Chaos Adventurer,Hangarback Walker,Abrupt Decay,Reanimate,Conduit of Worlds,Land Tax,Daze
20,"Karn, Scion of Urza",Path to Exile,Tormod's Crypt,Marsh Flats,Entomb,"Titania, Voice of Gaea",Rite of Harmony,Regrowth
21,Wheel of Fortune,Mystical Dispute,Skullclamp,Badlands,Underground Sea,Gamble,Enchantress's Presence,"Jace, the Mind Sculptor"
22,Retrofitter Foundry,True-Name Nemesis,Arcbound Ravager,Bayou,Exhume,Life from the Loam,Replenish,Temple Garden
23,City of Traitors,Skyclave Apparition,Thought Monitor,Trinisphere,"Venser, Shaper Savant",Valakut Exploration,Rest in Peace,Loran of the Third Path
24,Mishra's Bauble,Aarakocra Sneak,Seat of the Synod,"Sokenzan, Crucible of Defiance",Wurmcoil Engine,Field of the Dead,Paladin Class,Defabricate
25,Transmute Artifact,Celestial Colonnade,Springleaf Drum,Cankerbloom,Recurring Nightmare,Thespian's Stage,Alseid of Life's Bounty,Mercurial Spelldancer
26,Spirebluff Canal,Fiery Islet,Ornithopter,Relic of Progenitus,Currency Converter,Eternal Witness,Wild Growth,Remorseful Cleric
27,Manifold Key,Adarkar Wastes,Shadowspear,Deathrite Shaman,Saw in Half,Noxious Revival,Myth Realized,Waterlogged Grove
28,Mystic Forge,Meltdown,Memnite,Fable of the Mirror-Breaker,Archon of Cruelty,"Omnath, Locus of Rage",Seal of Cleansing,Serum Visions
29,Shivan Reef,"Kataki, War's Wage",Frogmite,Force of Vigor,Energy Flux,Zuran Orb,Ethereal Armor,Street Wraith
30,Soul-Guide Lantern,Hengegate Pathway,Ray of Revelation,Back to Nature,Aura Flux,Gruul Turf,City of Solitude,Seachrome Coast
31,Riverglide Pathway,Fractured Identity,Sojourner's Companion,Nihil Spellbomb,Toxic Deluge,"Nissa, Vastwood Seer",Elephant Grass,Tropical Island
32,Great Furnace,"Comet, Stellar Pup",Myr Enforcer,Shatterskull Smashing,"Iona, Shield of Emeria","Argoth, Sanctum of Nature",Satyr Enchanter,Annul
33,"Daretti, Scrap Savant",Scheming Fence,Cranial Plating,Scavenging Ooze,Painter's Servant,Sylvan Scrying,Rule of Law,Overgrown Tomb
34,Lion's Eye Diamond,Dovin's Veto,Patchwork Automaton,Goblin Rabblemaster,Shelldock Isle,Maze of Ith,Abundant Growth,Demonic Tutor
35,Repeal,Palace Jailer,Vault Skirge,Kolaghan's Command,Grindstone,Explore,Ancestral Mask,Watery Grave
36,Voltaic Key,Submerge,Arcbound Worker,Scab-Clan Berserker,Sunken Ruins,Burgeoning,Slippery Bogle,Thassa's Oracle
37,Bolas's Citadel,Serenity,Iron Apprentice,Bloodbraid Elf,Liliana of the Veil,Reverent Silence,Heroic Intervention,Mana Leak
38,Mycosynth Lattice,Blue Elemental Blast,"Tezzeret, Agent of Bolas",Bane of Progress,Windfall,Vandalblast,Spirit Mantle,Manamorphose
39,Ensnaring Bridge,Plateau,Spire of Industry,"Thrun, the Last Troll",Hydroblast,Guttural Response,Gladecover Scout,Demonic Consultation
40,Cascade Bluffs,"Eiganjo, Seat of the Empire","Zabaz, the Glimmerwasp",Golgari Charm,Animate Dead,Avoid Fate,Rancor,Tainted Pact
41,Inventors' Fair,Raugrin Triome,Duress,Stormbreath Dragon,Grave Titan,Summoner's Pact,Razorverge Thicket,Remand
42,Chain of Vapor,Izzet Charm,Thoughtcast,Natural Order,Talisman of Dominance,Primeval Titan,Overgrown Farmland,Underground River
43,Liquimetal Coating,Burst Lightning,Steel Overseer,Progenitus,Hurkyl's Recall,Hanweir Battlements,Solitary Confinement,Baleful Strix
44,Talisman of Creativity,Sunbaked Canyon,Power Depot,Nature's Claim,Ertai Resurrected,Bazaar of Baghdad,All That Glitters,Darkslick Shores
45,Magma Mine,Glacial Fortress,Darksteel Citadel,Magus of the Moon,Arcane Denial,Allosaurus Shepherd,Gryff's Boon,Laboratory Maniac
46,Clock of Omens,Price of Progress,Arcbound Shikari,Blood Moon,Dauthi Voidwalker,Cinder Glade,Moat,Zagoth Triome
