,Austen,Taylor,Cameron,DJ,Ben,Chris,Leigh,Tyler
Wins,4,6,4,5,1,1,2,5
Losses,3,1,3,2,6,6,5,2
Date,2015-01-01,,,,,,,
1,Black Lotus,Ancestral Recall,Mox Sapphire,Sol Ring,Mox Jet,Mox Pearl,Mana Crypt,Mox Ruby
2,Force of Will,Mox Diamond,Mox Emerald,Time Vault,Mishra's Workshop,Mental Misstep,Mana Vault,Time Walk
3,Strip Mine,Mana Drain,Tinker,Voltaic Key,Tolarian Academy,Thoughtseize,Library of Alexandria,Spell Pierce
4,Vampiric Tutor,"Jace, the Mind Sculptor",Show and Tell,Brainstorm,Wasteland,Inquisition of Kozilek,Wheel of Fortune,Snapcaster Mage
5,Mystical Tutor,True-Name Nemesis,Blightsteel Colossus,Demonic Tutor,Maze of Ith,Mind Twist,Grindstone,Painter's Servant
6,Duress,Vendilion Clique,Lotus Petal,Transmute Artifact,Umezawa's jitte,Swords to Plowshares,Dack Fayden,Daze
7,Ponder,Null Rod,"Emrakul, the Aeons Torn",Tezzeret the Seeker,Smokestack,Scrubland,Splinter Twin,Remand
8,Serum Visions,Counterspell,Preordain,Chrome Mox,Lodestone Golem,Hymn to Tourach,Pestermite,Annul
9,Imperial Seal,Steel Sabotage,Griselbrand,Mox Opal,Trinket Mage,Enlightened Tutor,Volcanic Island,Scalding Tarn
10,Dark Confidant,Tundra,Misty Rainforest,Grim Monolith,Trinisphere,Tidehollow Sculler,"Kiki-Jiki, Mirror Breaker",Stony Silence
11,Young Pyromancer,Force Spike,Tropical Island,Wurmcoil Engine,Phyrexian Metamorph,Liliana of the Veil,Arid Mesa,Hallowed Fountain
12,Pyroblast,Memory Lapse,Misdirection,Underground Sea,Candelabra of Tawnos,Path to Exile,"Venser, Shaper Savant",Monastery Mentor
13,Delver of Secrets // Insectile Aberration,Isochron Scepter,Gitaxian Probe,Ancient Tomb,Etherium Sculptor,Energy Flux,Flooded Strand,Stoneforge Mystic
14,Gush,Polluted Delta,Inkwell Leviathan,Hurkyl's Recall,Pithing Needle,Watery Grave,Karakas,Batterskull
15,Spell Snare,Boomerang,Sylvan Library,City of Traitors,Mind Stone,Marsh Flats,Bribery,Windswept Heath
