,Katerberg,Patrick,Eric,Derian,Heidi,Chad,Pete,Alex
Date,2022-05-29,,,,,,,
Notes,,,,,,,,
Wins,7,2,2,3,4,6,1,5
Losses,0,5,5,4,3,1,6,2
1,Ancestral Recall,Mox Jet,Black Lotus,Time Vault,Mox Sapphire,mox ruby,mox emerald,sol ring
2,Force of Will,Scrubland,Demonic Tutor,Tinker,tundra,"Ragavan, Nimble Pilferer",Underground Sea,mox pearl
3,Hullbreacher,Bazaar of Baghdad,Mana Crypt,Time Walk,"teferi, time raveler",flooded strand,Tropical Island,mana vault
4,Force of Negation,Inquisition of Kozilek,Thoughtseize,Mana Drain,"lavinia, azorius renegade",scalding tarn,Bayou,vampiric tutor
5,Strip Mine,Grief,Fastbond,Counterspell,"thalia, guardian of thraben",marsh flats,Liliana of the Veil,"karn, the great creator"
6,"Narset, Parter of Veils",Reanimate,Zuran Orb,Crucible of Worlds,giver of runes,volcanic island,Fatal Push,grim monolith
7,Spell Pierce,Animate Dead,Ramunap Excavator,Snapcaster Mage,soulherder,arid mesa,Worldly Tutor,urza's saga
8,"Lutri, the Spellchaser",Dark Ritual,Misty Rainforest,Ledger Shredder,swords to plowshares,plateau,Rotting regisaur,tolarian academy
9,Daze,Exhume,Mox Diamond,"Oko, Thief of Crowns",armageddon,balance,"Ashiok, nightmare weaver",ancient tomb
10,"Otawara, Soaring City",Entomb,Chrome Mox,Prismatic Vista,esper sentinel,path to exile,Glimpse the Unthinkable,"urza, lord high artificer"
11,Wasteland,Solitude,mana confluence,"Boseiju, Who Endures","chun-li, countless kicks",lightning bolt,Diabolic Edict,mishra's workshop
12,Aether Vial,Lurrus of the dream-den,Cavern of Souls,"Uro, Titan of Nature's Wrath",selfless spirit,chain lightning,"Tergrid, God of Fright // Tergrid's Lantern",mox opal
13,True-Name Nemesis,Griselbrand,Polluted Delta,Gitaxian Probe,containment priest,pyroblast,smuggler's copter,dack fayden
14,Chill,Archon of Cruelty,Deathrite Shaman,Endurance,walking ballista,char,Isochron Scepter,manifold key
15,Dismember,Hymn to Tourach,Wooded Foothills,Voltaic Key,"rick, steadfast leader",red elemental blast,leyline of the void,lodestone golem
16,Mystical Dispute,Dauthi Voidwalker,Wheel of Fortune,Dig Through Time,scheming fence,light up the stage,City of Brass,sensei's divining top
17,Mutavault,Anguished Unmaking,BIrds of Paradise,Mystical Tutor,archon of emeria,Rift bolt,Hypnotic Specter,foundry inspector
18,Energy Flux,Godless Shrine,Bloodstained Mire,Oath of Druids,grand abolisher,vandalblast,maze of ith,goblin welder
19,Grafdigger's Cage,Necromancy,"Emrakul, the Aeons Torn","Kozilek, Butcher of Truth","iona, shield of emeria","chandra, dressed to kill",Academy Manufactor,time sieve
20,Vendilion Clique,Unmarked Grave,Sylvan Library,Blightsteel Colossus,hope of ghirapur,"chandra, torch of defiance",Bootleggers' Stash,thopter assembly
