,Red Beard,Patrick,Chad,Luke,Peter,Mark,Kevin,Heidi
Date,2021-11-21,,,,,,,
Notes,,,,,,,,
Wins,4,3,4,3,1,6,4,3
Losses,3,4,3,4,6,1,3,4
1,black lotus,Sol Ring,mox sapphire,time vault,Mox Jet,Mox Emerald,Mox Ruby,ancestral recall
2,Strip Mine,Demonic Tutor,"narset, parter of veils",Tinker,Vampiric Tutor,Mox Pearl,"Ragavan, Nimble Pilferer",dack fayden
3,Time Walk,Dark Confidant,"teferi, time raveler",Mana vault,Wheel of Fortune,Mana Crypt,lightning Bolt,"emry, lurker of the loch"
4,"Urza, Lord High Artificer",Reanimate,force of will,"Jace, the mind sculptor",Twincast,"Karn, the Great Creator",Goblin Guide,grim monolith
5,Winter Orb,Entomb,prismatic vista,Force of Negation,Animate Dead,Thoughtseize,Inquisition of Kozilek,true-name nemesis
6,Timetwister,Bazaar of Baghdad,misty rainforest,Blightsteel Colossus,"Kroxa, Titan of Death's Hunger",Mind Twist,Terminate,urza's saga
7,Hullbreacher,Griselbrand,"oko, thief of crowns",Voltaic Key,Scalding Tarn,Mox Diamond,Badlands,Mindslaver
8,Chrome Mox,Exhume,ponder,Mana Drain,Verdant Catacombs,Hymn to Tourach,Grave Titan,Ral Zarek
9,Fastbond,Necromancy,snapcaster mage,Channel,Rotting Regisaur,Tolarian Academy,Blood Crypt,ensnaring bridge
10,Wooded Foothills,Bitterblossom,spell pierce,counterspell,Diabolic Edict,Dark Ritual,Unholy Heat,trash for treasure
11,Tropical Island,Yawgmoth's Will,brainstorm,Sensei's divining top,Abrade,Lotus Petal,Manaform Hellkite,"Sai, master thopterist"
12,Volcanic Island,Path To Exile,flooded strand,Veil of Summer,Questing Beast,Mox Opal,Immersturm Predator,mystic forge
13,Time Spiral,Liliana of the Veil,daze,"Leovold, emissary of trest",Fatal Push,Bloodstained Mire,Thunderbreak Regent,mishra's bauble
14,Tendrils of Agony,Collective Brutality,mystical tutor,Polluted Delta,Underground Sea,Painter's Servant,Verix Bladewing,walking ballista
15,Underworld Breach,Imperial Seal,dig through time,bayou,Taiga,Scrubland,Opportunistic Dragon,"ashiok, dream render"
16,Spellseeker,Silence,miscalculation,Watery grave,Overgrown Tomb,Marsh Flats,Leyline Tyrant,mystic sanctuary
