,Greg,Dave,Mark,Randy,Aaron,Zac,BDM,Worth
Wins,0,0,2,3,0,0,0,0
Losses,0,0,3,4,0,0,0,0
Date,2010-09-22,,,,,,,
1,Necropotence,Black Lotus,Sol Ring,Ancestral Recall,Time Vault,Time Walk,Mox Sapphire,Mox Ruby
2,Demonic Tutor,Mana Crypt,Mishra's Workshop,Mox Jet,Mox Pearl,"Jace, the Mind Sculptor",Force of Will,Skullclamp
3,Mind Twist,Mana Vault,Strip Mine,Tinker,Balance,Mana Drain,Daze,Wheel of Fortune
4,Sensei's Divining Top,Timetwister,Crucible of Worlds,Grim Monolith,Yawgmoth's Will,Painter's Servant,Remand,Mox Emerald
5,Vampiric Tutor,Tolarian Academy,Wasteland,Voltaic Key,Dark Confidant,Counterspell,Aether Vial,Lightning Bolt
6,Inquisition of Kozilek,Thoughtseize,Sphere of Resistance,Metalworker,Dark Ritual,Grindstone,Vendilion Clique,Fireblast
7,Hymn to Tourach,Windfall,Thorn of Amethyst,Darksteel Colossus,Yawgmoth's Bargain,Force Spike,"Venser, Shaper Savant",Umezawa's Jitte
8,Sinkhole,Disrupt,The Tabernacle at Pendrell Vale,Mystical Tutor,Lotus Cobra,Tezzeret the Seeker,Spell Pierce,Chain Lightning
9,Mesmeric Fiend,Divert,Ancient Tomb,Mox Diamond,Tarmogoyf,"Thada Adel, Acquisitor",Merrow Reejerey,Rift Bolt
10,Entomb,Chrome Mox,Expedition Map,Ancestral Vision,Duress,Time Spiral,Lord of Atlantis,Goblin Lackey
11,Animate Dead,Worn Powerstone,Chalice of the Void,Mindslaver,Enlightened Tutor,Tangle Wire,Brainstorm,Magus of the Moon
12,Hypnotic Specter,Lion's Eye Diamond,Rishadan Port,Memory Jar,Recurring Nightmare,Cryptic Command,Gush,Bloodbraid Elf
13,Imperial Seal,Tolaria West,Trinisphere,Goblin Welder,Academy Rector,Fact or Fiction,Mana Leak,Regrowth
14,Dark Depths,Firestorm,City of Traitors,Personal Tutor,Eternal Witness,Miscalculation,Standstill,Sylvan Library
15,Vampire Hexmage,Trinket Mage,Candelabra of Tawnos,Mind's Desire,Survival of the Fittest,Memory Lapse,Foil,Ankh of Mishra
16,Bitterblossom,Tendrils of Agony,Academy Ruins,Thirst for Knowledge,Vindicate,Condescend,Rootwater Thief,Goblin Piledriver
17,Gatekeeper of Malakir,Dreadship Reef,Thran Dynamo,Lotus Petal,Qasali Pridemage,Library of Alexandria,Coralhelm Commander,Goblin Guide
18,Nantuko Shade,Pentad Prism,Smokestack,Stroke of Genius,Gaddock Teeg,Powder Keg,Glen Elendra Archmage,Pyroblast
19,Persecute,Meditate,Black Vise,Everflowing Chalice,Pernicious Deed,Repeal,Spellstutter Sprite,Kird Ape
20,Nevinyrral's Disk,Turnabout,Defense Grid,Frantic Search,Sword of Fire and Ice,Masticore,Merfolk Sovereign,Goblin Warchief
21,Winter Orb,Hurkyl's Recall,"Karn, Silver Golem",Power Artifact,Maelstrom Pulse,Power Sink,Cursecatcher,Grim Lavamancer
22,Phyrexian Negator,Lotus Bloom,Lodestone Golem,Merchant Scroll,Vengevine,Pact of Negation,Silvergill Adept,Goblin Patrol
23,Tombstalker,Treachery,Scorched Ruins,Pyroclasm,Uktabi Orangutan,Old Man of the Sea,Mutavault,Red Elemental Blast
24,Doom Blade,Preordain,Maze of Ith,Copy Artifact,Knight of the Reliquary,Blue Elemental Blast,"Kataki, War's Wage",Incinerate
25,Diabolic Edict,Ponder,Vesuva,All is Dust,Windswept Heath,Gifts Ungiven,Meddling Mage,Jackal Pup
26,Buried Alive,Molten Slagheap,Life from the Loam,Basalt Monolith,Verdant Catacombs,Control Magic,Riptide Laboratory,Volcanic Hammer
27,Exhume,Gilded Lotus,Coalition Relic,Izzet Signet,Marsh Flats,Legacy's Allure,Tundra,Goblin Recruiter
28,Beseech the Queen,Steam Vents,Propaganda,Volcanic Island,Scrubland,Hydroblast,Hallowed Fountain,Mogg Flunkies
29,Tendrils of Corruption,Underground Sea,Tropical Island,Scalding Tarn,Solemn Simulacrum,Vedalken Shackles,Mystic Remora,Figure of Destiny
30,Withered Wretch,Polluted Delta,Simic Signet,Thoughtcast,Viridian Shaman,Dismiss,"Teferi, Mage of Zhalfir",Vexing Shusher
31,Juzam Djinn,Bloodstained Mire,UNKNOWN,Platinum Angel,Savannah,Annul,Scroll Thief,Taiga
32,Smother,Rebuild,Crop Rotation,Mind Stone,Bayou,Sower of Temptation,Cold-Eyed Selkie,Gaea's Cradle
33,Nezumi Shortfang // Stabwhisker the Odious,Impulse,Mishra's Factory,Braingeyser,Giant Solifuge,Wayfarer's Bauble,Galina's Knight,Ball Lightning
34,Cabal Coffers,High Tide,Jeweled Amulet,Sundering Titan,Armageddon,Forbid,"Sygg, River Guide",Price of Progress
35,Profane Command,Watery Grave,Misty Rainforest,Negate,Birds of Paradise,Mulldrifter,Deep Analysis,Relic of Progenitus
36,Damping Matrix,Mana Short,Transmute Artifact,Fellwar Stone,Sword of Light and Shadow,Fabricate,Ninja of the Deep Hours,Tormod's Crypt
37,Pithing Needle,Mind over Matter,Flooded Grove,Crumbling Sanctuary,Tidehollow Sculler,Jace Beleren,Energy Flux,Blood Moon
38,Damnation,Cabal Ritual,Brittle Effigy,Banefire,Noble Hierarch,Jace's Ingenuity,Grimoire Thief,Shattering Spree
39,Slaughter Pact,Seething Song,Krosan Grip,Scroll Rack,Indrik Stomphowler,Disrupting Shoal,Cosi's Trickster,Tattermunge Maniac
40,Shriekmaw,Dizzy Spell,Ivory Tower,Urza's Bauble,Fauna Shaman,Deprive,Aether Adept,Kargan Dragonlord
41,Grave Titan,Burning Wish,Sculpting Steel,Seat of the Synod,Ethersworn Canonist,Capsize,Muddle the Mixture,Warren Instigator
42,Sadistic Sacrament,Empty the Warrens,Breeding Pool,Mishra's Bauble,Choke,Gainsay,Absolute Law,Siege-Gang Commander
43,"Iona, Shield of Emeria",Chain of Vapor,Compulsive Research,Brain Freeze,Great Sable Stag,Exclude,Puresight Merrow,Stingscourger
44,Abyssal Persecutor,Zuran Orb,Fastbond,Cascade Bluffs,Kitchen Finks,Back to Basics,Absorb,Flame Rift
45,Arrogant Bloodlord,Recoup,Portent,Covetous Dragon,Basking Rootwalla,Bribery,Stonybrook Banneret,Boggart Ram-Gang
46,Faceless Butcher,Engineered Explosives,Myr Enforcer,Master Transmuter,Stoneforge Mystic,Telemin Performance,Sage of Fables,Gempalm Incinerator
47,Ashenmoor Gouger,Cloud of Faeries,Upheaval,Aether Spellbomb,Wooded Foothills,Arcane Laboratory,Flooded Strand,Goblin Chieftain
48,Plague Sliver,Chromatic Star,Elvish Spirit Guide,Pyrite Spellbomb,Sun Titan,Threads of Disloyalty,Mystic Gate,Stomping Ground
49,"Akroma, Angel of Wrath",Chromatic Sphere,Bazaar of Baghdad,Barbed Sextant,Oblivion Ring,Steal Artifact,Wake Thrasher,Goblin Ringleader
50,Ghastlord of Fugue,Temple Bell,Halimar Depths,Serum Visions,Treetop Village,Flashfreeze,Serenity,Skirk Prospector
51,Dauthi Horror,Dispel,Yavimaya Coast,fire // ice,Summoning Trap,Seasinger,Wistful Selkie,Viashino Heretic
52,Nekrataal,Palinchron,Trygon Predator,Lightning Greaves,Swords to Plowshares,Mind Harness,Streambed Aquitects,Goblin Sharpshooter
53,Ravenous Rats,Riftwing Cloudskate,Simic Growth Chamber,Cephalid Coliseum,"Doran, the Siege Tower",Jushi Apprentice // Tomoya the Revealer,Skywatcher Adept,Searing Blaze
54,Nezumi Graverobber // Nighteyes the Desecrator,Night's Whisper,Elephant Grass,Shivan Reef,Murmuring Bosk,Phyrexian Furnace,Enclave Cryptologist,Ground Seal
55,Mutilate,Ignite Memories,Gilded Drake,Etherium Sculptor,Behemoth Sledge,Wall of Frost,Mothdust Changeling,Mogg Fanatic
56,Fulminator Mage,Rakdos Signet,Null Rod,Flametongue Kavu,Engineered Plague,Misdirection,Teferi's Moat,Arid Mesa
57,Phyrexian Arena,Ghastly Demise,Tendo Ice Bridge,"Boseiju, Who Shelters All",Acidic Slime,Serrated Arrows,Glacial Fortress,Ancient Grudge
58,Consume the Meek,Crumbling Necropolis,Naturalize,Mindbreak Trap,"Elspeth, Knight-Errant",Chill,Wanderwine Hub,Burning-Tree Shaman
59,Drain Life,Conjurer's Bauble,Gemstone Mine,Duplicant,Putrid Leech,Spell Snare,Gigadrowse,Mogg War Marshal
