,sti,RagingLevine,Talanthalos,Hyphen-ated,Ever,Tunalip,DedZeppelin,Rosa
Date,2021-10-11,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1tcT8xpjIvg-JmLZoayEkFFKzzPZgmQ0TPcX5o2gvWC4/edit#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Black Lotus,Ancestral Recall,Mox Sapphire,Mana Crypt,Mox Jet,Sol Ring,Mox Ruby,Mox Emerald
2,Hullbreacher,Force of Negation,Force of Will,Tinker,Time Vault,Time Walk,Strip Mine,Mox Pearl
3,"Narset, Parter of Veils",Snapcaster Mage,Spell Pierce,Mox Diamond,Demonic Tutor,Mana Drain,"Ragavan, Nimble Pilferer",Vampiric Tutor
4,Chrome Mox,Counterspell,Daze,Mystical Tutor,Thoughtseize,"Oko, Thief of Crowns",Wheel of Fortune,Imperial Seal
5,Mental Misstep,Misty Rainforest,Polluted Delta,"Karn, the Great Creator",Mana Vault,Flooded Strand,Arid Mesa,Verdant Catacombs
6,Gitaxian Probe,Prismatic Vista,Bloodstained Mire,Channel,Grim Monolith,Scalding Tarn,Wasteland,Marsh Flats
7,Timetwister,"Lutri, the Spellchaser",Inquisition of Kozilek,Windswept Heath,Duress,Wooded Foothills,Lightning Bolt,Mind Twist
8,Tropical Island,Vendilion Clique,Brainstorm,Library of Alexandria,Painter's Servant,"Jace, the Mind Sculptor",Goblin Guide,Opposition Agent
9,Breeding Pool,"Teferi, Time Raveler",Underground Sea,Tolarian Academy,Yawgmoth's Will,Pyroblast,Red Elemental Blast,Dark Confidant
10,Show and Tell,Tundra,"Jace, Vryn's Prodigy // Jace, Telepath Unbound",Urza's Saga,Dark Ritual,Volcanic Island,Plateau,Hymn to Tourach
11,"Emrakul, the Aeons Torn",Mystical Dispute,Collective Brutality,Hallowed Fountain,Entomb,Lotus Petal,Dragon's Rage Channeler,Liliana of the Veil
12,Preordain,Swords to Plowshares,Noble Hierarch,Blightsteel Colossus,Archon of Cruelty,Steam Vents,Monastery Swiftspear,Grief
13,Lion's Eye Diamond,Ponder,Bayou,"Urza, Lord High Artificer",Reanimate,Underworld Breach,Chain Lightning,Check for Traps
14,Consider,True-Name Nemesis,Sylvan Library,Mox Opal,Griselbrand,Dack Fayden,Fireblast,Agonizing Remorse
15,Dig Through Time,Treasure Cruise,Collector Ouphe,Basalt Monolith,Manifold Key,Taiga,Soul-guide Lantern,Dauthi Voidwalker
16,Mental Note,Thought Scour,Flusterstorm,Transmute Artifact,Voltaic Key,Brain Freeze,Soul-scar Mage,Veil of Summer
17,Oath of Druids,Serum Visions,Once Upon A Time,Miscast,Night's Whisper,Sleight of Hand,Goblin Rabblemaster,Overgrown Tomb
18,Swan Song,Opt,Nature's Claim,Walking Ballista,Wurmcoil Engine,Remand,Grim Lavamancer,Scrubland
19,Shelldock Isle,Impulse,Grafdigger's Cage,Waterlogged Grove,Nihil Spellbomb,Abrade,Rest in Peace,Dark Depths
20,Botanical Sanctum,Spellseeker,Submerge,Relic of Progenitus,Animate Dead,Dispel,Smash to Smithereens,Vampire Hexmage
21,Yavimaya Coast,Containment Priest,Mana Confluence,Flooded Grove,Karakas,Sensei's Divining Top,Sacred Foundry,Leyline of the Void
22,Aether Spellbomb,"Dovin, Hand of Control",Tormod's Crypt,City of Brass,Leyline of Sanctity,Hinterland Harbor,Light Up the Stage,Seedtime
23,Echo of Eons,Seachrome Coast,Mutagenic Growth,Power Artifact,Grave Titan,Glen Elendra Archmage,Sulfuric Vortex,Abrupt Decay
24,Fastbond,Council's Judgment,Glistener Elf,Phyrexian Revoker,Sign in Blood,Mystic Confluence,Sunbaked Canyon,Assassin's Trophy
25,Arcane Denial,Aven Mindcensor,Berserk,Pithing Needle,Exhume,"Ashiok, Dream Render",Shrine of Burning Rage,Deathrite Shaman
26,Natural State,Fragmentize,Blighted Agent,Portent,Castle Locthwain,Negate,Eidolon of the Great Revel,Ignoble Hierarch
27,Chromatic Star,Sorcerous Spyglass,Simic Charm,Chill,"Ulamog, the Infinite Gyre",Ancient Grudge,Goblin Cratermaker,Scavenging Ooze
28,Savannah,Dovin's Veto,Invigorate,Barkchannel Pathway // Tidechannel Pathway,Grindstone,Fiery Islet,Balance,Crop Rotation
29,Horizon Canopy,Glacial Fortress,Plague Stinger,Seat of the Synod,Fatal Push,Blue Elemental Blast,Flame Rift,Maze of Ith
30,Adarkar Wastes,Hengegate Pathway // Mistgate Pathway,Blight Mamba,Tree of Tales,Mind Rake,Bribery,Skullcrack,Thespian's Stage
31,Forbidden Orchard,Archmage's Charm,Zagoth Triome,"Karn, Scion of Urza","Urborg, Tomb of Yawgmoth","Chandra, Torch of Defiance",Skewer the Critics,Endurance
