"""Ach! Hans, Run!""",2004-11-19,GR,6,{2}{R}{R}{G}{G},Enchantment
"""Brims"" Barone, Midway Mobster",2022-10-07,BW,5,{3}{W}{B},Creature
"""Lifetime"" Pass Holder",2022-10-07,B,1,{B},Creature
"""Name Sticker"" Goblin",2022-10-07,R,3,{2}{R},Creature
"""Rumors of My Death . . .""",2017-12-08,B,3,{2}{B},Enchantment
+2 Mace,2021-07-23,W,2,{1}{W},Artifact
1996 World Champion,1996-08-14,BGRUW,5,{W}{U}{B}{R}{G},Summon;Legend
A Display of My Dark Power,2010-06-18,,0,,Scheme
A Girl and Her Dogs,2024-08-02,W,5,{4}{W},Creature
A Golden Opportunity,2023-10-10,G,3,{2}{G},Enchantment
A Good Day to Pie,2022-10-07,W,2,{1}{W},Instant
A Good Thing,2019-11-07,BW,6,{4}{W}{B},Enchantment
A Killer Among Us,2024-02-09,G,5,{4}{G},Enchantment
A Little Chat,2022-04-29,U,2,{1}{U},Instant
A Premonition of Your Demise,2024-09-27,,0,,Scheme
A Real Handful,2022-10-07,B,4,{3}{B},Creature
A Reckoning Approaches,2017-06-16,,0,,Scheme
A Tale for the Ages,2023-09-08,W,2,{1}{W},Enchantment
A-Acererak the Archlich,2021-07-23,B,3,{2}{B},Creature
A-Akki Ronin,2022-02-18,R,1,{R},Creature
A-Alrund's Epiphany,2021-02-05,U,7,{5}{U}{U},Sorcery
"A-Alrund, God of the Cosmos // A-Hakka, Whispering Raven",2021-02-05,U,5,{3}{U}{U},Creature
A-Ancestral Katana,2022-02-18,W,2,{1}{W},Artifact
A-Ardent Dustspeaker,2021-04-23,R,3,{2}{R},Creature
A-Armory Veteran,2021-07-23,R,2,{1}{R},Creature
A-Asari Captain,2022-02-18,RW,3,{1}{R}{W},Creature
A-Baleful Beholder,2022-07-07,B,6,{4}{B}{B},Creature
A-Base Camp,2020-09-25,,0,,Land
A-Binding Geist // A-Spectral Binding,2021-11-19,U,2,{1}{U},Creature
A-Blessed Hippogriff // A-Tyr's Blessing,2022-07-07,W,4,{3}{W},Creature
A-Blood Artist,2020-07-17,B,2,{1}{B},Creature
A-Bretagard Stronghold,2021-02-05,GW,0,,Land
A-Briar Hydra,2022-09-09,G,4,{3}{G},Creature
A-Brine Comber // A-Brinebound Gift,2021-11-19,UW,3,{1}{W}{U},Creature
A-Bruenor Battlehammer,2021-07-23,RW,4,{2}{R}{W},Creature
A-Buy Your Silence,2022-04-29,W,5,{4}{W},Instant
A-Cabaretti Charm,2022-04-29,GRW,3,{R}{G}{W},Instant
A-Canopy Tactician,2021-02-05,G,4,{3}{G},Creature
A-Capenna Express,2022-04-29,G,4,{3}{G},Artifact
A-Carnelian Orb of Dragonkind,2022-07-07,R,3,{2}{R},Artifact
A-Case the Joint,2022-04-29,U,5,{4}{U},Sorcery
A-Cauldron Familiar,2019-10-04,B,1,{B},Creature
A-Celebrity Fencer,2022-04-29,W,4,{3}{W},Creature
A-Celestial Regulator,2022-04-29,UW,3,{1}{W}{U},Creature
A-Circle of the Land Druid,2022-07-07,G,2,{1}{G},Creature
A-Circuit Mender,2022-02-18,,3,{3},Artifact;Creature
A-Civil Servant,2022-04-29,GW,2,{G}{W},Creature
A-Cloister Gargoyle,2021-07-23,W,2,{1}{W},Artifact;Creature
A-Cobbled Lancer,2021-11-19,U,1,{U},Creature
A-Cosmos Charger,2021-02-05,U,3,{2}{U},Creature
A-Cosmos Elixir,2021-02-05,,4,{4},Artifact
A-Dawnbringer Cleric,2021-07-23,W,2,{1}{W},Creature
A-Deal Gone Bad,2022-04-29,B,4,{3}{B},Instant
A-Death-Priest of Myrkul,2021-07-23,B,4,{2}{B}{B},Creature
A-Demilich,2021-07-23,U,4,{U}{U}{U}{U},Creature
A-Demon's Due,2022-04-29,B,4,{3}{B},Instant
A-Devoted Grafkeeper // A-Departed Soulkeeper,2021-09-24,UW,2,{W}{U},Creature
A-Dokuchi Silencer,2022-02-18,B,2,{1}{B},Creature
"A-Dorothea, Vengeful Victim // A-Dorothea's Retribution",2021-11-19,UW,2,{W}{U},Creature
A-Dragon's Rage Channeler,2021-06-18,R,1,{R},Creature
A-Dragonborn Looter,2022-07-07,U,1,{U},Creature
A-Dreamshackle Geist,2021-11-19,U,3,{1}{U}{U},Creature
A-Druid Class,2021-07-23,G,2,{1}{G},Enchantment
A-Druidic Ritual,2022-07-07,G,3,{2}{G},Sorcery
A-Dueling Coach,2021-04-23,W,4,{3}{W},Creature
A-Dungeon Descent,2021-07-23,,0,,Land
A-Dwarfhold Champion,2021-07-23,W,2,{1}{W},Creature
A-Earthquake Dragon,2022-07-07,G,15,{14}{G},Creature
A-Eiganjo Exemplar,2022-02-18,W,1,{W},Enchantment;Creature
A-Elderfang Ritualist,2021-02-05,B,2,{1}{B},Creature
A-Elderleaf Mentor,2021-02-05,G,3,{2}{G},Creature
A-Ellywick Tumblestrum,2021-07-23,G,4,{2}{G}{G},Planeswalker
A-Elven Bow,2021-02-05,G,1,{G},Artifact
A-Emerald Dragon // A-Dissonant Wave,2022-07-07,G,6,{4}{G}{G},Creature
A-Excavation Explosion,2022-11-18,R,3,{2}{R},Instant
A-Exhibition Magician,2022-04-29,R,3,{2}{R},Creature
A-Eyes of the Beholder,2022-07-07,B,5,{3}{B}{B},Instant
A-Falcon Abomination,2021-09-24,U,3,{2}{U},Creature
A-Fall of the Impostor,2021-02-05,GW,2,{G}{W},Enchantment
A-Fates' Reversal,2021-07-23,B,1,{B},Sorcery
A-Find the Path,2021-07-23,G,3,{2}{G},Enchantment
A-Fires of Invention,2019-10-04,R,5,{4}{R},Enchantment
A-Forge Boss,2022-04-29,BR,4,{2}{B}{R},Creature
A-Futurist Operative,2022-02-18,U,1,{U},Creature
A-Galvanic Discharge,2024-06-14,R,1,{R},Instant
A-Geological Appraiser,2023-11-17,R,5,{3}{R}{R},Creature
A-Geology Enthusiast,2022-11-18,U,4,{2}{U}{U},Creature
A-Glamorous Outlaw,2022-04-29,BRU,6,{3}{U}{B}{R},Creature
A-Glittermonger,2022-04-29,G,4,{3}{G},Creature
A-Gnarlid Colony,2020-09-25,G,2,{1}{G},Creature
A-Goggles of Night,2022-07-07,U,2,{1}{U},Artifact
A-Goma Fada Vanguard,2020-09-25,R,2,{1}{R},Creature
A-Graveyard Shift,2022-04-29,B,5,{4}{B},Sorcery
A-Guide of Souls,2024-06-14,W,1,{W},Creature
A-Guildsworn Prowler,2022-07-07,B,2,{1}{B},Creature
A-Gutter Skulker // A-Gutter Shortcut,2021-11-19,U,3,{2}{U},Creature
A-Hagra Constrictor,2020-09-25,B,2,{1}{B},Creature
A-Hall of Tagsin,2022-11-18,,0,,Land
A-Harald Unites the Elves,2021-02-05,BG,4,{2}{B}{G},Enchantment
"A-Harald, King of Skemfar",2021-02-05,BG,3,{1}{B}{G},Creature
A-Haywire Mite,2022-11-18,G,1,{1},Artifact;Creature
A-Heartfire Hero,2024-08-02,R,1,{R},Creature
