,everbrink,masterplum,joed8004,sphagan,trashboat6824,_mr.bishop,yogapantz,sti1983
Date,2024-03-03,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1xE-2-T2sIJMddQW_kO27lsSeP648VR4WeikCU2EMz-g/edit#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Ancestral Recall,Black Lotus,Mana Crypt,Mox Jet,Mox Sapphire,Mox Ruby,Time Walk,Mox Pearl
2,Force of Negation,Demonic Tutor,White Plume Adventurer,Sol Ring,Force of Will,"Ragavan, Nimble Pilferer","Oko, Thief of Crowns",Mox Emerald
3,Thoughtseize,Vampiric Tutor,Mox Diamond,Urza's Saga,Spell Pierce,Ancient Tomb,Time Vault,Mana Vault
4,Snapcaster Mage,Mental Misstep,Chrome Mox,Hullbreacher,"Teferi, Time Raveler","Minsc & Boo, Timeless Heroes",Tinker,The One Ring
5,Mana Drain,Underworld Breach,Forth Eorlingas!,"Karn, the Great Creator","Narset, Parter of Veils",Strip Mine,Grim Monolith,Tolarian Academy
6,Polluted Delta,Brain Freeze,Gitaxian Probe,Thassa's Oracle,Misty Rainforest,Prismatic Vista,Flooded Strand,Library of Alexandria
7,Underground Sea,Scalding Tarn,Swords to Plowshares,Mystical Tutor,Tundra,Veil of Summer,"Urza, Lord High Artificer",Mishra's Workshop
8,Inquisition of Kozilek,Bloodstained Mire,Caves of Chaos Adventurer,Dark Ritual,Tropical Island,Lightning Bolt,Windswept Heath,Mox Opal
9,Watery Grave,Timetwister,Arid Mesa,Consider,Wooded Foothills,Verdant Catacombs,Stoneforge Mystic,Preordain
10,Orcish Bowmasters,Daze,Karakas,Lotus Petal,Red Elemental Blast,Pyroblast,Ponder,Dack Fayden
11,Brainstorm,Marsh Flats,Fable of the Mirror-Breaker,Counterspell,Volcanic Island,Fury,"Jace, Vryn's Prodigy",Urza's Bauble
12,Brazen Borrower,Steam Vents,Abrade,Toxic Deluge,Collector Ouphe,"Laelia, the Blade Reforged",Lion's Eye Diamond,Mishra's Bauble
13,Vendilion Clique,Chain Lightning,Solitude,Cavern of Souls,Tishana's Tidebinder,Wasteland,"Zirda, the Dawnwaker","Emry, Lurker of the Loch"
14,"Sheoldred, the Apocalypse",Mystical Dispute,Seasoned Dungeoneer,An Offer You Can't Refuse,March of Otherworldly Light,Phyrexian Revoker,Hexdrinker,City of Traitors
15,"Lutri, the Spellchaser",Remand,Reprieve,Tasha's Hideous Laughter,Mana Leak,Walking Ballista,Sensei's Divining Top,Balance
16,Grief,Dauthi Voidwalker,Path to Exile,Imperial Seal,"Comet, Stellar Pup",Bonecrusher Giant,Prismatic Ending,"Boseiju, Who Endures"
17,Reanimate,Duress,"Thalia, Guardian of Thraben",Beseech the Mirror,Sylvan Library,Phyrexian Metamorph,Retrofitter Foundry,Dress Down
18,Darkslick Shores,Undercity Sewers,Plateau,Energy Flux,Spara's Headquarters,Taiga,Basalt Monolith,Once Upon a Time
19,Clearwater Pathway,Expressive Iteration,Skyclave Apparition,Null Rod,Force of Vigor,Stomping Ground,Savannah,Chromatic Star
20,Blue Elemental Blast,Lurrus of the Dream-Den,Stony Silence,Flusterstorm,Lorien Revealed,Goblin Rabblemaster,Hallowed Fountain,Chromatic Sphere
21,Hydroblast,Soul-Guide Lantern,Rest in Peace,Demonic Consultation,Arcane Denial,Thought-Knot Seer,Metallic Rebuke,Thoughtcast
22,"Otawara, Soaring City",Serum Visions,"Emrakul, the Aeons Torn",Pact of Negation,Noble Hierarch,Reality Smasher,Dovin's Veto,Thought Monitor
23,Hymn to Tourach,Sacred Foundry,Loran of the Third Path,Mind Twist,Birds of Paradise,Dismember,Auriok Salvagers,Tangle Wire
24,True-Name Nemesis,Snuff Out,Dark Depths,Chain of Vapor,Get Lost,Simian Spirit Guide,Pest Infestation,Lodestone Golem
