Round,April,David,Dom Reborn,Alex,Jacob,Andrew,Freyja,Russel
Wins,1,3,5,1,0,2,2,5
Losses,3,3,0,2,3,3,4,1
Date,2020-04-11,,,,,,,
1,Black Lotus,Ancestral Recall,Sol Ring,Time Vault,Mox Sapphire,Mox Pearl,Mox Jet,Mox Emerald
2,Mox Opal,Mana Vault,Demonic Tutor,Tinker,Time Walk,Mox Diamond,Mana Crypt,Mox Ruby
3,"Emry, Lurker of the Loch",Force of Will,Vampiric Tutor,Timetwister,Dack Fayden,Null Rod,Library of Alexandria,Strip Mine
4,Mishra's Workshop,"Jace, the Mind Sculptor",Channel,Tolarian Academy,Mana Drain,Mental Misstep,Survival of the Fittest,Eidolon of the Great Revel
5,Transmute Artifact,Spell Pierce,"Karn, the Great Creator",Grim Monolith,Sneak Attack,Cursed Totem,Prismatic Vista,Wrenn and Six
6,"Urza, Lord High Artificer",Daze,Aether Searcher,Tezzeret the Seeker,Volcanic Island,Balance,Verdant Catacombs,Wasteland
7,Lodestone Golem,Ponder,"Emrakul, the Aeons Torn","Teferi, Time Raveler",Griselbrand,Ethersworn Canonist,Mind Twist,Wooded Foothills
8,Ancient Tomb,Flooded Strand,"Oko, Thief of Crowns",Tundra,"Ulamog, the Infinite Gyre",DRANNITH MAGISTRATE,Misty Rainforest,Taiga
9,Wurmcoil Engine,Tropical Island,Polluted Delta,Underground Sea,Scalding Tarn,Path to Exile,Bayou,Arid Mesa
10,Kuldotha Forgemaster,Breeding Pool,Shelldock Isle,Thassa's Oracle,Steam Vents,Swords to Plowshares,Worldly Tutor,Bloodstained Mire
11,Sundering Titan,Windswept Heath,ZAGOTH TRIOME,Preordain,Coalition Relic,Leonin Arbiter,Marsh Flats,Ramunap Excavator
12,Crucible of Worlds,Brainstorm,Mystical Tutor,"Tezzeret, Agent of Bolas",Splinter Twin,Containment Priest,Collector Ouphe,Stomping Ground
13,Metalworker,Muddle the Mixture,Show and Tell,Lotus Petal,Zealous Conscripts,Rest in Peace,Deathrite Shaman,Chrome Mox
14,Seat of the Synod,Snapcaster Mage,Dig Through Time,Mystic Remora,Counterspell,Blind Obedience,Imperial Seal,Sulfuric Vortex
15,Mox Amber,"LUTRI, THE SPELLCHASER","Narset, Parter of Veils",Mana Confluence,"Kozilek, Butcher of Truth",Gideon of the Trials,Fastbond,Pyrostatic Pillar
16,Sword of the Meek,Negate,Spellseeker,Painter's Servant,Ancestral Vision,Mana Tithe,Courser of Kruphix,Lightning Bolt
17,Thopter Foundry,Noble Hierarch,Thoughtseize,Grindstone,Force of Negation,Runed Halo,Inquisition of Kozilek,Chain Lightning
18,Darkslick Shores,Remand,Nature's Claim,Seachrome Coast,"Kiki-Jiki, Mirror Breaker",Stony Silence,Hymn to Tourach,Hazoret the Fervent
19,Krark-Clan Ironworks,Steel Sabotage,Veil of Summer,Academy Ruins,Fact or Fiction,"Kataki, War's wage",Phyrexian Revoker,Goblin Guide
20,Inventors' Fair,Blighted Agent,Mystical Dispute,Enlightened Tutor,Mystic Confluence,Gideon Blackblade,Aven Mindcensor,Monastery Swiftspear
21,City of Brass,Glistener Elf,Impulse,Sensei's Divining Top,Sulfur Falls,"Gideon, Ally of Zendikar",Diabolic Intent,Red Elemental Blast
22,Thopter Assembly,Inkmoth Nexus,Sylvan Library,"Venser, Shaper Savant",Miscalculation,Gideon Jura,Sanctum Prelate,Pyroblast
23,Time Sieve,Waterlogged Grove,Fatal Push,Candelabra of Tawnos,Mana Leak,"Gideon, Champion of Justice",Savannah,Soul-Scar Mage
24,Whir of Invention,Elvish Spirit Guide,Natural State,Windfall,Abrade,"Kytheon, Hero of Akros // Gideon, Battle-Forged",Scrubland,Fireblast
25,Duplicant,Invigorate,Duress,Helm of Awakening,Fiery Confluence,Wrath of God,Eladamri's Call,Scab-Clan Berserker
26,Engineered Explosives,Blossoming Defense,Botanical Sanctum,Talisman of Progress,Cryptic Command,Armageddon,Reclamation Sage,Cinder Glade
27,Talisman of Dominance,Spellskite,Overgrown Tomb,Swan Song,Shivan Reef,Ravages of War,Karakas,"Klothys, God of Destiny"
