,Paul Barclay,Jon Loucks,Worth,Mark Globus,Joe T,Lee Sharpe,Dave Guskin,Randy
Date,2010-11-01,,,,,,,
1,Mox Jet,Ancestral Recall,Sol Ring,Black Lotus,Mox Sapphire,Time Walk,Skullclamp,Mox Pearl
2,Demonic Tutor,Mana Drain,Dark Confidant,Mana Crypt,Mox Ruby,"Jace, the Mind Sculptor",Mox Emerald,Strip Mine
3,Voltaic Key,Timetwister,Wasteland,Mind Twist,Bazaar of Baghdad,Force of Will,Aether Vial,Mox Diamond
4,Vampiric Tutor,Wheel of Fortune,Library of Alexandria,Dark Ritual,Reanimate,Tarmogoyf,Enlightened Tutor,Chrome Mox
5,Tezzeret the Seeker,Yawgmoth's Will,Sylvan Library,Hymn to Tourach,"Iona, Shield of Emeria",Brainstorm,Winter Orb,Armageddon
6,Imperial Seal,Memory Jar,Thoughtseize,Necropotence,Entomb,Sensei's Divining Top,Umezawa's Jitte,Land Tax
7,Vampire Hexmage,Time Spiral,Sword of Fire and Ice,Duress,Sphinx of the Steel Wind,Counterbalance,Chalice of the Void,Swords to Plowshares
8,Inquisition of Kozilek,Mind's Desire,Sword of Light and Shadow,Hypnotic Specter,Exhume,Counterspell,Eternal Witness,Ravages of War
9,Grim Tutor,Lightning Bolt,Bitterblossom,Lightning Greaves,Terastodon,Sower of Temptation,Ranger of Eos,Figure of Destiny
10,Mishra's Workshop,Lotus Petal,Relic of Progenitus,Bayou,Angel of Despair,Glen Elendra Archmage,Survival of the Fittest,Path to Exile
11,Tinker,Chain Lightning,Birds of Paradise,Overgrown Tomb,Living Death,Psychatog,Gaea's Cradle,Scroll Rack
12,Underground Sea,Merchant Scroll,Sinkhole,Verdant Catacombs,Animate Dead,Trygon Predator,Joraga Treespeaker,Disenchant
13,Watery Grave,Rift Bolt,Life from the Loam,Bonesplitter,Woodfall Primus,Tropical Island,Rishadan Port,Time Vault
14,Damnation,Firestorm,Pernicious Deed,Ancient Tomb,Putrid Imp,Breeding Pool,Fauna Shaman,Balance
15,Mana Vault,Lion's Eye Diamond,Solemn Simulacrum,"Skithiryx, the Blight Dragon",Recurring Nightmare,Doom Blade,Molten-Tail Masticore,Oblivion Ring
16,Stroke of Genius,Firebolt,Putrefy,Putrefax,Buried Alive,Diabolic Edict,Noble Hierarch,Tithe
17,Grim Monolith,Burst Lightning,Crucible of Worlds,Groundswell,"Urborg, Tomb of Yawgmoth",River of Tears,Tangle Wire,Karakas
18,Sunken Ruins,Isochron Scepter,Barren Moor,Contagion,"Akroma, Angel of Wrath",Polluted Delta,Fastbond,Leonin Arbiter
19,Darkslick Shores,Fire/Ice,Maze of Ith,Ichor Rats,Crop Rotation,Maelstrom Pulse,Llanowar Elves,Jötun Grunt
20,Tolarian Academy,Magma Jet,Twilight Mire,Elvish Spirit Guide,Llanowar Wastes,Drowned Catacomb,Viridian Shaman,"Elspeth, Knight-Errant"
21,Underground River,Lava Spike,Fyndhorn Elves,Ichorclaw Myr,City of Brass,Palinchron,Reveillark,Baneslayer Angel
22,Dark Depths,Spark Elemental,Regrowth,Plague Stinger,Golgari Rot Farm,Forbid,Great Sable Stag,True Believer
23,Marsh Flats,Searing Blaze,Mishra's Factory,Invigorate,Deranged Hermit,Misty Rainforest,Mutavault,"Isamaru, Hound of Konda"
24,Bloodstained Mire,Volcanic Island,Wall of Roots,Tel-Jilad Fallen,Wurmcoil Engine,Vedalken Shackles,Vengevine,Student of Warfare
25,Scalding Tarn,Wooded Foothills,Reflecting Pool,Necropede,Savage Lands,Flooded Grove,Windswept Heath,Savannah Lions
26,Grindstone,Arid Mesa,Mesmeric Fiend,Hand of the Praetors,Necromancy,Mana Leak,Savannah,Elite Vanguard
27,Painter's Servant,Gifts Ungiven,Chainer's Edict,Corpse Cur,Undiscovered Paradise,Treachery,Flooded Strand,Weathered Wayfarer
28,The Tabernacle at Pendrell Vale,Steam Vents,Sakura-Tribe Elder,Contagion Clasp,Bloodghast,Bribery,Treetop Village,Mana Tithe
29,Basalt Monolith,Hellspark Elemental,Elves of Deep Shadow,Berserk,Sickening Dreams,Ancestral Vision,Viridian Zealot,White Knight
30,Mox Opal,Badlands,Smother,Giant Growth,Acidic Slime,Negate,Imperious Perfect,Light of Day
31,Thran Dynamo,Fireblast,Yavimaya Elder,Land Grant,Bogardan Hellkite,Upheaval,Concordant Crossroads,Order of Leitbur
32,Braingeyser,Lotus Bloom,Phyrexian Arena,Carrion Call,Cabal Therapy,Fact or Fiction,"Rofellos, Llanowar Emissary",Order of the White Shield
33,Power Artifact,Coalition Relic,Elephant Grass,Predator's Strike,"Kokusho, the Evening Star",Shadowmage Infiltrator,Priest of Titania,White Shield Crusader
34,Engineered Plague,Grim Lavamancer,Krosan Grip,Blight Mamba,Indrik Stomphowler,Power Sink,Arbor Elf,Knight of the Holy Nimbus
35,Massacre,Seat of the Synod,Leyline of the Void,Blackcleave Goblin,Frost Titan,Cryptic Command,Temple Garden,Knight of the White Orchid
36,Thopter Foundry,Shrapnel Blast,Choke,Hatred,Vesuvan Shapeshifter,Capsize,Quirion Ranger,Eight-and-a-Half-Tails
37,Sword of the Meek,Great Furnace,Uktabi Orangutan,Vector Asp,Gemstone Mine,Ponder,Nullmage Shepherd,Whipcorder
38,Defense Grid,Izzet Signet,Tectonic Edge,Cystbearer,Arcane Sanctum,Voidslime,Regal Force,Exalted Angel
39,Darksteel Colossus,Keldon Marauders,Golgari Signet,Contagious Nim,Intuition,"Venser, Shaper Savant",Wirewood Symbiote,Spectral Procession
40,Energy Flux,Manamorphose,Dust Bowl,Rouse,Dread Return,Exploration,Glimpse of Nature,Honor of the Pure
41,Engineered Explosives,Chromatic Star,Night's Whisper,Wild Might,Thirst for Knowledge,Propaganda,Mirror Entity,"Kataki, War's Wage"
42,Phyrexian Processor,Galvanic Blast,Masticore,Bounty of the Hunt,Gigapede,Mystical Tutor,Elvish Visionary,Kor Firewalker
43,Duplicant,Arc Trail,The Abyss,Gloom,Careful Study,Mystic Snake,Nettle Sentinel,Seal of Cleansing
44,Chill,Trinket Mage,Consume the Meek,City of Traitors,Darkblast,"Teferi, Mage of Zhalfir",Heritage Druid,Crusade
45,Transmute Artifact,Smash to Smithereens,Mutilate,Persecute,Dance of the Dead,Sapphire Medallion,Elvish Archdruid,Glorious Anthem
46,Threads of Disloyalty,Rolling Earthquake,Mimic Vat,Murmuring Bosk,Mulldrifter,Simic Signet,Plow Under,Divine Sacrament
47,Staff of Domination,Empty the Warrens,Wall of Blossoms,Shuko,Sun Titan,Control Magic,Wirewood Herald,Aura of Silence
48,Fabricate,Cascade Bluffs,Null Rod,Garruk Wildspeaker,Summoning Trap,Dismiss,Birchlore Rangers,Silver Knight
49,Worn Powerstone,Seething Song,Deathmark,Tormod's Crypt,Infest,Preordain,Phyrexian Furnace,Paladin en-Vec
