,odenwodanaz,Talanthalos,Cyber,Gateways/jmm,Kayiu,Dragon Fodder,Archermaster,Puff
Wins,2,5,1,1,0,0,2,2
Losses,1,1,1,1,0,3,2,4
Date,2020-05-29,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1XbbDyxkFVGiQT9kVM4KYmg6LX43K4G7rbbWRNVO1EFI/edit#gid=0,,,,,,,
1,Black Lotus,Ancestral Recall,Time Walk,Mox Ruby,Mox Sapphire,Time Vault,Mox Jet,Sol Ring
2,Mana Vault,Mana Crypt,Force of Will,Vampiric Tutor,Mox Pearl,Tinker,Mox Emerald,Demonic Tutor
3,Grim Monolith,Force of Negation,Strip Mine,Timetwister,Brainstorm,Aether Searcher,Entomb,Yawgmoth's Will
4,Mox Diamond,Daze,Snapcaster Mage,Lotus Petal,Mana Drain,Arcane Savant,Channel,Thoughtseize
5,Scalding Tarn,Spell Pierce,Mental Misstep,Lion's Eye Diamond,Prismatic Vista,Chrome Mox,"Emrakul, the Aeons Torn",Dark Ritual
6,"Narset, Parter of Veils",Gitaxian Probe,Treasure Cruise,Mox Tantalite,Dig Through Time,Dack Fayden,Griselbrand,Mind Twist
7,Tolarian Academy,Ponder,"Lutri, the Spellchaser",Lotus Bloom,Opt,Pact of Negation,Reanimate,Duress
8,Goblin Engineer,Sensei's Divining Top,Wasteland,High Tide,Preordain,Mox Opal,Inquisition of Kozilek,Dark Confidant
9,"Urza, Lord High Artificer","Jace, Vryn's Prodigy // Jace, Telepath Unbound","Oko, Thief of Crowns",Serum Visions,"Teferi, Time Raveler",Painter's Servant,Unmask,Imperial Seal
10,"Karn, The Great Creator",Volcanic Island,True-Name Nemesis,Manamorphose,Polluted Delta,Ancient Tomb,Animate Dead,Hymn to Tourach
11,Basalt Monolith,Flooded Strand,Misty Rainforest,Bloodstained Mire,Underground Sea,Counterspell,Cabal Ritual,Tendrils of Agony
