,Kyle Vance,Nemo Baize,Coty Gunnett,Eric Levine,Mason Lange,Brandon Curry,“Jago” Sheehan-Jago,Kevin Freeman
Date,2021-10-02,,,,,,,
Notes,Tied for Third,,Tied for Third,Lost in Finals,Tied for Third,Won in finals,,
Wins,4,2,4,5,4,5,3,1
Losses,3,5,3,2,3,2,4,6
1,Ancestral Recall,Black Lotus,Time Vault,Mox Jet,Mana Crypt,Mox Sapphire,Mox Ruby,Mox Emerald
2,Tinker,Dark Ritual,Force of Will,Mana Vault,Thoughtseize,Sol Ring,"Ragavan, Nimble Pilferer",Mox Pearl
3,Blightsteel Colossus,Entomb,Demonic Tutor,Strip Mine,Inquisition of Kozilek,"Teferi, time Raveler",Lightning Bolt,Mox Opal
4,Grim Monolith,Mox Diamond,Mana Drain,Crucible of Worlds,Polluted Delta,"Oko, Thief of Crowns",Dragon's Rage Channeler,Lotus Petal
5,Tolarian Academy,Animate Dead,Force of Negation,Wasteland,Verdant Catacombs,Prismatic Vista,Eidolon of the Great Revel,Mishra's Workshop
6,Time Walk,Necromancy,Chrome Mox,Ancient Tomb,Marsh Flats,Misty Rainforest,Gitaxian Probe,Esper Sentinel
7,"Urza, Lord High Artificer",Bazaar of Baghdad,"Narset, Parter of Veils",Stoneforge Mystic,Fastbond,Flooded Strand,Arid Mesa,Kaldra Compleat
8,Grindstone,Bayou,Volcanic Island,"Thalia, Guardian of Thraben",Wheel of Fortune,Balance,Scalding Tarn,Batterskull
9,Painter's Servant,Collector Ouphe,Urza's Saga,Phyrexian Revoker,Tropical Island,"Karn, The Great Creator","Lutri, the Spellchaser",Inkmoth Nexus
10,Defense Grid,Vampiric Tutor,Underground Sea,Mystic Forge,Timetwister,"Karn, Scion of Urza",Bedlam Reveler,Walking Ballista
11,Spellseeker,Force of Vigor,Mystical Tutor,Sword of Fire and Ice,Hullbreacher,Savannah,Plateau,Arcbound Ravager
12,Flusterstorm,Duress,Imperial Seal,Phyrexian Metamorph,Wooded Foothills,Tundra,Frantic Search,Cranial Plating
13,Dress Down,Bloodstained Mire,Badlands,City of Traitors,Taiga,"Jace, The Mind Sculptor",Bomat Courier,"Heliod, Sun-crowned"
14,Ensnaring Bridge,Windswept Heath,Ponder,Thought-Knot Seer,Green Sun's Zenith,hurkyl's recall,Grim Lavamancer,Academy Ruins
15,"Emry, Lurker of the Loch",Overgrown Tomb,Dack Fayden,Engineered Explosives,Courser of Kruphix,Swords to plowshares,Monastery Swiftspear,Gingerbrute
16,Inventors' Fair,Thassa's Oracle,Underworld Breach,Prismatic Ending,Scavenging Ooze,Council's Judgment,Burning-Tree Emissary,Spire of Industry
17,Standstill,Unmask,Lion's Eye Diamond,Rest in Peace,Ramunap Excavator,Sensei's Divining Top,Pyroblast,Seat of the Synod
