,Dan,Corey,Adam,Mac,Alex,Brian,David,Brendan
Wins,6,5,3,4,7,1,2,0
Losses,1,2,4,3,0,6,5,7
Date,2015-01-06,,,,,,,
Notes,Snake Draft Vintage - From Discord TheKniphoon,,,,,,,
1,Black Lotus,Ancestral Recall,Yawgmoth's Will,Mox Jet,Mox Sapphire,Mox Emerald,Time Walk,Mox Ruby
2,Time Vault,Tinker,Demonic Tutor,Mana Crypt,Force of Will,Strip Mine,Mishra's Workshop,Mox Pearl
3,Vampiric Tutor,"Jace, the Mind Sculptor",Sol Ring,Imperial Seal,Library of Alexandria,Mana Drain,Tolarian Academy,Demonic Consultation
4,Mana Vault,Daze,Thoughtseize,Dark Ritual,Spell Pierce,Mental Misstep,Ancient Tomb,Mystical Tutor
5,Mind Twist,Ponder,Dark Confidant,Painter's Servant,Snapcaster Mage,Crucible of Worlds,City of Traitors,Fastbond
6,Duress,Flusterstorm,Necropotence,Entomb,True-Name Nemesis,Wasteland,Vesuva,Brainstorm
7,Vendilion Clique,Mox Diamond,Yawgmoth's Bargain,Dark Depths,Preordain,Stoneforge Mystic,Chalice of the Void,Lion's Eye Diamond
8,Liliana of the Veil,Glistener Elf,Hymn to Tourach,Inquisition of Kozilek,Counterspell,Noble Hierarch,Grim Monolith,Lotus Petal
9,Enlightened Tutor,Blighted Agent,Sinkhole,Grim Tutor,Ancestral Vision,Flooded Strand,Metalworker,Timetwister
10,Underground Sea,Misty Rainforest,Wrench Mind,Voltaic Key,Mana Leak,Tropical Island,Candelabra of Tawnos,Merchant Scroll
11,Splinter Twin,Breeding Pool,Cabal Coffers,Reanimate,Scalding Tarn,Windswept Heath,Thespian's Stage,Volcanic Island
12,Bloodstained Mire,Verdant Catacombs,Smallpox,Vampire Hexmage,Treasure Cruise,Trygon Predator,Trinisphere,Polluted Delta
13,Marsh Flats,Blightsteel Colossus,Hypnotic Specter,Grindstone,Phantasmal Image,Batterskull,Cavern of Souls,Wooded Foothills
14,Arid Mesa,Gitaxian Probe,Geth's Verdict,Griselbrand,Spell Snare,Swords to Plowshares,Show and Tell,Bayou
15,Sensei's Divining Top,Disrupting Shoal,Phyrexian Arena,Chrome Mox,Steam Vents,Tundra,Dack Fayden,Serum Visions
16,Mana Confluence,Yavimaya Coast,Murderous Cut,Darkslick Shores,Young Pyromancer,Containment Priest,Sneak Attack,Watery Grave
17,City of Brass,Hinterland Harbor,Vampire Nighthawk,Drowned Catacomb,Dismember,Birds of Paradise,"Emrakul, the Aeons Torn",Pact of Negation
18,Deceiver Exarch,Inkmoth Nexus,Cabal Ritual,Animate Dead,Steel Sabotage,Null Rod,Basalt Monolith,Dig Through Time
19,Pestermite,Pendelhaven,Mesmeric Fiend,Careful Study,Delver of Secrets,Path to Exile,Izzet Boilerworks,Burning Wish
20,Izzet Charm,Ichorclaw Myr,Umezawa's Jitte,Brain Maggot,Shivan Reef,Natural Order,Exotic Orchard,Seething Song
21,Miscalculation,Necropede,Bloodghast,Pack Rat,Lightning Bolt,"Thalia, Guardian of Thraben",Temple of Epiphany,Wheel of Fortune
