,Mark,Everett,Jay,Alex,Huaou,Bobby,Dan,Mac
Wins,1,3,5,5,3,1,6,2
Losses,5,4,2,2,3,6,1,3
Date,2020-03-21,,,,,,,
Notes,"""First"" Draft Vintage - From Discord TheKniphoon",,,,,,,
1,Sol Ring,Mox Ruby,Mox Jet,Time Vault,Mox Sapphire,Mox Emerald,Ancestral Recall,Black Lotus
2,Mox Pearl,Time Walk,Demonic Tutor,Mana Crypt,Tinker,Vampiric Tutor,Force of Will,Mana Vault
3,"Jace, the Mind Sculptor",Snapcaster Mage,Library of Alexandria,"Karn, the Great Creator",Grim Monolith,Imperial Seal,"Narset, Parter of Veils",Mana Drain
4,"Oko, Thief of Crowns",Spell Pierce,Thoughtseize,Strip Mine,Mox Diamond,Dark Ritual,Force of Negation,Dack Fayden
5,Timetwister,Vendilion Clique,Mind Twist,"Urza, Lord High Artificer",Mishra's Workshop,Painter's Servant,"Teferi, Time Raveler",Dark Depths
6,Misty Rainforest,Scalding Tarn,Duress,Ancient Tomb,Tolarian Academy,Liliana of the Veil,Flooded Strand,Polluted Delta
7,Verdant Catacombs,Volcanic Island,Marsh Flats,Tezzeret the Seeker,Ponder,Bayou,Counterspell,Tropical Island
8,Underground Sea,Brainstorm,Lion's Eye Diamond,Preordain,Lodestone Golem,Entomb,True-Name Nemesis,Dark Confidant
9,Remand,Mana Leak,Enlightened Tutor,Wasteland,Mystic Forge,Gitaxian Probe,Ancestral Vision,Veil of Summer
10,Survival of the Fittest,Steam Vents,Bloodstained Mire,Sensei's Divining Top,Phyrexian Revoker,Sylvan Library,Arid Mesa,Wooded Foothills
11,Breeding Pool,Prismatic Vista,Windswept Heath,Manifold Key,Mox Opal,Yawgmoth's Will,"Jace, Vryn's Prodigy",Badlands
12,Collector Ouphe,Daze,Crucible of Worlds,Seat of the Synod,Darksteel Citadel,Birds of Paradise,Opt,Thespian's Stage
13,Noble Hierarch,Serum Visions,Fastbond,Mystical Dispute,Walking Ballista,Overgrown Tomb,Mental Misstep,Wrenn and Six
14,"Leovold, Emissary of Trest",Pestermite,Griselbrand,"Karn, Scion of Urza",Arcbound Ravager,Reanimate,Spell Snare,Inquisition of Kozilek
15,Green Sun's Zenith,Splinter Twin,Nurturing Peatland,"Emry, Lurker of the Loch",Trinisphere,Hymn to Tourach,Brazen Borrower,Waterlogged Grove
16,Ramunap Excavator,"Kiki-Jiki, Mirror Breaker",Crop Rotation,Fiery Islet,Worn Powerstone,Grindstone,Monastery Mentor,Glistener Elf
17,Creeping Tar Pit,Lightning Bolt,Lotus Petal,Voltaic Key,Channel,Exhume,Karakas,City of Brass
18,Glen Elendra Archmage,Tundra,"Emrakul, the Aeons Torn","Saheeli, Sublime Artificer",Inkmoth Nexus,"Iona, Shield of Emeria",Hallowed Fountain,Blighted Agent
19,Eternal Witness,Mana Confluence,Ancient Stirrings,Transmute Artifact,Once Upon a Time,Unmask,Swords to Plowshares,Blightsteel Colossus
20,Recruiter of the Guard,Path to Exile,Oath of Druids,Thirst for Knowledge,Umezawa's Jitte,"Urborg, Tomb of Yawgmoth",Miscalculation,Abrupt Decay
21,Containment Priest,Azorius Signet,Savannah,Metallic Rebuke,Thorn of Amethyst,Fauna Shaman,Memory Lapse,Red Elemental Blast
22,Temple Garden,Izzet Signet,Horizon Canopy,Muddle the Mixture,Inkwell Leviathan,Deathrite Shaman,Null Rod,Taiga
23,Gilded Goose,Impulse,Stony Silence,Reshape,Hangarback Walker,Hypnotic Specter,Dig Through Time,Sylvan Scrying
24,Tireless Tracker,Mystical Tutor,City of Traitors,Dismember,Memory Jar,"Thrun, the Last Troll",Merchant Scroll,Pendelhaven
25,Scavenging Ooze,Mystic Confluence,Scrubland,Grafdigger's Cage,Platinum Angel,Bane of Progress,Delver of Secrets,Leyline of the Void
26,Opposition,Deceiver Exarch,Forbidden Orchard,Aether Spellbomb,Chalice of the Void,Liliana's Triumph,Dovin's Veto,Ichorclaw Myr
27,Yavimaya Coast,Dream Trawler,Sorcerous Spyglass,Pithing Needle,Flooded Grove,Nature's Claim,Mystic Gate,Watery Grave
28,Hinterland Harbor,Plateau,Llanowar Wastes,Chromatic Star,Pyroblast,Snuff Out,Spell Queller,Energy Flux
29,Deputy of Detention,Restoration Angel,Balance,Defense Grid,Sundering Titan,Woodland Cemetery,Supreme Verdict,Vampire Hexmage
30,Meddling Mage,Soulfire Grand Master,Ghost Quarter,Whir of Invention,Natural State,Twilight Mire,Rest in Peace,Helm of Obedience
31,Brushland,Orim's Chant,Grim Tutor,Mishra's Bauble,Tormod's Crypt,Land Grant,Steel Sabotage,Gemstone Mine
32,Force of Vigor,Stifle,Courser of Kruphix,Mycosynth Lattice,Galvanic Blast,"Rofellos, Llanowar Emissary",Flusterstorm,Blood Crypt
33,Mother of Runes,Disenchant,Zuran Orb,Swan Song,Spire of Industry,Collective Brutality,Nature's Chant,Viridian Corrupter
34,Reclamation Sage,Spellskite,Fragmentize,Hurkyl's Recall,Return to Nature,Bitterblossom,"Venser, Shaper Savant",Necropede
35,"Melira, Sylvok Outcast",Negate,Glacial Chasm,Chain of Vapor,Glimmervoid,Carnage Tyrant,Back to Basics,Phyrexian Crusader
36,Shifting Ceratops,Shattering Spree,Dragonlord Dromoka,Ensnaring Bridge,Tree of Tales,Mesmeric Fiend,Aether Gust,Prowling Serpopard
37,Adarkar Wastes,Inferno Titan,Bazaar of Baghdad,Mirage Mirror,Great Furnace,Brain Maggot,Seachrome Coast,Into the North
38,Coiling Oracle,Isochron Scepter,Regrowth,Liquimetal Coating,Blood Moon,"Tasigur, the Golden Fang",Glacial Fortress,Vines of Vastwood
39,Mystic Snake,Celestial Colonnade,Silent Clearing,Hope of Ghirapur,Foundry Inspector,Lotus Cobra,Prairie Stream,Simic Charm
40,Joraga Treespeaker,Surgical Extraction,Idyllic Tutor,Spine of Ish Sah,Whipflare,Elvish Spirit Guide,Pteramander,Ancient Grudge
41,Eldrazi Displacer,Boomerang,Echo of Eons,Conjurer's Bauble,"Skysovereign, Consul Flagship",Gaea's Revenge,Thought Scour,Assassin's Trophy
42,Deep Forest Hermit,Spellstutter Sprite,Undiscovered Paradise,Urza's Bauble,Stonecoil Serpent,"Polukranos, World Eater",Hushwing Gryff,Groundswell
43,Hushbringer,Cyclonic Rift,Beast Within,"Minamo, School at Water's Edge",Sphere of Resistance,"Freyalise, Llanowar's Fury",Last Breath,Rancor
44,"Lavinia, Azorius Renegade",Capsize,Silence,Vault of Whispers,Serum Powder,Choke,Seal Away,Mutagenic Growth
45,Hostage Taker,Reveillark,"Muldrotha, the Gravetide","Oboro, Palace in the Clouds",Cranial Plating,Toxic Deluge,Serenity,Berserk
