,Mason,ssbaer,drpeepeepoopoomd,theRealpoBBpC,CommonOpponent,masterplum,Talanthalos,Stephen
Date,2022-06-19,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1qGUxl-3vdXPqwt8y7kXfULolWmO3CgVpWwwGD25k144/edit?pli=1#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Ancestral Recall,Black Lotus,mana crypt,Mox Jet,Time Walk,Mox Sapphire,Mox Ruby,Mox Pearl
2,Snapcaster Mage,Fastbond,Sol Ring,Vampiric Tutor,Mox Diamond,Time Vault,Mox Emerald,"Ragavan, Nimble Pilferer"
3,Force of Will,Strip Mine,"Oko, Thief of Crowns",Thoughtseize,Polluted Delta,Demonic Tutor,Tinker,"Karn, the Great Creator"
4,Force of Negation,Prismatic Vista,"Teferi, Time Raveler",Dark Confidant,Scalding Tarn,Mana Drain,Mystical Tutor,Stoneforge Mystic
5,Spell Pierce,Wooded Foothills,Misty Rainforest,Inquisition of Kozilek,Dack Fayden,Flooded Strand,Bloodstained Mire,"Thalia, Guardian of Thraben"
6,Urza's Saga,"Lutri, the spellchaser",Sensei's Divining top,Sylvan Library,Liliana of the Veil,Verdant Catacombs,Volcanic Island,Solitude
7,Mox Opal,Wheel of fortune,Hullbreacher,Once Upon a Time,Lotus Petal,Counterspell,Mana Vault,Ancient Tomb
8,Tolarian Academy,Show and tell,Timetwister,Bitterblossom,Lightning Bolt,"Jace, the Mind Sculptor",Mental Misstep,Kaldra Compleat
9,City of Traitors,Wasteland,"Urza, lord High Artificer",Skullclamp,Underground Sea,Brainstorm,Blightsteel Colossus,Thought-Knot Seer
10,Mana Confluence,wrenn and six,Reality Smasher,Dauthi Voidwalker,Red Elemental Blast,Ponder,Pyroblast,Prismatic Ending
11,City of Brass,"Nissa, who shakes the world",Esper Sentinel,Ignoble Hierarch,Smuggler's Copter,"Narset, Parter Of Veils",Windswept Heath,Skyclave Apparition
12,Walking Ballista,"Emrakul, the aeons torn",Tundra,Umezawa's Jitte,Steam Vents,Preordain,Tropical Island,Swords to Plowshares
13,Gaea's Cradle,Sneak attack,Balance,Veil of Summer,Malevolent Hermit,Ledger Shredder,Channel,Batterskull
14,Ethersworn Canonist,Crucible of worlds,Grim monolith,Lurrus of the Dream-Den,Collective Brutality,"Jace, Vryn's Prodigy",Oath of Druids,Containment Priest
15,Hangarback Walker,zuran Orb,Monastery Mentor,Questing Beast,Faithless Looting,Watery Grave,Pentad Prism,Seasoned Pyromancer
16,Ancient Grudge,phyrexian Metamorph,Lion's eye Diamond,Gloomshrieker,Baleful Mastery,Brazen Borrower,Gitaxian Probe,Fury
17,Duress,cavern of souls,Winter Orb,Wildborn Preserver,Lingering Souls,Mind Twist,"Boseiju, Who Endures",Phyrexian Revoker
