,Hyphen-ated,sti,SKEWBED,viashino,TexasRangerMTG,Ever,west,juchemz
Date,2021-09-01,,,,,,,
Notes,https://discord.gg/Jq8GZMdFmu,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Ancestral Recall,Black Lotus,Time Vault,Mox Sapphire,Mana Crypt,Mox Jet,Time Walk,Mox Ruby
2,Force of Negation,Force of Will,Mana Vault,"Narset, Parter of Veils",Tinker,Mox Pearl,Sol Ring,Mox Emerald
3,"Oko, Thief of Crowns",Dig Through Time,"Karn, the Great Creator",Mana Drain,Demonic Tutor,Strip Mine,Chrome Mox,Thoughtseize
4,Snapcaster Mage,Mox Diamond,Tolarian Academy,Library of Alexandria,Hullbreacher,Wasteland,Grim Monolith,Vampiric Tutor
5,Mystical Tutor,Shelldock Isle,Brainstorm,"Teferi, Time Raveler",Timetwister,Duress,Ancient Tomb,Dark Ritual
6,Counterspell,Scalding Tarn,Spell Pierce,Ponder,Preordain,Mental Misstep,"Urza, Lord High Artificer",Prismatic Vista
7,Mystical Dispute,Polluted Delta,Mishra's Workshop,Flooded Strand,Misty Rainforest,Dauthi Voidwalker,Urza's Saga,Mind Twist
8,Windswept Heath,Gitaxian Probe,Volcanic Island,Marsh Flats,Underground Sea,Inquisition of Kozilek,Grindstone,Dark Confidant
9,Verdant Catacombs,"Jace, Vryn's Prodigy // Jace, Telepath Unbound",Bloodstained Mire,"Jace, the Mind Sculptor",Mana Leak,Hymn to Tourach,Mishra's Bauble,Wooded Foothills
10,Flusterstorm,Remand,Dack Fayden,Miscalculation,Negate,Swords to Plowshares,Urza's Bauble,Imperial Seal
11,Lose Focus,Serum Visions,Spell Snare,Treasure Cruise,Steam Vents,Grief,Mox Opal,Veil of Summer
12,Memory Lapse,Watery Grave,Tezzeret the Seeker,Daze,Pact of Negation,Opposition Agent,Seat of the Synod,Liliana of the Veil
13,Miscast,Thassa's Oracle,Isochron Scepter,Show and Tell,Sneak Attack,Reanimate,Pithing Needle,Sylvan Library
14,Birds of Paradise,Gush,Basalt Monolith,Opt,"Emrakul, the Aeons Torn",Arid Mesa,Defense Grid,Dark Depths
15,Noble Hierarch,Fetid Pools,Muddle the Mixture,Dovin's Veto,Griselbrand,Karakas,Tangle Wire,Force of Vigor
16,Vendilion Clique,Cavern of Souls,Lotus Petal,Fact or Fiction,Blightsteel Colossus,Prismatic Ending,Darksteel Citadel,Green Sun's Zenith
17,Brazen Borrower // Petty Theft,Pyroblast,Red Elemental Blast,Balance,Sleight of Hand,Deathrite Shaman,Chromatic Star,Collector Ouphe
18,"Lutri, the Spellchaser",Badlands,Lightning Bolt,Tundra,Fiery Islet,Skyclave Apparition,"Emry, Lurker of the Loch",Sudden Edict
19,Tropical Island,Peek,Transmute Artifact,Mental Note,Cryptic Command,Phyrexian Revoker,Upheaval,Hexdrinker
20,True-Name Nemesis,Thought Scour,Swan Song,Archmage's Charm,Wheel of Fortune,Scrubland,Soul-Guide Lantern,Once Upon a Time
21,Subtlety,Tainted Pact,Lodestone Golem,Path to Exile,Expressive Iteration,Silent Clearing,Skullclamp,Endurance
22,Dispel,Demonic Consultation,Winter Orb,Sensei's Divining Top,Sorcerous Spyglass,Solitude,Trinket Mage,Toxic Deluge
23,Disrupt,"Jace, Wielder of Mysteries",Tribute Mage,Stifle,Spellskite,Containment Priest,Torpor Orb,Bayou
24,Ignoble Hierarch,Cunning Wish,"Ragavan, Nimble Pilferer",Omniscience,Ancestral Vision,Stony Silence,Thopter Foundry,Check for Traps
25,Impulse,Steel Sabotage,Sphere of Resistance,Hurkyl's Recall,Splinter Twin,"Thalia, Guardian of Thraben",Dress Down,Agonizing Remorse
26,Energy Flux,"Urborg, Tomb of Yawgmoth",Thorn of Amethyst,Disenchant,Pestermite,Palace Jailer,"Karn, Scion of Urza",Nurturing Peatland
27,Blue Elemental Blast,Collective Brutality,Izzet Signet,"Teferi, Hero of Dominaria","Kiki-Jiki, Mirror Breaker",Fracture,Retrofitter Foundry,Thespian's Stage
28,Hydroblast,Submerge,Prismari Command,Time Warp,Deceiver Exarch,Vindicate,Painter's Servant,Tarmogoyf
29,Jace's Defeat,Massacre,Walking Ballista,Hallowed Fountain,"Ashiok, Nightmare Weaver",Malakir Rebirth // Malakir Mire,Hangarback Walker,Crop Rotation
30,Gainsay,Crash,Trinisphere,"Iona, Shield of Emeria",Annul,"Agadeem's Awakening // Agadeem, the Undercrypt","Sai, Master Thopterist",Overgrown Tomb
31,Mystic Confluence,Misdirection,Power Artifact,Terminus,Spirebluff Canal,Godless Shrine,Thought Monitor,Elvish Reclaimer
32,"Venser, Shaper Savant",Gigadrowse,Mycosynth Lattice,Temporal Mastery,Talisman of Creativity,Caves of Koilos,Thoughtcast,Sylvan Safekeeper
33,Divert,Doomsday,Copy Artifact,Rest in Peace,Pentad Prism,Leonin Relic-Warder,Arcane Denial,Chain of Smog
34,Null Rod,Street Wraith,Reshape,Suppression Field,Personal Tutor,Spirit of the Labyrinth,Metallic Rebuke,Witherbloom Apprentice
35,Waterlogged Grove,Unearth,Worn Powerstone,Adarkar Wastes,Imperial Recruiter,Leyline of Sanctity,Ensnaring Bridge,Assassin's Trophy
36,Breeding Pool,Yawgmoth's Will,Dramatic Reversal,Force Spike,Glen Elendra Archmage,Savannah,Nettlecyst,Darkbore Pathway // Slitherbore Pathway
37,Field of Ruin,Darkslick Shores,Mindslaver,Predict,Talisman of Dominance,Plague Engineer,Memory Jar,Mesmeric Fiend
