,John Ryan Hamilton,Andrew Swift,Joe Wisdom,Stephen Hagan,Mason Lange,Daniel Zielinski,Brandon Curry,Alec Dishaw
Date,2021-07-31,,,,,,,
Notes,Lost in finals,,,Fourth place,Won in finals,,,Clear third
Wins,6,3,2,3,6,1,3,4
Losses,1,4,5,4,1,6,4,3
1,Black Lotus,Time Vault,Ancestral Recall,Sol Ring,Mox Jet,Mox Sapphire,Mana Crypt,Mox Pearl
2,Time Walk,Tinker,Mana Drain,Demonic Tutor,Mox Emerald,Mox Ruby,"Narset, Parter of Veils",Fastbond
3,Vampiric Tutor,Mana Vault,Force of Will,Imperial Seal,Thoughtseize,Timetwister,Brainstorm,Channel
4,Flooded Strand,Polluted Delta,Scalding Tarn,Opposition Agent,Misty Rainforest,Hullbreacher,"Lutri, the Spellchaser",Verdant Catacombs
5,Prismatic Vista,"Oko, Thief of Crowns",Dack Fayden,Dauthi Voidwalker,Inquisition of Kozilek,Ponder,Snapcaster Mage,Bayou
6,Preordain,Force of Negation,Volcanic Island,Duress,Tropical Island,Treasure Cruise,"Jace, The mind Sculptor",Sylvan Library
7,Underground Sea,"Teferi, time raveler",Wrenn and Six,Hymn to Tourach,Overgrown Tomb,Grim Monolith,Daze,Windswept Heath
8,Spell Pierce,Tundra,Merchant Scroll,Liliana of the Veil,Green Sun's Zenith,Mox Diamond,Mystical Tutor,Wooded Foothills
9,Dark Ritual,Mystical Dispute,Dragon's Rage Channeler,Veil of Summer,Gaea's Cradle,Muddle the Mixture,Mental Misstep,Noble Hierarch
10,Entomb,Counterspell,Force of Vigor,Abrupt Decay,"Leovold, Emissary of Trest",Thassa's Oracle,Gitaxian Probe,Birds of Paradise
11,Griselbrand,Miscast,Collector Ouphe,Ignoble Hierarch,Once Upon a Time,Lotus Petal,Yawgmoth's Will,Savannah
12,Steam Vents,Sleight of Hand,Taiga,Assassin's Trophy,Deathrite Shaman,Lion's Eye Diamond,Gush,Lurrus of the Dream-Den
13,Pyroblast,Breeding Pool,Red Elemental Blast,Chains of Mephistopheles,Cavern of Souls,Remand,Sensei's Divining Top,Worldly Tutor
14,Chrome Mox,Opt,Bloodstained Mire,Bitterblossom,Marsh Flats,Tolarian Academy,True-Name Nemesis,Allosaurus Shepherd
15,Arid Mesa,Hallowed Fountain,Serum Visions,Grief,Dryad Arbor,Time Spiral,Watery Grave,Walking Ballista
