,Nate Heiss,Greg Peloquin,Sean Collins,Cedric Phillips,Carl Janz,Paul Teft-Meeker,Corbett Gray,Alex West
Wins,6,4,0,6,2,1,6,3
Losses,1,3,7,1,5,6,1,4
Date,2014-05-24,,,,,,,
1,Black Lotus,Ancestral Recall,Mox Jet,Mox Sapphire,Time Vault,Mox Ruby,Mana Crypt,Mox Emerald
2,Strip Mine,Time Walk,Thoughtseize,Force of Will,Sol Ring,Arid Mesa,Tinker,Mox Pearl
3,Timetwister,Snapcaster Mage,Dark ritual,Dark Confidant,Channel,Rishadan Port,Mana Vault,Goblin Guide
4,Wheel of Fortune,Vendilion Clique,Inquisition of Kozilek,Brainstorm,Transmute Artifact,Lightning Bolt,Grim Monolith,Plateau
5,Fastbond,Ancestral Vision,Liliana of the Veil,Gush,Voltaic Key,Figure of Destiny,Basalt Monolith,Wooded Foothills
6,Lotus Petal,Mana Drain,Unmask,Mental Misstep,Painter's Servant,Sulfuric Vortex,Power Artifact,Bloodstained Mire
7,Crucible of Worlds,Ponder,Hymn to Tourach,Preordain,Grindstone,Smash to Smithereens,Mishra's Workshop,Chrome Mox
8,Regrowth,Remand,Umezawa's Jitte,Duress,Natural Order,Scalding Tarn,Mox Diamond,Verdant Catacombs
9,Wasteland,Sylvan Library,Bitterblossom,Spell Pierce,Enlightened Tutor,Eidolon of the Great Revel,Mystical Tutor,Marsh Flats
10,Breeding Pool,Misty Rainforest,Sinkhole,Tropical Island,Wurmcoil Engine,Koth of the Hammer,Personal Tutor,Windswept Heath
11,Crop Rotation,Flooded Strand,Mesmeric Fiend,Polluted Delta,Karn Liberated,Chain Lightning,"Emrakul, the Aeons Torn",Rakdos Cackler
12,Taiga,Tundra,Brain Maggot,Underground Sea,Flooded Grove,Vexing Devil,Show and Tell,Firedrinker Satyr
13,Land Grant,Batterskull,Imp's Mischief,Daze,Coiling Oracle,Jackal Pup,Muddle the Mixture,Stomping Ground
14,Yavimaya Coast,Swords to Plowshares,Phyrexian Obliterator,Spell Snare,Mana Confluence,Ash Zealot,Tolarian Academy,Bayou
15,Eternal Witness,Cryptic Command,Smallpox,Gitaxian Probe,Birds of Paradise,Gorilla Shaman,Mind over Matter,Savannah
16,Elvish Spirit Guide,Misdirection,Skullclamp,Volcanic Island,Vampiric Tutor,Hellspark Elemental,Trinket Mage,Path to Exile
17,Plow Under,Steel Sabotage,Persecute,Demonic Tutor,City of Brass,Skullcrack,Sensei's Divining Top,Phyrexian Revoker
18,Gaea's Cradle,Stoneforge Mystic,Bloodghast,Watery Grave,Frantic Search,Fireblast,Seat of the Synod,Spirit of the Labyrinth
19,Windfall,Negate,Geralf's Messenger,Steam Vents,Careful Study,Grim Lavamancer,Metalworker,Deathrite Shaman
20,Concordant Crossroads,Hallowed Fountain,Pain Seer,Counterspell,Bazaar of Baghdad,Flame Javelin,Lightning Greaves,"Thalia, Guardian of Thraben"
21,Priest of Titania,Force Spike,Geth's Verdict,Disrupting Shoal,Animate Dead,Flames of the Blood Hand,Tangle wire,Burning-Tree Emissary
22,Trygon Predator,Wall of Omens,Diabolic Edict,True-Name Nemesis,Necromancy,Rift Bolt,Dispel,Goblin Bushwhacker
23,Bribery,Mystic Gate,Gatekeeper of Malakir,Darkslick Shores,Overgrown Tomb,Flame Rift,Sculpting Steel,Badlands
24,"Edric, Spymaster of Trest",Karakas,Lake of the Dead,Delver of Secrets // Insectile Aberration,Llanowar Wastes,Char,Copy Artifact,Scrubland
25,Elvish Archdruid,"Venser, Shaper Savant",Chains of Mephistopheles,Dimir Charm,Elves of Deep Shadow,Manic Vandal,Blightsteel Colossus,Wild Nacatl
26,Joraga Warcaller,Serum Visions,Withering Boon,Dismember,Sylvan Caryatid,Magus of the Moon,Stroke of Genius,Experiment One
27,Zuran Orb,Restoration Angel,Darkblast,Baleful Strix,Twilight Mire,Stromkirk Noble,Time Spiral,Oblivion Ring
28,Memory Jar,Augur of Bolas,Ashenmoor Gouger,Annul,Thirst for Knowledge,Torch Fiend,Leyline of Sanctity,Banishing Light
29,Quirion Ranger,Kitchen Finks,Sword of Body and Mind,Sleight of Hand,Compulsive Research,Searing Blaze,Phyrexian Metamorph,Kird Ape
30,Imperious Perfect,Envelop,Toxic Deluge,Young Pyromancer,Dance of the Dead,Lava Spike,Braingeyser,Loam Lion
31,Llanowar Elves,Vapor Snag,Forsaken Wastes,Library of Alexandria,Underground River,Mishra's Factory,Orim's Chant,Flinthoof Boar
32,Elvish Mystic,Sword of Feast and Famine,Mind Twist,"Jace, the Mind Sculptor",Academy Ruins,Mutavault,Isochron Scepter,Ghor-Clan Rampager
33,Fyndhorn Elves,Sunlance,Perish,Pyroclasm,Sundering Titan,Whipflare,Silence,Dryad Militant
34,Leyline of Vitality,Aegis of the Gods,Gate to Phyrexia,Ancient Grudge,Bonfire of the Damned,Chandra's Phoenix,Steel Hellkite,Jungle Lion
35,Umbral Mantle,Timely Reinforcements,Despise,Blue Elemental Blast,"Elesh Norn, Grand Cenobite",Pyroblast,Myr Battlesphere,Tidehollow Sculler
36,Seeker of Skybreak,Hurkyl's Recall,Phyrexian Negator,Hydroblast,Kiora's Follower,Red Elemental Blast,Kuldotha Forgemaster,Accorder Paladin
37,Arbor Elf,Divert,Snuff Out,Doom Blade,Ashen Rider,Fanatic of Mogis,Temple Bell,Sword of Light and Shadow
38,Oxidize,Ratchet Bomb,Appetite for Brains,Engineered Explosives,Cyclonic Rift,Chill,Wake Thrasher,Flesh Reaver
39,Temporal Spring,Stifle,Ostracize,Disfigure,Woodfall Primus,Gut Shot,Energy Field,Tin Street Hooligan
40,Viridian Shaman,Mother of Runes,Bog Down,Energy Flux,Pentad Prism,Shattering Spree,Inkwell Leviathan,Woolly Thoctar
41,"Ezuri, Renegade Leader",Seachrome Coast,Mind Swords,Maze of Ith,Bane of Progress,Thundermaw Hellkite,Ancient Den,Jund Hackblade
42,Regal Force,Merchant Scroll,Shattered Dreams,Relic of Progenitus,Commune with the Gods,Stormbreath Dragon,Darksteel Citadel,Spike Jester
43,Forced Fruition,Detention Sphere,Spinning Darkness,Notion Thief,Pelakka Wurm,Chaos Warp,Consecrated Sphinx,"Isamaru, Hound of Konda"
44,Fauna Shaman,Purify the Grave,Hypnotic Specter,Nightveil Specter,Worldspine Wurm,Slagstorm,Power Sink,Vindicate
45,Necropotence,Riptide Laboratory,Withering Wisps,Delusions of Mediocrity,Flash,Scrabbling Claws,Azorius Signet,Dreg Mangler
