,Talanthalos,katerberg,Hyphen-ated,Ever,sti,DrPeepeepoopooMD,juchemz,Stephen Hagan
Date,2022-08-01,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1ck05SUt8fiuhg5rjnFTOTClJURcKB9aiiCYUR4GsvSg/edit#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Ancestral Recall,Black Lotus,Mana Crypt,Mox Sapphire,Mox Emerald,Mox Pearl,Time Vault,Mox Ruby
2,"Ragavan, Nimble Pilferer",Vampiric Tutor,Force of Will,Time Walk,Urza's Saga,Sol Ring,"Karn, the Great Creator",Mox Jet
3,Spell Pierce,Demonic Tutor,"Oko, Thief of Crowns",Mox Diamond,Fastbond,Tinker,Mana Vault,Strip Mine
4,Snapcaster Mage,Chrome Mox,Mana Drain,Dack Fayden,Hullbreacher,"Teferi, Time Raveler",Tolarian Academy,Ancient Tomb
5,Scalding Tarn,Gitaxian Probe,Force of Negation,"Narset, Parter of Veils",Timetwister,Stoneforge Mystic,Grim Monolith,Prismatic Vista
6,Daze,Brainstorm,Preordain,Ponder,Mental Misstep,Flooded Strand,Volcanic Island,Prismatic Ending
7,Polluted Delta,Lotus Petal,Misty Rainforest,Lightning Bolt,"Boseiju, Who Endures",Esper Sentinel,Walking Ballista,Swords to Plowshares
8,Pyroblast,Underground Sea,Tropical Island,Counterspell,Wooded Foothills,"Urza, Lord High Artificer",Sensei's Divining Top,Solitude
9,Red Elemental Blast,Dark Ritual,Hexdrinker,Steam Vents,Breeding Pool,"Dovin, Hand of Control",Mox Opal,"Thalia, Guardian of Thraben"
10,Dragon's Rage Channeler,Serum Visions,Verdant Catacombs,Expressive Iteration,Windswept Heath,Mystical Tutor,Seat of the Synod,Bonecrusher Giant
11,Monastery Swiftspear,Bloodstained Mire,Sylvan Library,Underworld Breach,Mystical Dispute,Karakas,Lion's Eye Diamond,Fury
12,Thoughtseize,Thassa's Oracle,Library of Alexandria,Brazen Borrower,Enlightened Tutor,Phyrexian Revoker,"Karn, Scion of Urza",Unholy Heat
13,Inquisition of Kozilek,Duress,Vendilion Clique,Fiery Islet,Arid Mesa,Tundra,Transmute Artifact,Marsh Flats
14,Abrade,Pact of Negation,Wasteland,"Jace, Vryn's Prodigy",Wheel of Fortune,Ledger Shredder,Tezzeret the Seeker,Reality Smasher
15,Reanimate,Lurrus of the Dream-Den,Skullclamp,"Lutri, the Spellchaser",Balance,Lion Sash,Null Rod,"Laelia, the Blade Reforged"
16,Young Pyromancer,An Offer You Can't Refuse,Miscast,"Otawara, Soaring City",Shelldock Isle,Kaldra Compleat,Collector Ouphe,Crucible of Worlds
17,Dark Confidant,Energy Flux,Veil of Summer,Fable of the Mirror-Breaker,Stony Silence,Umezawa's Jitte,Basalt Monolith,Badlands
18,Mana Confluence,Dauthi Voidwalker,Noble Hierarch,Seasoned Pyromancer,Force of Vigor,Mishra's Workshop,Ensnaring Bridge,"Ob Nixilis, the Adversary"
19,City of Brass,Mind Twist,Birds of Paradise,Riverglide Pathway,Hallowed Fountain,Batterskull,"Ugin, the Ineffable",Embercleave
20,Flusterstorm,Watery Grave,Waterlogged Grove,Shivan Reef,Taiga,Phyrexian Metamorph,Mystic Forge,Plateau
21,Blood Crypt,Gush,Yavimaya Coast,Cryptic Command,Savannah,Hurkyl's Recall,Expedition Map,Cavern of Souls
22,Kolaghan's Command,Chain of Vapor,"Jace, the Mind Sculptor",Prismari Command,Painter's Servant,Pentad Prism,Manifold Key,Meltdown
23,Fire // Ice,Hydroblast,Blue Elemental Blast,Consider,Grindstone,Rest in Peace,Academy Ruins,Robber of the Rich
24,Treasure Cruise,Sleight of Hand,Barkchannel Pathway,Remand,Green Sun's Zenith,Winter Orb,City of Traitors,Professional Face-Breaker
25,Fatal Push,Swan Song,Tireless Tracker,"Sokenzan, Crucible of Defiance","Uro, Titan of Nature's Wrath",Judge's Familiar,"Zirda, the Dawnwaker",Trinisphere
26,Dreadhorde Arcanist,Yawgmoth's Will,Upheaval,Deceiver Exarch,Once Upon a Time,Dovin's Veto,Great Furnace,Sunbaked Canyon
27,Opposition Agent,Ceremonious Rejection,Natural Order,Splinter Twin,Sacred Foundry,"Teferi, Hero of Dominaria",Voltaic Key,Sulfurous Springs
28,Vendetta,Collective Brutality,Terastodon,Pestermite,Dryad Arbor,Heart of Kiran,Mycosynth Lattice,Engineered Explosives
29,"Kroxa, Titan of Death's Hunger",Imperial Seal,Questing Beast,Den of the Bugbear,Gemstone Mine,"Gideon, Ally of Zendikar",Chromatic Star,Spirit of the Labyrinth
30,Thought Scour,Dress Down,Pest Infestation,Lose Focus,Horizon Canopy,Supreme Verdict,Crystal Vein,Aven Mindcensor
31,Gurmag Angler,Mental Note,Craterhoof Behemoth,Shatterskull Smashing,Dryad of the Ilysian Grove,Leyline of the Void,Inventors' fair,Flame Blitz
32,Goblin Guide,Brain Freeze,Demonic Consultation,Archmage's Charm,Crop Rotation,Helm of Obedience,"Daretti, Scrap Savant",Chalice of the Void
33,Chain Lightning,Chill,Ignoble Hierarch,Hall of Storm Giants,Valakut Exploration,Sword of the Meek,Pithing Needle,Thought-Knot Seer
34,Claim // Fame,Doomsday,Seedtime,Cascade Bluffs,Exploration,Spell Snare,Chromatic Sphere,Unlicensed Hearse
35,Cremate,Mystic Remora,Steel Sabotage,Currency Converter,"Oboro, Palace in the Clouds","Emrakul, the Aeons Torn",Liquimetal Coating,Battlefield Forge
36,Soul-Guide Lantern,Hope of Ghirapur,True-Name Nemesis,Annul,Amulet of Vigor,Show and Tell,"Golos, Tireless Pilgrim",Matter Reshaper
37,Spirebluff Canal,Conjurer's Bauble,Endurance,Flash Flood,Summer Bloom,Seachrome Coast,Aether Spellbomb,Rugged Prairie
38,Envelop,Night's Whisper,Scavenging Ooze,Stormcarved Coast,Tireless Provisioner,Thopter Foundry,Retrofitter Foundry,Talisman of Conviction
