,Brandon Curry,Mason Lange,Cody Owen,Jeff Blyden,Sam Rego,Andrew Swift,Dan Zielinski,Alec Dishaw
Date,2022-03-26,,,,,,,
Notes,https://www.moxfield.com/decks/6gEeEifgWkSWiCKdDGYAlg,https://www.moxfield.com/decks/dJ_5moPw80e0TDr4j3nRjg,https://www.moxfield.com/decks/MOp5h4C_iUSGpyMG3fOV1Q,https://www.moxfield.com/decks/fYcuivR4TUKNhRxXklw4zA,https://www.moxfield.com/decks/99XnZ0EgoUiGjjJ-MYchfw,https://www.moxfield.com/decks/3YeuVJJXekmAA8rw-T6SAA,https://www.moxfield.com/decks/A5IAyk8y7EWPJeYsaW_lRA,https://www.moxfield.com/decks/cc_-WI0N30itFJW8Vq8EEw
Wins,4,6,4,5,1,3,5,0
Losses,3,1,3,2,6,4,2,7
1,Black Lotus,Ancestral Recall,Sol Ring,Mox Sapphire,Mox Pearl,Mox Emerald,Mana Crypt,mox jet
2,Hullbreacher,Time Walk,Tinker,Timetwister,Demonic Tutor,Thoughtseize,"Oko, Thief of Crowns",mox ruby
3,Fastbond,Force of Will,Force of Negation,Vampiric Tutor,Dauthi Voidwalker,Inquisition of Kozilek,"Teferi, Time Raveler",mana drain
4,Misty Rainforest,Snapcaster Mage,"Urza, Lord High Artificer",Thassa's Oracle,Opposition Agent,Polluted Delta,Mental Misstep,"narset, parter of veils"
5,Prismatic Vista,Scalding Tarn,Tolarian Academy,Sensei's Divining Top,Marsh Flats,Verdant Catacombs,Tropical Island,flooded strand
6,Strip Mine,Gitaxian Probe,Volcanic Island,Underground Sea,Lurrus of the Dream-Den,Sylvan Library,Windswept heath,counterspell
7,"Karn, the Great Creator",Brazen Borrower // Petty Theft,"Ragavan, Nimble Pilferer",Ponder,Bitterblossom,Dark Confidant,Spell pierce,Malevolent Hermit // Benevolent Geist
8,Daze,"Lutri, the Spellchaser",Mox Diamond,Miscast,Stoneforge Mystic,Bayou,"Jace, the mind sculptor","ashiok, dream render"
