,ZeroSuitSamus,Paralos,waki,TheKniphoon*,sphagan,alex,TrashBoat,kelvin
Wins,5,3,2,5,1,4,3,5
Losses,2,4,5,2,6,3,4,2
Date,2023-08-17,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1IuQPzjNgRmpM8aqz8iLjVeXi2SYsLYJfdxC7TxT9fE0/edit#gid=0,,,,,,,
1,Mox Ruby,Time Vault,Mox Pearl,Mox Jet,Mana Crypt,Mox Sapphire,Ancestral Recall,Black Lotus
2,Time Walk,Sol Ring,White Plume Adventurer,Mox Emerald,Urza's Saga,Force of Will,"Ragavan, Nimble Pilferer",Demonic Tutor
3,Hullbreacher,Tinker,Orcish Bowmasters,Thoughtseize,Strip Mine,"Oko, Thief of Crowns",Snapcaster Mage,Vampiric Tutor
4,Mana Drain,"Karn, the Great Creator","Sheoldred, the Apocalypse","Minsc & Boo, Timeless Heroes",Wrenn and Six,Force of Negation,Spell Pierce,Mystical Tutor
5,Mental Misstep,Mana Vault,Ancient Tomb,Inquisition of Kozilek,Mox Diamond,Misty Rainforest,Scalding Tarn,Polluted Delta
6,Swords to Plowshares,"Urza, Lord High Artificer",Verdant Catacombs,Wooded Foothills,Windswept Heath,Preordain,Ponder,Bloodstained Mire
7,Flooded Strand,Grim Monolith,Marsh Flats,Arid Mesa,Prismatic Vista,Brainstorm,"Teferi, Time Raveler",Underground Sea
8,"Narset, Parter of Veils",Walking Ballista,Bayou,Overgrown Tomb,Fastbond,Birds of Paradise,"Lutri, the Spellchaser",Gitaxian Probe
9,Tundra,Manifold Key,Dark Confidant,Delighted Halfling,"Boseiju, Who Endures",Noble Hierarch,Brazen Borrower,Lotus Petal
10,Timetwister,Library of Alexandria,Lurrus of the Dream-Den,Ignoble Hierarch,Taiga,Counterspell,Lightning Bolt,Consider
11,"Jace, Vryn's Prodigy",The One Ring,Collector Ouphe,Stomping Ground,Tropical Island,Breeding Pool,Hallowed Fountain,Watery Grave
12,Dack Fayden,Volcanic Island,Karakas,Badlands,"Emrakul, the Aeons Torn","Jace, the Mind Sculptor",Steam Vents,Chrome Mox
13,Wheel of Fortune,Show and Tell,Solitude,Sylvan Library,Sneak Attack,Hexdrinker,Stoneforge Mystic,Gush
14,Raugrin Triome,Vendilion Clique,Worldly Tutor,"Laelia, the Blade Reforged",Courser of Kruphix,Ledger Shredder,Expressive Iteration,Imperial Seal
15,Dig Through Time,Mishra's Bauble,Invasion of Gobakhan,Pyroblast,Tireless Tracker,Treasure Cruise,Path to Exile,Dark Ritual
16,Abrade,Wasteland,Esper Sentinel,Red Elemental Blast,Once Upon a Time,True-Name Nemesis,Fury,Sleight of Hand
17,"Comet, Stellar Pup",Tolarian Academy,Duress,Caves of Chaos Adventurer,Crop Rotation,Undermountain Adventurer,Seasoned Dungeoneer,Opposition Agent
18,Plateau,Chain of Vapor,"Thalia, Guardian of Thraben",Fable of the Mirror-Breaker,Crucible of Worlds,Waterlogged Grove,Prismatic Ending,Opt
19,Mystical Dispute,Cryptic Command,Mana Confluence,Nurturing Peatland,Thassa's Oracle,Lorien Revealed,Dreadhorde Arcanist,Blood Crypt
20,Murktide Regent,Mox Opal,Savannah,Blooming Marsh,Horizon Canopy,Subtlety,Chain Lightning,Spirebluff Canal
21,Faithless Looting,"Otawara, Soaring City",Reprieve,Blackcleave Cliffs,Veil of Summer,Thought Scour,Fiery Islet,Underworld Breach
22,Dragon's Rage Channeler,Mishra's Workshop,Loran of the Third Path,Copperline Gorge,Zuran Orb,Dismember,Seachrome Coast,Brain Freeze
23,Daze,Transmute Artifact,Cathar Commando,Smuggler's Copter,"Ulamog, the Infinite Gyre","Uro, Titan of Nature's Wrath",Prismari Command,Lion's Eye Diamond
24,Remand,"Emry, Lurker of the Loch",Cavern of Souls,Dauthi Voidwalker,Deathrite Shaman,Stern Scolding,Flame of Anor,Dress Down
25,Forth Eorlingas!,City of Brass,Samwise the Stouthearted,Mind Twist,Channel,Spell Snare,Kaldra Compleat,Careful Study
26,Sunbaked Canyon,Ensnaring Bridge,Silent Clearing,"Grist, the Hunger Tide","Kozilek, Butcher of Truth",Mental Note,"Adeliz, the Cinder Wind",Serum Visions
27,Needleverge Pathway,Enlightened Tutor,Aether Vial,Reanimate,"Oboro, Palace in the Clouds",Aether Gust,Palace Jailer,"Jace, Wielder of Mysteries"
