,John Milsip,Stefan Bard,Liam Coughlan,Brett Frankson,Pat Berdusco,Blake Hodson,Serge Yager,Nick Picard
Date,2014-11-07,,,,,,,
1,Black Lotus,Ancestral Recall,Mox Sapphire,Time Vault,Time Walk,Mox Ruby,Sol Ring,Tinker
2,Demonic Tutor,Mana Drain,Force of Will,Mox Jet,Mox Emerald,Mox Pearl,Strip Mine,Mana Crypt
3,Vampiric Tutor,Spell Pierce,Mystical Tutor,Imperial Seal,Snapcaster Mage,Wasteland,Crucible of Worlds,Personal Tutor
4,Grim Monolith,Library of Alexandria,Scalding Tarn,Entomb,Daze,Lightning Bolt,Fastbond,Mana Vault
5,Dark Depths,"Jace, the Mind sculptor",Volcanic Island,Voltaic Key,"Thada Adel, Acquisitor",Arid Mesa,Mental Misstep,Painter's Servant
6,Thoughtseize,Polluted Delta,Griselbrand,Dark Confidant,Misty Rainforest,Bloodstained Mire,Tropical Island,Mind Twist
7,Dark Ritual,Duress,Show and Tell,Inquisition of Kozilek,Counterspell,Plateau,Brainstorm,Tolarian Academy
8,Lotus Petal,Flooded Strand,Underground Sea,Grim Tutor,Sensei's Divining Top,Goblin Guide,Enlightened Tutor,Mishra's Workshop
9,Hymn to Tourach,Mana Leak,Inkmoth Nexus,Mesmeric Fiend,"Thalia, Guardian of Thraben",Stony Silence,Windswept Heath,Mox Diamond
10,Yawgmoth's Will,Ponder,Preordain,Brain Maggot,Miscalculation,Rest in Peace,Gush,Trinket Mage
11,Helm of Obedience,Stoneforge Mystic,Sneak Attack,Skullclamp,Bribery,Chain Lightning,Tundra,Isochron Scepter
12,Reanimate,True-Name Nemesis,"Emrakul, the Aeons Torn",Umezawa's Jitte,Savannah,Red Elemental Blast,Regrowth,High Tide
13,Deathrite Shaman,Vendilion Clique,Misdirection,Chrome Mox,Noble Hierarch,Pyroblast,Sylvan Library,Watery Grave
14,Pack Rat,Null Rod,Verdant Catacombs,Liliana of the Veil,Temple Garden,Gorilla Shaman,Breeding Pool,Marsh Flats
15,Unmask,Spell Snare,Steam Vents,Necropotence,Hallowed Fountain,Sacred Foundry,Leyline of the Void,Power Sink
16,Tendrils of Agony,Scrubland,Overgrown Tomb,Bitterblossom,Birds of Paradise,Sulfuric Vortex,"Urborg, Tomb of Yawgmoth",Grindstone
17,Lion's Eye Diamond,Steel Sabotage,Pact of Negation,Mishra's Factory,Wooded Foothills,Containment Priest,Mindbreak Trap,Impulse
18,Mutavault,Force Spike,Protean Hulk,Gitaxian Probe,Cryptic Command,Figure of Destiny,Horizon Canopy,Negate
19,Dismember,Aven Mindcensor,Flash,Hypnotic Specter,Gaddock Teeg,Eidolon of the Great Revel,Ensnaring Bridge,Ancestral Vision
20,Cabal Ritual,Swords to Plowshares,Progenitus,Phyrexian Revoker,Trygon Predator,Chill,Stifle,Frantic Search
21,Thespian's Stage,Flusterstorm,Temple of Mystery,Beseech the Queen,Ethersworn Canonist,Smash to Smithereens,City of Brass,Godless Shrine
22,Vampire Hexmage,"Venser, Shaper Savant",Young Pyromancer,Cabal Therapy,Eternal Witness,Rift Bolt,Rishadan Port,Mana Confluence
23,Lake of the Dead,Karakas,Dualcaster Mage,Pithing Needle,Reclamation Sage,Skullcrack,Maze of Ith,Orim's Chant
24,Night's Whisper,Glacial Fortress,Pyroclasm,Distress,Aether Vial,Vexing Devil,Courser of Kruphix,Sphinx of the Steel Wind
25,Sign in Blood,Prohibit,Volcanic Fallout,Shred Memory,Path to Exile,Koth of the Hammer,Remand,Memory Lapse
26,Grafdigger's Cage,Toxic Deluge,Slaughter Pact,NIhil Spellbomb,Tarmogoyf,wear // tear,Nature's Claim,Drowned Catacomb
