,Mike Thompson,Charles Dupont,Jesse Hampton,Josh Ventura,Teddy Vitro,Jesse Wilke,Greg Peloquin,Colin McCune
Wins,3,3,4,5,1,2,6,4
Losses,4,4,3,2,6,5,1,3
Date,2014-04-05,,,,,,,
1,Black Lotus,Mana Crypt,Ancestral Recall,Mox Ruby,Time Vault,Time Walk,Mox Jet,Mox Sapphire
2,Dark Ritual,Channel,Library of Alexandria,Mox Pearl,Tinker,Force of Will,Mox Emerald,Sol Ring
3,Entomb,Strip Mine,Demonic Tutor,Lightning Bolt,Goblin Welder,Mystical Tutor,Mind Twist,Mana Drain
4,Thoughtseize,Fastbond,Mana Vault,Scalding Tarn,Grim Monolith,Timetwister,Vampiric Tutor,Painter's Servant
5,Griselbrand,Ancient Tomb,Yawgmoth's Will,Arid Mesa,Voltaic Key,Counterspell,Duress,Trinket Mage
6,Hymn to Tourach,Crucible of Worlds,Imperial Seal,Bloodstained Mire,Isochron Scepter,Regrowth,Dark Confidant,Grindstone
7,Mana Leak,Rishadan Port,Chrome Mox,Wasteland,Enlightened Tutor,Time Spiral,Liliana of the Veil,"Jace, The Mind Sculptor"
8,Reanimate,Myr Battlesphere,Skullclamp,Plateau,Orim's Chant,Frantic Search,Inquisition of Kozilek,Spell Pierce
9,Careful Study,Mishra's Workshop,Mox Diamond,wear // tear,Thopter Foundry,Remand,Survival of the Fittest,Brainstorm
10,Null Rod,Verdant Catacombs,Muddle the Mixture,Rest in Peace,Sword of the Meek,Tropical Island,Phyrexian Revoker,Snapcaster Mage
11,"Thada Adel, Acquisitor",Misty Rainforest,Bitterblossom,Stony Silence,Negate,Sensei's Divining Top,Wooded Foothills,Tundra
12,Thirst for Knowledge,Coalition Relic,Countersquall,Goblin Guide,Mental Misstep,Polluted Delta,Windswept Heath,Underground Sea
13,Watery Grave,Lotus Petal,Merchant Scroll,Chain Lightning,Annul,Flooded Strand,Natural Order,Marsh Flats
14,Impulse,Thran Dynamo,Miscalculation,Sulfuric Vortex,Tezzeret the Seeker,Stroke of Genius,Mesmeric Fiend,Engineered Explosives
15,Force Spike,Memory Jar,Steel Sabotage,Ajani Vengeant,Transmute Artifact,Heartbeat of Spring,Dark Depths,Tolarian Academy
16,Animate Dead,Crop Rotation,Pithing Needle,Koth of the Hammer,Reshape,Braingeyser,Vampire Hexmage,Vendilion Clique
17,Darkslick Shores,Metalworker,Forbid,Vexing Devil,Fabricate,Breeding Pool,Eternal Witness,Academy Ruins
