,Jimmuh,Mason,becurry,Stephen Hagan,CommonOpponent,juchemz,ssrego,JasterRogue7
Date,2021-10-11,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1U20-AIPvgqWKCmPMHscgPy9jnFWx7Wh4A9O9rDv_4H0/edit#gid=0,,,,,,,
Wins,0,3,4,3,0,6,2,3
Losses,0,3,2,3,6,0,4,3
1,Ancestral Recall,Black Lotus,Mox Ruby,Mox Jet,Mana Crypt,Sol Ring,Mox Emerald,Mox Sapphire
2,Snapcaster Mage,Force of Will,Strip mine,Thoughtseize,Mana Vault,Time Vault,Fastbond,Mox Pearl
3,Time Walk,Force of Negation,"Ragavan, Nimble Pilferer",Dark Ritual,"Karn, the Great Creator",Tinker,"Narset, Parter of Veils",Mana Drain
4,Polluted Delta,Misty Rainforest,Pyroblast,Lightning Bolt,Mox Diamond,Grim Monolith,Timetwister,"Teferi, Time Raveler"
5,Flooded Strand,Scalding Tarn,Red Elemental Blast,Inquisition of Kozilek,Mox Opal,Urza's Saga,"Oko, Thief of Crowns",Hullbreacher
6,Underground Sea,Gitaxian Probe,Wooded Foothills,Dauthi Voidwalker,Demonic Tutor,Tolarian Academy,Mystical Tutor,Prismatic Vista
7,Tundra,Ponder,Bloodstained Mire,Mind Twist,Marsh Flats,Lotus Petal,Windswept Heath,Arid Mesa
8,Verdant Catacombs,Daze,Veil of Summer,Badlands,Scrubland,Grindstone,Enlightened Tutor,Wheel of Fortune
9,Tropical Island,Breeding Pool,Wrenn and Six,Hymn to Tourach,"Dovin, Hand of Control",Sensei's Divining Top,Sylvan Library,Volcanic Island
10,Dark Confidant,Steam Vents,Bayou,Goblin Rabblemaster,Duress,Painter's Servant,"Jace, the Mind Sculptor",Plateau
11,Deathrite Shaman,Spell Pierce,Vampiric Tutor,Legion Warboss,Wasteland,Walking Ballista,Crucible of Worlds,Hallowed Fountain
12,Brainstorm,Preordain,Taiga,Grief,Godless Shrine,Ancient Tomb,Zuran Orb,Swords to Plowshares
13,"Jace, Vryn's Prodigy // Jace, Telepath Unbound",Dack Fayden,Channel,Reanimate,City of Traitors,"Karn, Scion of Urza",Collector Ouphe,Show and Tell
14,Esper Sentinel,Dragon's rage channeler,Bloodbraid Elf,Kolaghan's Command,Prismatic Ending,Mystic Forge,Courser of Kruphix,"Emrakul, the Aeons Torn"
15,Path to Exile,Archmage's Charm,Bitterblossom,"Valki, God of Lies // Tibalt, Cosmic Impostor",Basalt Monolith,"Ugin, the Ineffable",Crop Rotation,Brazen Borrower // Petty Theft
16,Stoneforge Mystic,Tarmogoyf,Abrupt Decay,Blood Crypt,Savannah,Mishra's Workshop,"Emry, Lurker of the Loch",Flusterstorm
