,,,,,,,,
Date,2025-10-28,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1pWwJQEactQl7fQGgOdOlyCprXMzDbBNbRfrWjGVfzCE/edit?gid=0#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Black Lotus,Ancestral Recall,Mana Crypt,Mana Vault,Sol Ring,Mox Sapphire,Mox Ruby,Time Walk
2,White Plume Adventurer,Force of Will,Ancient Tomb,Urza's Saga,Time Vault,Mox Emerald,Mox Pearl,Mox Jet
3,Thoughtseize,Force of Negation,The One Ring,"Tezzeret, Cruel Captain",Tolarian Academy,"Karn, the Great Creator",Mox Diamond,Psychic Frog
4,Chrome Mox,Mana Drain,Strip Mine,Grim Monolith,Tinker,Spell Pierce,"Ragavan, Nimble Pilferer",Orcish Bowmasters
5,Inquisition of Kozilek,Mental Misstep,Demonic Tutor,Walking Ballista,Hullbreacher,"Oko, Thief of Crowns",Seasoned Dungeoneer,Duress
6,Broadside Bombardiers,Prismatic Vista,Vampiric Tutor,Sensei's Divining Top,Timetwister,"Teferi, Time Raveler",Forth Eorlingas!,"Narset, Parter of Veils"
7,Caves of Chaos Adventurer,Flooded Strand,Lotus Petal,Mystic Forge,Mox Opal,Karakas,Red Elemental Blast,Ponder
8,"Comet, Stellar Pup",Scalding Tarn,Bloodstained Mire,Gitaxian Probe,Wheel of Fortune,Misty Rainforest,Pyroblast,Polluted Delta
9,Swords to Plowshares,Wooded Foothills,Reanimate,Preordain,Lion's Eye Diamond,Windswept Heath,Arid Mesa,Counterspell
10,Prismatic Ending,Fastbond,Marsh Flats,Stoneforge Mystic,Echo of Eons,Verdant Catacombs,Plateau,Snapcaster Mage
11,Solitude,Brainstorm,Grief,Glaring Fleshraker,Frantic Search,"Boseiju, Who Endures",March of Otherworldly Light,Library of Alexandria
12,Reprieve,Wasteland,"Atraxa, Grand Unifier",Esper Sentinel,"Tamiyo, Inquisitive Student","Minsc & Boo, Timeless Heroes",Archon of Emeria,Dig Through Time
13,"Laelia, the Blade Reforged",Tropical Island,Entomb,Phyrexian Revoker,Currency Converter,"Otawara, Soaring City",Path to Exile,Sink into Stupor
14,Dauthi Voidwalker,Hydroblast,Fable of the Mirror-Breaker,Vexing Bauble,Retrofitter Foundry,Mystical Tutor,Lightning Bolt,True-Name Nemesis
15,Generous Plunderer,Blue Elemental Blast,Animate Dead,Reality Smasher,Brain Freeze,Lorien Revealed,Abrade,Null Rod
16,Sacred Foundry,Brazen Borrower,Troll of Khazad-dum,Lodestone Golem,Underworld Breach,Dack Fayden,Fury,Snuff Out
17,"Phelia, Exuberant Shepherd",Vendilion Clique,Badlands,Phyrexian Metamorph,Chromatic Star,Daze,Sunbaked Canyon,"Lutri, the Spellchaser"
18,Containment Priest,Breeding Pool,Blood Crypt,City of Traitors,Pentad Prism,Once Upon a Time,Bonecrusher Giant,Barrowgoyf
19,Simian Spirit Guide,Waterlogged Grove,Emperor of Bones,Eldrazi Temple,Seat of the Synod,Shelldock Isle,Rest in Peace,Nethergoyf
20,Elite Spellbinder,Consign to Memory,Imperial Seal,Umezawa's Jitte,Starting Town,Hedge Maze,Stony Silence,Unearth
