,Talanthalos,Hyphen-ated,DedZeppelin,juchemz,Sti,DrpeepeepoopooMD,Ever,Dragon-Fodder
Date,2022-04-01,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1lxX7W5mNHM5RjYLPIitQ5rxf221uPGS41smVqt5LLXA/edit#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Ancestral Recall,Black Lotus,Time Walk,Mox Sapphire,Mox Ruby,Mana Crypt,Sol Ring,Time Vault
2,Force of Will,Lion's Eye Diamond,"Karn, the Great Creator",Thoughtseize,Mox Emerald,Mox Jet,Mox Pearl,Tinker
3,Force of Negation,Demonic Tutor,Strip Mine,Snapcaster Mage,Hullbreacher,Vampiric Tutor,Urza's Saga,"Narset, parter of veils"
4,Mental Misstep,Mox Opal,Misty Rainforest,Mana Drain,"Ragavan, Nimble Pilferer","Oko, Thief of Crowns",Mox Diamond,Timetwister
5,Gitaxian Probe,Grim Monolith,Mystical Tutor,Inquisition of Kozilek,Tolarian Academy,Mana Vault,Spell Pierce,Sensei's divining top
6,Prismatic Vista,Underworld Breach,Scalding Tarn,Polluted Delta,Wheel of Fortune,Stoneforge Mystic,Skullclamp,"Teferi, time raveler"
7,Flooded Strand,Veil of Summer,Dack Fayden,Brazen Borrower // Petty Theft,Tropical Island,Windswept Heath,Esper Sentinel,Ponder
8,Volcanic Island,Chrome Mox,Pyroblast,Mystical Dispute,Wooded Foothills,Phyrexian Revoker,Ancient Tomb,Preordain
9,Library of Alexandria,Fastbond,Wrenn and Six,"Jace, the Mind Sculptor",Verdant Catacombs,Thought-Knot Seer,City of Traitors,Counterspell
10,Arid Mesa,Walking Ballista,Intuition,Marsh Flats,Bloodstained Mire,Swords to Plowshares,Thought Monitor,Daze
11,Consider,Lotus Petal,Brainstorm,Vendilion Clique,Red Elemental Blast,Prismatic Ending,Seat of the Synod,Painter's Servant
12,Abrade,City of Brass,"Lutri, the Spellchaser",Underground Sea,Lightning Bolt,Collector Ouphe,Ancient Den,Manifold Key
13,"Jace, Vryn's Prodigy // Jace, Telepath Unbound",Mana Confluence,"Boseiju, Who Endures",Bitterblossom,Thassa's Oracle,Lion Sash,Flusterstorm,Tundra
14,Steam Vents,"Urza, Lord High Artificer",Prismari Command,Karakas,Demonic Consultation,"Thalia, Guardian of Thraben",Grafdigger's Cage,Grindstone
15,Expressive Iteration,Inventors' Fair,Spirebluff Canal,Umezawa's Jitte,"Laelia, the blade reforged",Path to Exile,Standstill,"Otawara, Soaring City"
16,Thieving Skydiver,Chromatic Star,Galvanic Iteration,Miscast,Birds of Paradise,Cavern of Souls,Spell Snare,Mana Leak
17,True-Name Nemesis,Scrap Trawler,Ketria Triome,"Dovin, Hand of Control",Taiga,Hallowed Fountain,Mishra's Factory,Voltaic Key
18,Chain Lightning,Spire of Industry,Unholy Heat,Hurkyl's Recall,Bayou,Lodestone Golem,Fragmentize,Blightsteel Colossus
19,Shelldock Isle,Transmute Artifact,"Uro, Titan of Nature's Wrath",Suspicious Stowaway // Seafaring Werewolf,Deathrite Shaman,Rest in Peace,Gemstone Mine,Tezzeret the seeker
20,Dress Down,Orim's chant,Breeding Pool,Malevolent Hermit // Benevolent Geist,Sylvan Library,Sword of Fire and Ice,Portable Hole,Trinket Mage
21,Seasoned Pyromancer,Defense Grid,Grove of the Burnwillows,Watery Grave,Questing Beast,Reality Smasher,Treasure Cruise,Dig through time
