,1. Georg,2. Sindre,3. Gøran,4. Torgeir,5. Thomas,6. Jon Magnus,7. Jonas,8. Mikkel
Date,2023-05-01,,,,,,,
Wins,2,5,2,1,3,6,6,3
Losses,5,2,5,6,4,1,1,4
Notes,,,,,,,,
1,Black lotus,Ancestral Recall,Mox Sapphire,Time Vault,Mox Ruby,Mox Jet,Mox Pearl,Mox Emerald
2,Demonic Tutor,Channel,Mana Vault,Tinker,"Ragavan, Nimble Pilferer",Sol Ring,Mana Crypt,Time Walk
3,Force of Will,Timetwister,"Karn, the Great Creator",Force of Negation,Lightning Bolt,Strip Mine,Mox Diamond,"Oko, Thief of Crowns"
4,Urza's Saga,Hullbreacher,"Narset, Parter of Veils",Flooded Strand,Scalding Tarn,Thoughtseize,Ancient Tomb,Mana Drain
5,Polluted Delta,Fastbond,Tolarian Academy,Misty Rainforest,Volcanic Island,Wasteland,Swords to Plowshares,Snapcaster Mage
6,Bloodstained Mire,Tropical Island,Ponder,Tundra,"Jace, the Mind Sculptor",Prismatic Vista,Solitude,Counterspell
7,Dack Fayden,Windswept Heath,Pyroblast,Marsh Flats,Preordain,Verdant Catacombs,White Plume Adventurer,Spell Pierce
8,Underworld Breach,Mystical Tutor,"Urza, Lord High Artificer",Blightsteel Colossus,Steam Vents,Wooded Foothills,Seasoned Dungeoneer,Mental Misstep
9,Brain Freeze,Veil of Summer,Grim Monolith,Stoneforge Mystic,Ledger Shredder,"Minsc & Boo, Timeless Heroes",Walking Ballista,"Teferi, Time Raveler"
10,Underground Sea,"Emrakul, the Aeons Torn","Emry, Lurker of the Loch",Monastery Mentor,Treasure Cruise,Bayou,March of Otherworldly Light,Prismatic Ending
11,Remand,Breeding Pool,Mishra's Bauble,Shelldock Isle,Consider,Wrenn and Six,Karakas,Brazen Borrower
12,Flusterstorm,Spellseeker,Mystical Dispute,Hallowed Fountain,Fury,Dark Confidant,Chrome Mox,Faerie Mastermind
13,Brainstorm,Birds of Paradise,Vendilion Clique,Path to Exile,Opt,Badlands,"Laelia, the Blade Reforged",Botanical Sanctum
