,Talanthalos,Ever,becurry,domhrv,Leviticus,Hyphen-ated,Stephen Hagan,Swifty2400
Date,2021-12-22,,,,,,,
Notes,https://discord.com/channels/648329034211786752/912070883420540948/923342771299958784,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Black Lotus,Ancestral Recall,Mox Sapphire,Time Walk,Mox Jet,Mana Crypt,Mox Emerald,Mox Ruby
2,"Teferi, Time Raveler",Thoughtseize,Mana Drain,Force of Will,Sol Ring,Mox Pearl,"Karn, the Great Creator",Time Vault
3,"Oko, Thief of Crowns",Snapcaster Mage,Tinker,Force of Negation,Strip Mine,Mana Vault,Tolarian Academy,Demonic Tutor
4,"Narset, Parter of Veils",Polluted Delta,Mox Diamond,Shelldock Isle,Crucible of Worlds,Hullbreacher,"Urza, Lord High Artificer",Inquisition of Kozilek
5,Flooded Strand,Scalding Tarn,Misty Rainforest,Prismatic Vista,Wasteland,Timetwister,Verdant Catacombs,Vampiric Tutor
6,Marsh Flats,Volcanic Island,Windswept Heath,Wooded Foothills,Ancient Tomb,Grim Monolith,Tropical Island,Bloodstained Mire
7,Tundra,"Ragavan, Nimble Pilferer",Stoneforge Mystic,Urza's Saga,Mystic Forge,Library of Alexandria,"Karn, Scion of Urza",Underground Sea
8,Brainstorm,Mental Misstep,Esper Sentinel,Mystical Tutor,Walking Ballista,Spell Pierce,Daze,Bayou
9,"Jace, the Mind Sculptor",Duress,Sensei's Divining Top,Pyroblast,"Thalia, Guardian of Thraben",Painter's Servant,"Nissa, Who Shakes the World",Dauthi Voidwalker
10,Arid Mesa,Lightning Bolt,Skullclamp,"Lutri, the Spellchaser",Swords to Plowshares,Enlightened Tutor,Chrome Mox,Pack Rat
11,Breeding Pool,Dark Confidant,Fastbond,Dack Fayden,Thought-Knot Seer,Preordain,Sylvan Library,Manifold Key
12,Council's Judgment,Gitaxian Probe,Lotus Petal,Red Elemental Blast,Engineered Explosives,Ponder,Noble Hierarch,Griselbrand
13,Path to Exile,Dragon's Rage Channeler,Mox Opal,Steam Vents,Cavern of Souls,Hallowed Fountain,Chalice of the Void,Watery Grave
14,Counterspell,Mystical Dispute,Balance,Expressive Iteration,Prismatic Ending,Adarkar Wastes,Mana Leak,Show and Tell
15,Oath of Nissa,Chain Lightning,Kaldra Compleat,"Jace, Vryn's Prodigy // Jace, Telepath Unbound",Brushland,Transmute Artifact,Zuran Orb,"Emrakul, the Aeons Torn"
16,Karakas,Young Pyromancer,"Ashiok, Dream Render",Murktide Regent,Dismember,Grindstone,Ramunap Excavator,Intuition
17,Swan Song,"Laelia, the Blade Reforged",Tasha's Hideous Laughter,Thieving Skydiver,"Ugin, the Ineffable",Basalt Monolith,Dryad of the Ilysian Grove,Thought Erasure
18,Flusterstorm,Serum Visions,"Dovin, Hand of Control",Unholy Heat,Aven Mindcensor,Pact of Negation,Questing Beast,Agonizing Remorse
19,Dovin's Veto,Fiery Islet,Veil of Summer,Consider,City of Traitors,Miscast,Waterlogged Grove,Opt
20,Lion's Eye Diamond,Reanimate,Brazen Borrower // Petty Theft,Spirebluff Canal,Spirit of the Labyrinth,Karn Liberated,"Yavimaya, Cradle of Growth",Omniscience
21,Oath of Druids,Badlands,Winter Orb,True-Name Nemesis,Rest in Peace,Academy Ruins,Seat of the Synod,Blood Crypt
22,Savannah,Hydroblast,Hurkyl's Recall,Vendilion Clique,Helm of Obedience,Hengegate Pathway // Mistgate Pathway,Static Orb,Shallow Grave
23,Nature's Claim,Blue Elemental Blast,Altar of the Brood,Abrade,Phyrexian Revoker,Lodestone Golem,Pithing Needle,Defense Grid
24,Stony Silence,Countersquall,Collector Ouphe,Dig Through Time,Skyclave Apparition,Wurmcoil Engine,Mycosynth Lattice,Collective Brutality
25,Condemn,Dreadhorde Arcanist,Temple Garden,Galvanic Iteration,Thorn of Amethyst,Fragmentize,Birds of Paradise,Echoing Truth
26,Chromatic Star,Delver of Secrets // Insectile Aberration,"Emry, Lurker of the Loch",Thought Scour,Caves of Koilos,Divert,Gush,Negate
27,Aether Spellbomb,Riverglide Pathway // Lavaglide Pathway,Flooded Grove,Stormcarved Coast,Battlefield Forge,Tezzeret the Seeker,Tireless Tracker,Dream Halls
28,Celestial Colonnade,"Shatterskull Smashing // Shatterskull, the Hammer Pass",Mystic gate,Sprite Dragon,"Thalia, Heretic Cathar",Fractured Identity,Tireless Provisioner,Cunning Wish
29,Forbidden Orchard,Monastery Swiftspear,Gemstone Mine,Suspicious Stowaway // Seafaring Werewolf,Abolish,Bribery,Blightsteel Colossus,Impulse
30,Ceremonious Rejection,Auriok Salvagers,Ensnaring Bridge,Fire // Ice,"Heliod, Sun-Crowned",Remand,Force of Vigor,Xantid Swarm
31,Court of Cunning,Shattering Spree,Tangle Wire,Flame Slash,Triskelion,Power Artifact,Smokestack,Mana Confluence
32,Energy Flux,Memory Lapse,Brain Freeze,Null Rod,Reality Smasher,Goblin Cannon,Pentad Prism,Regrowth
33,"Teferi, Hero of Dominaria",Drown in the Loch,Paradoxical Outcome,Dispel,Disenchant,Seal of Cleansing,Primeval Titan,Shared Summons
34,Tormod's Crypt,Kolaghan's Command,Channel,Relic of Progenitus,Phyrexian Metamorph,Glacial Fortress,"Vivien, Arkbow Ranger",Malevolent Hermit // Benevolent Geist
35,"Iona, Shield of Emeria","Kroxa, Titan of Death's Hunger",Mishra's Workshop,Mishra's Bauble,Eldrazi Displacer,Ancient Den,Memnarch,City of Brass
36,Wrath of God,Clearwater Pathway // Murkwater Pathway,Scavenging Ooze,Annul,Matter Reshaper,Upheaval,Tree of Tales,Fae of Wishes // Granted
37,Detention Sphere,Meltdown,Ruin Crab,Spellseeker,Endbringer,Day of Judgment,"Ulamog, the Infinite Gyre","Kozilek, Butcher of Truth"
38,Portable Hole,Dress Down,"Oboro, Palace in the Clouds",Izzet Charm,Eldrazi Mimic,Glen Elendra Archmage,Witchbane Orb,"Sea Gate Restoration // Sea Gate, Reborn"
39,Treasure Cruise,Darkslick Shores,Hedron Crab,Subtlety,Umezawa's Jitte,"Zirda, the Dawnwaker",Manglehorn,Enter the Infinite
40,Sun Titan,Baleful Mastery,Crop Rotation,"Venser, Shaper Savant",Endless One,Retrofitter Foundry,Rise and Shine,Release the Ants
41,"Elesh Norn, Grand Cenobite",Steel Sabotage,Myr Battlesphere,Hall of Storm Giants,Timely Reinforcements,Lose Focus,Talisman of Curiosity,Assassin's Trophy
42,Hinterland Harbor,Underground River,Windfall,Bonecrusher Giant // Stomp,Gideon of the Trials,Oust,Craterhoof Behemoth,Overgrown Tomb
43,Sunpetal Grove,Blackcleave Cliffs,Glimmervoid,Shadowspear,"Linvala, Keeper of Silence",Fateful Absence,Dark Depths,Opposition Agent
