,Mark,Luke,Josh,Hagan,Pete,Cassidy,Hobbs,Kyle
Date,2025-03-01,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1WBKiOVYwiJBRPQlrKegYt80VcmwyWuoVYMKDjL6HiWo/edit?gid=0#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Black Lotus,time walk,Ancestral Recall,Mana Crypt,Mox Jet,Mox Emerald,Mox sapphire,Mox Pearl
2,Tinker,Chrome mox,Mana Vault,Thoughtseize,Mox Ruby,sol ring,mox opal,Force of Will
3,Urza's Saga,"Narset, parter of Veils",Ancient Tomb,"Oko, Thief of Crowns",wheel of fortune,fastbond,Tolarian academy,Force of Negation
4,Mox Diamond,timetwister,Grim Monolith,Inquisition of Kozilek,"Ragavan, nimble pilferer",staff of domination,Mishra's workshop,Tundra
5,"Karn, the Great Creator",Isochron Scepter,Gaea's Cradle,Reanimate,goblin guide,Elvish Archdruid,TIme vault,Mana Drain
6,Vampiric Tutor,the one ring,Manifold Key,Verdant Catacombs,Monastery swiftspear,Presence of Gond,Voltaic key,Snapcaster Mage
7,Demonic Tutor,orcish bowmasters,Eye of Ugin,Polluted Delta,rotting regisaur,"yavimaya, cradle of growth",Hullbreacher,Flooded Strand
8,"Teferi, Time Raveler",scalding tarn,Once Upon a Time,Prismatic Vista,Dark Ritual,"Eladamri, lord of leaves",misty rainforest,Sensei's Divining Top
9,Gitaxian Probe,bloodstained mire,Cavern of Souls,Grief,hypnotic specter,beast within,"urza, lord high artificer",Mystic Sanctuary
10,"Tamiyo, Inquisitive Student",Marsh Flats,Walking Ballista,Psychic Frog,"Boseiju, Who Endures",fauna shaman,"karn, scion of urza","Otawara, Soaring City"
11,Lotus Petal,Ponder,"Ulamog, the Defiler",Delighted Halfling,Murderous Rider,Innkeeper's Talent,basalt monolith,Mana Leak
12,White Plume Adventurer,brainstorm,Flusterstorm,Spell Pierce,Bonecrusher Giant,Triumph of the Hordes,power artifact,Counterspell
13,Seasoned Dungeoneer,Leyline of the void,City of Brass,"Minsc & Boo, Timeless Heroes",abrade,fyndhorn elves,metalworker,Preordain
14,Swords to Plowshares,windfall,Painter's Servant,Wooded Foothills,"Krenko, mob boss",Explosive Vegetation,lodestone golem,Three Steps Ahead
15,Forth Eorlingas!,dauthi voidwalker,Grindstone,Strip Mine,coat of arms,Primal Command,wurmcoil engine,Daze
16,Arid Mesa,underground sea,Glaring Fleshraker,Green Sun's Zenith,animate dead,glistener elf,urza's cave,Mental Misstep
17,Windswept Heath,tropical island,Blade of the Bloodchief,Bayou,Liliana of the veil,worldly tutor,watery grave,Hallowed Fountain
18,Balance,"Ashiok, dream render",Basking Broodscale,Sylvan Library,pack rat,siege behemoth,"tezzeret, agent of bolas",Brazen Borrower
19,Lurrus of the Dream-Den,birds of paradise,Sire of Seven Deaths,Exhume,Griselbrand,Unnatural Growth,phyrexian metamorph,Esper Sentinel
20,Lightning Bolt,Thassa's Oracle,Thought-Knot Seer,Show and Tell,Red elemental blast,gala greeters,undercity sewers,Path to Exile
21,Stoneforge Mystic,demonic consultation,Reality Smasher,Archon of Cruelty,cut // ribbons,tel-jilad fallen,simulacrum synthesizer,Treasure Cruise
22,caves of chaos adventurer,Noble Hierarch,"Ulamog, the Infinite Gyre","Grist, the Hunger Tide",Goblin rabblemaster,joraga treespeaker,kappa cannoneer,Cryptic Command
23,City of Traitors,arbor elf,Sowing Mycospawn,Ignoble Hierarch,Eidolon of the great revel,wirewood lodge,sunken hollow,Dig Through Time
24,Volcanic Island,utopia sprawl,Hall of the bandit lord,Breeding Pool,"torbran, thane of red fell",force of vigor,tezzeret the seeker,True-name Nemesis
25,"Lutri, the Spellchaser",Wild Growth,It That Heralds the End,"Sheoldred, the Apocalypse",Blood moon,archdruid's charm,thought monitor,Chalice of the Void
26,Fable of the Mirror-Breaker,Mana Confluence,Eldrazi Temple,Veil of Summer,fury,ramunap excavator,seat of the synod,Teferi's Protection
27,Solitude,helm of obedience,Ugin's Labyrinth,Taiga,fork,court of garenbrig,"emry, lurker of the loch",Opt
28,Broadside Bombardiers,surgical extraction,Devourer of Destiny,Endurance,Inferno titan,primeval titan,vexing bauble,Counterbalance
29,Pyroblast,ensnaring bridge,Nulldrifter,Energy Flux,Grave titan,finale of devastation,mishra's bauble,Reprieve
30,Karakas,drown in the loch,Soul-Guide Lantern,Troll of Khazad-dum,Umezawa's Jitte,shifting woodland,urza's bauble,Supreme Verdict
31,Tormod's Crypt,extirpate,Kozilek's Command,Emperor of Bones,Lavaclaw reaches,allosaurus shepherd,flare of denial,Remand
32,Kaldra Compleat,ruin crab,Eldrazi Mimic,Badlands,Goblin Lackey,craterhoof behemoth,"emrakul, the aeons torn",Vendilion Clique
33,Scrubland,Hedron crab,Ancient Stirrings,Flash,Impact tremors,viridian corrupter,"venser, shaper savant",Stifle
34,Underworld Breach,archive trap,Nature's Claim,Woodfall Primus,Goblin king,branchblight stalker,subtlety,Strict Proctor
35,Brain Freeze,Tasha's hideous laughter,Elder Deep-Fiend,Abrupt Decay,Goblin warchief,"nissa, ascended animist",faerie mastermind,Dress Down
36,"Comet, Stellar Pup",mystical dispute,Yavimaya Coast,Assassin's Trophy,Goblin Ringleader,tajuru preserver,vault of whispers,Miscalculation
37,Witch Enchanter,glimpse the unthinkable,Faerie Macabre,Wrenn and Six,pashalik mons,"oran-rief, the vastwood",mistvault bridge,Celestial Colonnade
38,"Kozilek, Butcher of Truth",mesmeric orb,Thief of Existence,"Ghalta, Stampede Tyrant",goblin trashmaster,rogue's passage,acquire,Get Lost
39,Plateau,gemstone caverns,wretched gryff,Dance of the Dead,"purphoros, god of the forge",end-raze forerunners,commandeer,Maze of Ith
40,Sacred Foundry,fractured Sanity,Haywire Mite,"Jace, Vryn's Prodigy",Gempalm incinerator,pathbreaker ibex,baleful strix,"Lavinia, Azorius Renegade"
41,Mycosynth Lattice,Court of cunning,Channel,"Takenuma, Abandoned Mire",fireball,blazing sunsteel,metallic rebuke,Temporal Mastery
42,Containment Priest,Propaganda,Trinisphere,Sheoldred,goblin matron,primordial hydra,shadowspear,Entreat the Angels
43,Perilous Snare,maddening cacophony,Malevolent Rumble,Consign to Memory,siege-gang commander,fierce empath,lightning greaves,Triumph of Saint Katherine
44,Loran Of The Third Path,"Jace, the perfected mind",Wastescape Battlemage,Toxic Deluge,skullclamp,canopy tactician,sink into stupor,Terminus
45,Tivadar's Crusade,cyclonic rift,Lavaspur Boots,Overgrown Tomb,Torment of hailfire,"eladamri, korvecdal",thoughtcast,Shark Typhoon
46,Tishana's Tidebinder,the mindskinner,Warping Wail,"Leovold, Emissary of Trest",rakdos charm,heritage druid,unstoppable plan,Phyrexian Dreadnought
