,Dan Magnin,Alex Wiggins,Adam Varner,Matt Welch,Josh Smith,Andrew Swift,Kevin Freeman,Patrick Bargeon
Date,2023-12-02,,,,,,,
Notes,https://www.moxfield.com/decks/SqCmEm2HGkWr_GrUEvjI4A,https://www.moxfield.com/decks/laoGbHV9skiqPXWvnZsVrg,https://www.moxfield.com/decks/UPTii7WIj0ytlANRZh0Qbw,https://www.moxfield.com/decks/soatUua3rUin_DKrw5UKNA,https://www.moxfield.com/decks/AOMtAk3vokm9V1rQVBtNTg,https://www.moxfield.com/decks/FZ87Q8D-eU2tH-urKHd8gg,https://www.moxfield.com/decks/fG7v38QQA0m7RjAFyeht-w,https://www.moxfield.com/decks/2EVZg9uUlUqAegzc4lbnvA
Wins,4,5,6,3,2,3,4,1
Losses,3,2,1,4,5,4,3,6
1,Ancestral Recall,black lotus,mana crypt,Time Walk,mox sapphire,Mox Jet,mox ruby,Mox Pearl
2,Force of Negation,"ragavan, nimble pilferer",time vault,Force of Will,mox emerald,White Plume Adventurer,sol ring,Timetwister
3,Mana Drain,strip mine,urza's saga,Demonic Tutor,tinker,Thoughtseize,orcish bowmasters,The One Ring
4,Hullbreacher,"minsc & boo, timeless heroes",mana vault,Thassa's Oracle,"oko, thief of crowns",Mox Diamond,lightning bolt,Ponder
5,Snapcaster Mage,fury,ancient tomb,Spell Pierce,fastbond,"Karn, the Great Creator","laelia, the blade reforged",Solitude
6,"Teferi, Time Raveler",wooded foothills,swords to plowshares,Scalding Tarn,"narset, parter of veils",Polluted Delta,badlands,True-Name Nemesis
7,Preordain,prismatic vista,"urza, lord high artificer",Bloodstained Mire,misty rainforest,Marsh Flats,arid mesa,Flooded Strand
8,Gitaxian Probe,chrome mox,grim monolith,Brainstorm,mental misstep,Esper Sentinel,blood crypt,Counterspell
9,Daze,verdant catacombs,stoneforge mystic,Duress,tolarian academy,Inquisition of Kozilek,eidolon of the great revel,Path to Exile
10,Volcanic Island,caves of chaos adventurer,walking ballista,Grief,windswept heath,Prismatic Ending,vampiric tutor,Murktide Regent
11,Dack Fayden,"chandra, torch of defiance",tundra,Underground Sea,sensei's divining top,Mind Twist,pyroblast,Seasoned Dungeoneer
12,Brazen Borrower,wrenn and six,mystical dispute,Steam Vents,tropical island,Forth Eorlingas!,red elemental blast,Mana leak
13,"Jace, the Mind Sculptor","comet, stellar pup","zirda, the dawnwaker",Flusterstorm,"boseiju, who endures",Scrubland,pithing needle,Hallowed Fountain
14,Remand,collector ouphe,skullclamp,Hydroblast,birds of paradise,Plateau,fry,Monastery Mentor
15,Miscalculation,noble hierarch,retrofitter foundry,Underworld Breach,wasteland,"Dovin, Hand of Control",abrade,Reprieve
16,Archmage's Charm,veil of summer,balance,An Offer You Can't Refuse,"uro, titan of nature's wrath",Sorcerous Spyglass,aether vial,Lose Focus
17,Library of Alexandria,undermountain adventurer,lion's eye diamond,Demonic Consultation,sylvan library,Dark Confidant,bonecrusher giant,"Thalia, Guardian of Thraben"
18,Cryptic Command,hexdrinker,blue elemental blast,Reanimate,mystical tutor,Hymn to Tourach,fable of the mirror-breaker,Smuggler's Copter
19,Miscast,once upon a time,auriok salvagers,Entomb,"jace, vryn's prodigy",Relic of Progenitus,roiling vortex,Stony Silence
20,Vendilion Clique,endurance,enlightened tutor,"Atraxa, Grand Unifier",lodestone golem,Mycosynth Lattice,harsh mentor,Skyclave Apparition
21,Dig Through Time,delighted halfling,manifold key,Faithless Looting,gush,Kolaghan's Command,"sheoldred, the apocalypse",The Reality Chip
22,Shelldock Isle,ignoble hierarch,"teferi, hero of dominaria",Dark Ritual,ledger shredder,Dauthi Voidwalker,scytheclaw raptor,Dovin's veto
23,Consider,questing beast,transmute artifact,Tainted Pact,blightsteel colossus,Karakas,goblin rabblemaster,Lorien Revealed
24,null rod,outland liberator,thopter foundry,Lotus Petal,"otawara, soaring city",March of Otherworldly Light,rampaging ferocidon,Raugrin Triome
25,Fiery Islet,scavenging ooze,sword of the meek,Hurkyl's Recall,phyrexian metamorph,Savai Triome,"feldon, ronom excavator",Third Path Iconoclast
26,Deceiver Exarch,orcish lumberjack,whir of invention,Energy Flux,stern scolding,Bitterblossom,"inti, seneschal of the sun",Lightning Helix
27,Splinter Twin,savannah,batterskull,Frantic Search,force of vigor,Authority of the Consuls,rakdos charm,Council's Judgment
28,Pestermite,arbor elf,aether spellbomb,Animate Dead,courser of kruphix,Loran of the Third Path,delayed blast fireball,Subtlety
29,"Kiki-Jiki, mirror breaker",utopia sprawl,"lutri, the spellchaser",Griselbrand,swan song,Ajani Vengeant,"krenko, tin street kingpin",Fire // Ice
