,Ferg,Ryan,Daryl,Ian,Tony,Nick,Hymers,Travis
Date,2021-05-24,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1TrbskbF_3PV5nY7SXIrQhlYJWFATkhiDDLx1aMru-RE/edit#gid=1563054579,,,,,,,
Wins,1,3,1,0,2,0,2,0
Losses,1,0,1,2,1,3,1,0
1,Black Lotus,Ancestral Recall,Mox Sapphire,Mox Jet,Time vault,Mox Ruby,Mana Crypt,Time Walk
2,Mox Diamond,Sol Ring,Fabricate,Mox Pearl,Mox Emerald,Force of Will,Tinker,Counterspell
3,"Emry, Lurker of the loch",Mana Drain,Grindstone,vampiric tutor,Tolarian Academy,Brainstorm,demonic tutor,Tropical Island
4,transmute artifact,Timetwister,Painters Servant,entomb,Mishra's workshop,Mystical Tutor,mox opal,Twiddle
5,"Urza, lord high artificer","Jace, The Mindsculptor",Snapcaster Mage,Strip mine,Blightsteel Colossus,The Tabernacle at Pendrell Vale,Paradoxical Outcome,Icy Manipulator
6,Mental Misstep,Sneak Attack,Ponder,crucible of worlds,"Emrakul, The Aeons Torn","Narset, Parter of Veils",Yawgmoth's Will,Copy Enchantment
7,Ancient Tomb,Imperial seal,Cryptic Command,Wasteland,Show and Tell,"Karn, the Great Creator",Hullbreacher,Time Warp
8,Lodestone Golem,Channel,Remand,Ghost Quarter,Voltaic Key,Library of Alexandria,daze,Capture of Jingzhou
9,Wurmcoil Engine,Volcanic Island,Isochron Sceptre,Griselbrand,Tezzeret The seeker,Through the Breach,"Jace, Vryn's Prodigy",Time Stop
10,Spell Pierce,"Ulamog, the Infinite Gyre",Cyclonic Rift,reanimate,Mana Vault,"Baral, Chief of Compliance",Force of Negation,Lu Xun Scholar General
11,Kuldotha Forgemaster,"Kozilek, Butcher of Truth",Ancestral Visions,Ramunap Excavator,Grim Monolith,"Ulamog, the Ceaseless Hunger",Polluted Delta,Enlightened Tutor
12,Thopter Assembly,Upheaval,Leyline of Anticipation,Verdant catacombs,Omniscience,Goblin Electromancer,Scalding Tarn,Tundra
13,Time Sieve,Mana Leak,Archmage's Charm,"Golos, Tireless Pilgrim",Reshape,Tendrils of Agony,Lion's eye diamond,Psychic Venom
14,Sword of the meek,Consecrated Sphinx,Ensnaring Bridge,Dark ritual ,Mycosynth Lattice,Food Chain,Thassa's Oracle,Prodgical Sorcerer
15,sundering titan,Fastbond,Trickbind,Oath of druids,"Karn, Silver Golem",Worldspine Worm,Chrome mox,Memory Lapse
