,Mason,quickwit29,Mattthew.Pardonner,JasterRogue7,Jimmuh,sphagan,DrPeepeepoopooMD,sti
Date,2023-01-30,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1b930-t3dZZ2IWNsvyihsxbSw011IuK51Qv3Jan0M-5U/edit#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Black Lotus,Ancestral Recall,Mox Sapphire,Mox Jet,Mana Crypt,Mox Ruby,Mox Emerald,Mox Pearl
2,Thoughtseize,Force Of Will,Time Vault,Tinker,Urza's Saga,"Ragavan, Nimble Pilferer",Sol Ring,Time Walk
3,Gitaxian Probe,Force of Negation,Mana Vault,"Oko, Thief of Crowns",Mox Diamond,Strip Mine,"Karn, the Great Creator","Teferi, Time Raveler"
4,Demonic Tutor,Snapcaster Mage,Timetwister,"Urza, Lord High Artificer",Fastbond,Ancient Tomb,Hexdrinker,Hullbreacher
5,Inquisition of Kozilek,Mana Drain,Tolarian Academy,Sensei's Divining Top,Misty Rainforest,"Thalia, Guardian of Thraben",Sylvan Library,Mental Misstep
6,Mind Twist,"Lutri, the Spellchaser","Narset, Parter of Veils",Polluted Delta,Scalding Tarn,Prismatic Vista,Walking Ballista,Spell Pierce
7,Hymn to Tourach,Brazen Borrower,Vampiric Tutor,Verdant Catacombs,"Boseiju, Who Endures",Stoneforge Mystic,Veil of Summer,Flooded Strand
8,Grim Monolith,Mystic Sanctuary,Painter's Servant,Thassa's Oracle,Wrenn and Six,Lightning Bolt,Questing Beast,Dack Fayden
9,Lion's Eye Diamond,"Venser, Shaper Savant",Mox Opal,Endurance,Arid Mesa,Swords to Plowshares,Once Upon a Time,Chrome Mox
10,Dark Depths,Vendilion Clique,Lurrus of the Dream-Den,Tropical Island,Deathrite Shaman,"Minsc & Boo, Timeless Heroes",Collector Ouphe,White Plume Adventurer
11,Thespian's Stage,Karakas,Prismatic Ending,Mystical Tutor,Windswept Heath,Wooded Foothills,Phyrexian Metamorph,Bloodstained Mire
12,Basalt Monolith,Library of Alexandria,Enlightened Tutor,Underground Sea,Volcanic Island,"Comet, Stellar Pup",Allosaurus Shepherd,Preordain
13,Dauthi Voidwalker,Treasure Cruise,Balance,Daze,Savannah,Bonecrusher Giant,Thought-Knot Seer,Ponder
14,Duress,Noxious Revival,Urza's Bauble,Abrupt Decay,Bayou,Mishra's Bauble,Reality Smasher,"Jace, Vryn's Prodigy"
15,Pack Rat,"Jace, the Mind Sculptor",Mox Amber,Flusterstorm,Plateau,Taiga,Eldrazi Temple,Steam Vents
16,Badlands,Cryptic Command,Tundra,Imperial Seal,Fireblast,Lotus Petal,"Nissa, Who Shakes the World",Sacred Foundry
