,Max,Kyle,Adrian,Brandon,Cody,Sam,Mike,Alex
Date,2023-04-01,,,,,,,
Notes,https://www.moxfield.com/decks/V6VaX_KBUUCi_THto2rPig,https://www.moxfield.com/decks/MSmuwJ-h8kGT8q5_f4DrrA,https://www.moxfield.com/decks/ZAnEoZxlrUSWvpFc-Ze1jQ,https://www.moxfield.com/decks/NCDQtPN7jEaUd05_jUq4Gg,https://www.moxfield.com/decks/eWDmpSXmLkG7DEwlF_UAkQ,https://www.moxfield.com/decks/f6vMte6HiEytvUkuZUI9mg,https://www.moxfield.com/decks/-oetq77o0E-ylnraIqSnCg,https://www.moxfield.com/decks/sAtq82NXEU2lmk33rQmVXw
Wins,3,4,1,4,5,1,6,4
Losses,4,3,6,3,2,6,1,3
1,Black Lotus,Ancestral Recall,Mox Emerald,mana crypt,Time Walk,Mox Pearl,Mox Sapphire,sol ring
2,Mox Jet,Mana Vault,Collector Ouphe,fastbond,"Oko, Thief of Crowns",Tinker,Demonic Tutor,mox ruby
3,Ancient Tomb,Grim Monolith,Thoughtseize,Strip Mine,Force of Will,"Teferi, Time Raveler",Vampiric Tutor,Wrenn and six
4,Library of Alexandria,Mishra's Workshop,"Yawgmoth, Thran Physician","Karn, the great Creator",Hexdrinker,Stoneforge Mystic,Dark Ritual,urza's saga
5,City of Traitors,"Narset, Parter of Veils",Sylvan Library,thought-knot seer,Force of Negation,Sensei's Divining Top,Yawgmoth's Will,time vault
6,Chrome Mox,Timetwister,Deathrite Shaman,"Ragavan, Nimble Pilferer",Brazen Borrower,Enlightened Tutor,Lion's Eye Diamond,mox diamond
7,Wheel of Fortune,Mystical Tutor,Green Sun's Zenith,"Minsc & Boo, Timeless heroes",Misty Rainforest,Prismatic Vista,Underworld Breach,wooded foothills
8,"Emrakul, the Aeons Torn",Hullbreacher,Once Upon a Time,Taiga,Polluted Delta,"Thalia, Heretic Cathar",Brain Freeze,"laelia, the blade reforged"
9,Channel,Tundra,Dark Confidant,"Comet, Stellar Pup",Underground Sea,Esper Sentinel,Brainstorm,Caves of chaos adventurer
10,Sneak Attack,Triumph of Saint Katherine,Verdant Catacombs,Bloodstained Mire,Tropical Island,Skullclamp,Ponder,Undermountain Adventurer
11,Through the Breach,Preordain,Inquisition of Kozilek,Lightning Bolt,Ledger Shredder,Isochron Scepter,Thassa's Oracle,Seasoned Dungeoneer
12,Worldly Tutor,Tolarian Academy,Assassin's Trophy,"Nissa, Who Shakes The World",Abrupt Decay,Monastery Mentor,Lotus Petal,White Plume Adventurer
13,Natural Order,Hallowed Fountain,Gaea's Cradle,Birds of Paradise,Noble Hierarch,Skrelv's Hive,Imperial Seal,Arid Mesa
14,Simian Spirit Guide,Snapcaster Mage,Veil of Summer,Ignoble Hierarch,Bitterblossom,Serum Snare,Tendrils of Agony,Goblin Rabblemaster
