,Kyle Vance,Naveen Balaji,Elaine Cao,John Ryan Hamilton,Brandon Curry,Robert Shelli,Daniel Zielinski,Vincent Brown
Date,2020-02-01,,,,,,,
Wins,4,5,6,6,2,1,4,0
Losses,3,2,1,1,5,6,3,7
1,Black Lotus,Time Vault,Ancestral Recall,Mana Crypt,Mox Sapphire,Mox Emerald,Mox Jet,Mox Ruby
2,Thespian's Stage,Mana Drain,"Narset, Parter of Veils",Tinker,Strip Mine,Sol Ring,Time Walk,Mox Pearl
3,Dark Depths,Mana Vault,Force of Will,Aether Searcher,Mox diamond,Wasteland,"Jace, the Mind Sculptor",Lotus Petal
4,"Karn, The Great Creator",Arcane Savant,Thoughtseize,"Emrakul, the Aeons Torn",Mystical Tutor,Mental Misstep,Ponder,Chrome Mox
5,Channel,Counterspell,Dark Confidant,Sneak Attack,Fastbond,Prismatic Vista,Vampiric Tutor,Demonic Tutor
6,Ancient Tomb,Grim Monolith,Duress,Transmute Artifact,"Oko, Thief of Crowns",Thorn of Amethyst,Force of Negation,Griselbrand
7,Sylvan Library,Mox Opal,Snapcaster Mage,Dack Fayden,Sensei's divining top,Phyrexian Revoker,Spell Pierce,Tendrils of Agony
8,"Rofellos, Llanowar Emissary","Urza, Lord High Artificer",Mystical Dispute,Preordain,Brainstorm,Living Wish,Mana Leak,Blightsteel Colossus
9,Veil of Summer,Tezzeret the Seeker,Energy Flux,Show and Tell,Misty Rainforest,Worldly Tutor,Muddle the Mixture,Inquisition of Kozilek
10,Force of Vigor,Painter's Servant,"Thada Adel, Acquisitor","Teferi, Time Raveler","Nissa, Who Shakes the World",Eladamri's Call,Ancestral Vision,Unmask
11,Joraga Treespeaker,Volcanic Island,Shadow of Doubt,Scalding Tarn,Tolarian Academy,Recruiter of the Guard,Flooded Strand,Badlands
12,Birds of Paradise,Spirebluff Canal,Angrath's Rampage,Seat of the Synod,Mishra's Workshop,"Thalia, Guardian of Thraben",Steam Vents,Graven Cairns
13,Gaea's Cradle,True-Name Nemesis,Polluted Delta,Tundra,Windswept Heath,Karakas,Arid Mesa,"Ashiok, Dream Render"
14,Primeval Titan,Isochron scepter,Bloodstained Mire,Balance,"Emry, lurker of the Loch",Skullclamp,Hallowed Fountain,"Liliana, The Last Hope"
15,Burgeoning,Winter Orb,Dreadbore,Swords to Plowshares,Crucible of Worlds,Once Upon a Time,Path To Exile,Sinkhole
16,Ramunap Excavator,Thirst for Knowledge,Yawgmoth's WIll,Personal Tutor,Tropical Island,Ethersworn Canonist,Council's Judgment,Liliana of the Veil
17,Tireless Tracker,Impulse,"Jace, Vryn's Prodigy // Jace, Telepath Unbound",Daze,Gush,Containment Priest,Soulfire Grand Master,Gitaxian Probe
18,Collector Ouphe,Frantic Search,Deathmark,Plateau,Wooded Foothills,"Kataki, War's Wage",Remand,Faithless Looting
19,Exploration,Phantasmal Image,Thought Erasure,Marsh Flats,Wrenn and Six,Spirit of the Labyrinth,Sulfur Falls,Cathartic Reunion
20,Choke,Dismember,"Kess, Dissident Mage",Opt,Crop Rotation,Eidolon of Rhetoric,Glacial Fortress,Underworld Breach
21,Dryad of the Ilysian Grove,Compulsive Research,Darkslick Shores,Flame Slash,Courser of Kruphix,Samurai of the Pale Curtain,Mystic Confluence,"Kroxa, Titan of Death's Hunger"
22,Bayou,Whir of Invention,Red Elemental Blast,Great Furnace,Timetwister,Manglehorn,Cryptic Command,Lion's Eye Diamond
23,Savannah,Power Artifact,By Force,Pyroblast,Wheel of Fortune,Aven Mindcensor,Cascade Bluffs,Rakdos's Return
24,Knight of the Reliquary,Grindstone,Aether Gust,Dig Through Time,"Saheeli, Sublime Artificer",Deafening Silence,Fact or Fiction,Mind Twist
25,Verdant Catacombs,Reshape,Underground Sea,Lightning Bolt,Maze of Ith,Peacekeeper,Treasure Cruise,Dark Petition
26,Elvish Reclaimer,"Karn, Scion of Urza","Davriel, Rogue Shadowmage",Talisman of Creativity,Glacial Chasm,Null Rod,Abrade,Diabolic Intent
27,Vampire Hexmage,Mirage Mirror,Hymn to Tourach,Izzet Signet,Chromatic Lantern,Damping Sphere,Splinter Twin,Indomitable Creativity
28,Liquimetal Coating,Trinisphere,Miscalculation,Flusterstorm,Tangle Wire,Imposing Sovereign,Deceiver Exarch,Kolaghan's Command
29,Mycosynth Lattice,Lodestone Golem,Hurkyl's Recall,Pyroclasm,Paradoxical OUtcome,Hushwing Gryff,Pestermite,Blightning
30,Bojuka Bog,Back to Basics,Rakdos Charm,Unsubstantiate,Time Spiral,"Linvala, Keeper of Silence","Kiki-Jiki, Mirror Breaker",Lightning Skelemental
31,City of Traitors,Bribery,Divest,Izzet Charm,Walking Ballista,Leonin Relic-Warder,Treachery,Cabal Ritual
32,Life from the Loam,Tribute Mage,Crumbling Necropolis,Azorius Signet,Scroll Rack,Dryad Militant,Imperial Recruiter,Dark Ritual
33,Ensnaring Bridge,Delay,Pack Rat,Chain of Vapor,Wurmcoil Engine,Pithing Needle,Dovin's Veto,Pyretic Ritual
34,Defense Grid,Manifold Key,Force of Despair,Divert,Leyline of The Void,Enlightened Tutor,Disallow,Desperate Ritual
35,Song of the Dryads,Dramatic Reversal,Blood Crypt,Through The Breach,Helm of Obedience,Stasis Snare,Negate,Empty the Warrens
36,Green Sun's Zenith,Static Orb,Sunken Ruins,Drawn from Dreams,Batterskull,Suppression Field,"Venser, Shaper Savant","Purphoros, God of the Forge"
37,Genesis Wave,Invoke Prejudice,Drown in the Loch,Inkwell Leviathan,Taiga,"Tomik, Distinguished Advokist",Zealous Conscripts,Memnite
38,Dryad Arbor,Inventors' Fair,Countersquall,Cyclonic Rift,Capsize,Aura of Silence,Glen Elendra Archmage,Ornithopter
