,Corbett Gray,Randy Buehler,Jesse Hampton,Mike Thompson,Chris Kelly,James Nguyen,Marshall Sutcliffe,Jesse Wilke
Wins,7,4,2,1,4,4,2,4
Losses,0,3,5,6,3,3,5,3
Date,2014-08-23,,,,,,,
1,Black Lotus,Ancestral Recall,Time vault,Mox Jet,Mox emerald,Mox Sapphire,Mox Ruby,mox pearl
2,Library of alexandria,Tinker,Vampiric tutor,Demonic Tutor,Fastbond,Time Walk,Strip Mine,mana crypt
3,Force of will,Sol Ring,Imperial seal,Thoughtseize,Wasteland,Brainstorm,Snapcaster Mage,Mana Vault
4,mana drain,Mystical Tutor,Yawgmoth's will,Duress,Ponder,Dark Confidant,Spell Pierce,Voltaic Key
5,"jace, the mind sculptor",Tolarian Academy,Entomb,Mind Twist,Preordain,Mental Misstep,Daze,Stoneforge Mystic
6,True-Name Nemesis,Mox Diamond,Frantic search,Dark Depths,Misty rainforest,Spell Snare,Vendilion Clique,Mox Opal
7,Ancestral vision,Lotus Petal,Dark ritual,Grim Tutor,Scalding Tarn,Counterspell,Inquisition of Kozilek,Chromatic Star
8,Mana leak,Ancient Tomb,Enlightened tutor,Grindstone,Flooded Strand,Gush,Bitterblossom,Chromatic Sphere
9,Serum Visions,Timetwister,City of traitors,Mesmeric Fiend,Force spike,Polluted Delta,Liliana of the Veil,Skullclamp
10,Miscalculation,Cranial Plating,Lion's eye diamond,Sinkhole,Prohibit,Remand,Hymn to Tourach,Seat of the Synod
11,Cryptic Command,Arcbound Ravager,Necropotence,Vampire Hexmage,"Thada Adel, Acquisitor",Spellstutter Sprite,Underground Sea,Etched Champion
12,Phantasmal Image,Tropical Island,Sensei's divining top,Painter's Servant,Vedalken Shackles,Negate,Verdant Catacombs,Master of Etherium
13,Bloodstained Mire,Noble Hierarch,Shelldock isle,Reanimate,Breeding Pool,Gitaxian Probe,Brain Maggot,Ancient Den
14,Arid Mesa,Wooded Foothills,Griselbrand,Windswept Heath,Memory Lapse,Watery Grave,Delver of Secrets // Insectile Aberration,Batterskull
15,Volcanic Island,Tree of Tales,Animate dead,Bayou,Jace Beleren,Marsh Flats,Umezawa's Jitte,Mishra's Workshop
16,Steam vents,Inkmoth Nexus,Chrome mox,Regrowth,Channel,Abrupt Decay,Pack Rat,Trinket Mage
17,Dack Fayden,Glistener Elf,Gemstone mine,Overgrown Tomb,"Emrakul, the Aeons Torn",Misdirection,Darkslick Shores,Phyrexian Revoker
18,Steel sabotage,Blighted Agent,Mana confluence,Crop Rotation,Show and Tell,Twilight Mire,Sleight of Hand,Porcelain Legionnaire
19,Young pyromancer,Bonesplitter,City of brass,Tainted Wood,Green sun's zenith,Portent,Underground River,Lodestone Golem
20,Dismember,Memory Jar,Wheel of fortune,Temple of Malady,Eternal Witness,Creeping Tar Pit,Shadowmage Infiltrator,"Tezzeret, Agent of Bolas"
21,"Venser, shaper savant",Blightsteel Colossus,Careful study,Worldly Tutor,Tundra,Dimir Charm,Sword of Fire and Ice,Vault of Whispers
22,Lightning Bolt,Berserk,Compulsive research,Deathrite Shaman,Path to Exile,Sylvan Library,Hypnotic Specter,Swords to Plowshares
23,Izzet Charm,Yavimaya Coast,"Urborg, tomb of yawgmoth",Chalice of the Void,Crucible of worlds,Birds of Paradise,Rishadan Port,Great Furnace
24,Mishra's Factory,Spellskite,Necromancy,Unmask,Llanowar elves,Dimir Cutpurse,Mutavault,Memnite
25,Faerie conclave,Invigorate,Lake of the dead,Thespian's Stage,Scavenging Ooze,Deprive,"Sygg, River Cutthroat",Hurkyl's Recall
26,Relic of Progenitus,Pendelhaven,"Iona, shield of emeria",Phyrexian Obliterator,Reclamation Sage,Baleful Strix,Countersquall,Energy Flux
27,Null rod,Aether Spellbomb,Bazaar of baghdad,Defense Grid,Tarmogoyf,Maelstrom Pulse,Chain of Vapor,"Kataki, War's Wage"
28,pyroblast,Nature's Claim,Forbidden orchard,Diabolic Edict,"Thrun, the Last troll",Flusterstorm,Standstill,Grafdigger's Cage
29,red elemental blast,Vines of Vastwood,Oath of druids,Night's Whisper,Fyndhorn Elves,Elves of Deep Shadow,Man-o'-War,Vault Skirge
30,Fact or Fiction,Hinterland Harbor,Ral zarek,Sign in Blood,Progenitus,Disfigure,Chainer's Edict,Frogmite
31,Cunning Wish,Plague Myr,Stifle,Llanowar Wastes,Cyclonic Rift,Viridian Shaman,Drowned Catacomb,wear // tear
32,Bribery,Pact of Negation,Karakas,Coffin Purge,Trygon Predator,Uktabi Orangutan,Innocent Blood,Signal Pest
33,Muddle the Mixture,Dispel,Brain Freeze,Naturalize,Gainsay,Sunken Ruins,Gravecrawler,Myr Enforcer
34,Nightveil Specter,Might of Old Krosa,Leyline of the void,Hero's Downfall,Oust,Natural Order,Carnophage,Steel Overseer
35,Temple of epiphany,Groundswell,Helm of obedience,Gatekeeper of Malakir,Disenchant,Woodland Cemetery,Sarcomancy,Etherium Sculptor
36,Sulfur Falls,Viridian Corrupter,Gemstone caverns,Desecration Demon,Lotus cobra,Putrefy,Diregraf Ghoul,"Erayo, Soratami Ascendant // Erayo's Essence"
37,Cascade Bluffs,City of Solitude,Darkwater egg,Phyrexian Negator,Hallowed Fountain,Nihil Spellbomb,Vampire Lacerator,glaze fiend
38,Volcanic Fallout,Mutagenic Growth,Swan song,Infest,"Garruk relentless // Garruk, the Veil-Cursed",Ulcerate,Gnarled Scarhide,immolating souleater
39,Firespout,Ichorclaw Myr,Grim monolith,Flesh Reaver,Dryad arbor,Ultimate Price,Doom Blade,Thoughtcast
40,Echoing truth,Personal Tutor,Counterbalance,Damnation,Balance,Drown in Sorrow,Vapor Snag,Glimmervoid
41,Counterflux,Seedtime,Temple of deceit,Beseech the Queen,Supreme Verdict,Krosan Grip,Rakdos Cackler,Pithing Needle
42,Sudden Shock,Necropede,"ashiok, nightmare weaver",Creeping Corrosion,Zuran Orb,Notion Thief,Tormented Hero,Slash Panther
43,Goblin Rabblemaster,Submerge,Infernal tutor,Tangle Wire,Consecrated Sphinx,Thought scour,Illusory Angel,Arcbound Worker
44,fire // ice,Lightning Greaves,Talisman of dominance,Phyrexian Metamorph,Sunlance,Thragtusk,Cabal Therapy,Hex Parasite
45,shattering pulse,Ranger's Guile,Galvanic Key,Arrogant Bloodlord,Blue Sun's Zenith,Threads of disloyalty,"Ulamog, the Infinite Gyre",Pyrite Spellbomb
