,Chris,Matt,Jonny,Mark,Taimur,Ivan,Ryan,Dan
Wins,,,,,,,,
Losses,,,,,,,,
Date,2024-01-01,,,,,,,
Notes,https://discord.com/channels/648329034211786752/670396300839223316/1207343275942477834,,,,,,,
1,Ancestral Recall,Black Lotus,Time Vault,Mana Crypt,Mox Sapphire,Mox Pearl,Time Walk,Sol Ring
2,"Jace, the Mind Sculptor",Force of Will,Tolarian Academy,Grim Monolith,Tinker,Mox Jet,Mox Emerald,Mox Ruby
3,"Narset, Parter of Veils",Force of Negation,Urza's Saga,Mox Diamond,Demonic Tutor,Strip Mine,Hullbreacher,Mana Vault
4,"Teferi, Time Raveler",Daze,Mana Drain,Fastbond,Underworld Breach,White Plume Adventurer,"Karn, the Great Creator","Ragavan, Nimble Pilferer"
5,Snapcaster Mage,Orcish Bowmasters,Ancient Tomb,"Minsc & Boo, Timeless Heroes",Thassa's Oracle,The One Ring,Mental Misstep,"Laelia, the Blade Reforged"
6,Ponder,Counterspell,Spell Pierce,Lotus Petal,Inquisition of Kozilek,Thoughtseize,"Oko, Thief of Crowns",Chrome Mox
7,Preordain,Dark Confidant,Mox Opal,Channel,Vampiric Tutor,Solitude,Misty Rainforest,Seasoned Dungeoneer
8,Swords to plowshares,Gitaxian Probe,Brainstorm,Basalt Monolith,Polluted Delta,Stoneforge mystic,Timetwister,Caves of Chaos Adventurer
9,Dig through time,Underground Sea,Candelabra of Tawnos,"Emrakul, the Aeons Torn",Sensei's Divining Top,Karakas,Scalding Tarn,Palace Jailer
10,Prismatic vista,Volcanic Island,"Urza, Lord High Artificer",Enlightened Tutor,Brain Freeze,"Thalia, guardian of thraben",Flooded Strand,Skyclave Apparition
11,Energy flux,Bloodstained Mire,Mishra's Bauble,Wooded Foothills,Lion's Eye Diamond,"Comet, stellar pup",Verdant Catacombs,Forth Eorlingas!
12,Tundra,Gush,"Emry, Lurker of the Loch",Windswept Heath,Marsh Flats,Plateau,Watery Grave,Arid Mesa
13,"Jace, vryn's prodigy",Mana Leak,Manifold Key,Crucible of Worlds,Badlands,Sacred foundry,"Lutri, the Spellchaser",Lightning Bolt
14,Vendilion Clique,Opt,Mishra's Workshop,Painter's Servant,Serum Visions,Esper sentinel,Brazen Borrower,Fable of the Mirror-Breaker
15,Mystical tutor,Treasure Cruise,Time Spiral,Wasteland,Duress,Elite spellbinder,Birds of Paradise,Pyroblast
16,Flusterstorm,Library of Alexandria,Mystic Confluence,Gemstone Caverns,Dark Ritual,Red elemental blast,Ignoble Hierarch,Archon of Emeria
17,Mindbreak Trap,Lurrus of the Dream-Den,Whir of Invention,Ramunap Excavator,Wheel of Fortune,Fury,Mystical Dispute,Inspiring Vantage
18,Cryptic Command,Ledger Shredder,Frantic Search,Karn Liberated,Mind Twist,Furycalm snarl,True-Name Nemesis,Sunbaked Canyon
19,"Thada Adel, Acquisitor",Remand,Miscalculation,Veil of Summer,Demonic Consultation,Battlefield forge,Delighted Halfling,Needleverge Pathway
20,"Dovin, hand of control",Spell Snare,Mox Amber,City of Traitors,Bolas's Citadel,March of otherworldly light,Subtlety,Rugged Prairie
21,Council's judgment,Consider,Mystic Forge,"Boseiju, Who Endures",Steam Vents,Abrade,Hexdrinker,"Otharri, Suns' Glory"
22,Hydroblast,Blue Elemental Blast,Paradox Engine,Oath of Druids,Swan Song,Loran of the third path,Tropical Island,Cathar Commando
23,Monastery Mentor,Dismember,Expedition Map,Taiga,Blood Crypt,Anointed peacekeeper,Pest Infestation,Wear // Tear
24,Stern scolding,Repeal,Talisman of Creativity,Inventors' Fair,Sleight of Hand,"Adeline, resplendent cathar",Spellseeker,Leonin Relic-Warder
25,Lose Focus,Darkslick Shores,Pithing Needle,Force of Vigor,Sunken Ruins,"Inti, seneschal of the sun",Endurance,Legion Warboss
26,Get Lost,Delver of Secrets,Academy Ruins,Balance,Drowned Catacomb,Aether vial,Displacer Kitten,Goblin Rabblemaster
27,Stony Silence,Hurkyl's Recall,Talisman of Progress,Savannah,Void Snare,Eidolon of the great revel,Noble Hierarch,Delayed Blast Fireball
28,Miscast,Disrupting Shoal,Transmute Artifact,Forbidden Orchard,Pact of Negation,Samwise the stouthearted,Urza's Bauble,Bonecrusher Giant
29,"Gideon, ally of zendikar",Fatal Push,Tezzeret the Seeker,Primeval Titan,Hymn to Tourach,Ricochet trap,Malevolent Hermit,Spirit of the Labyrinth
30,Divert,Dauthi Voidwalker,Lotus Field,Zuran Orb,Talisman of Dominance,Flickerwisp,Arcane Laboratory,Chain Lightning
31,Dispel,Underground River,Phyrexian Revoker,Gamble,Chain of Vapor,Ephemerate,Bayou,Talisman of Conviction
32,Supreme verdict,Steel Sabotage,"Otawara, Soaring City",Gemstone Mine,City of Brass,By force,Breeding Pool,Mana Confluence
33,Misdirection,Baleful Strix,Filter Out,"Zirda, the Dawnwaker",Seat of the Synod,Sanctum prelate,Overgrown Tomb,Cavern of Souls
34,Hallowed fountain,Nihil Spellbomb,Soul-Guide Lantern,Grindstone,Thirst for Knowledge,Oliphaunt,Toxic Deluge,Restless Bivouac
35,Glacial fortress,Bitter Triumph,Muddle the Mixture,Cut // Ribbons,River of Tears,Kaldra compleat,Eternal Witness,Rampaging Raptor
36,Farewell,Chill,Walking Ballista,Buried Ruin,Peek,Magus of the moon,Green Sun's Zenith,"Magda, Brazen Outlaw"
37,Wrath of god,Clearwater Pathway,Deserted Temple,Finale of Devastation,Yawgmoth's Will,Umezawa's Jitte,"Leovold, Emissary of Trest",Shatterskull Smashing
38,Dovin's veto,Flash Flood,Phyrexian Metamorph,Bala Ged Recovery // Bala Ged Sanctuary,Imperial Seal,Thorn of amethyst,Abrupt Decay,Fragmentize
39,"Ashiok, Dream render",Hibernation,Trinisphere,Drannith Magistrate,Tendrils of Agony,Ingot chewer,Reclamation Sage,Den of the Bugbear
40,Sevinne's Reclamation,Negate,Lodestone Golem,Omen Machine,Cabal Ritual,Skullclamp,Assassin's Trophy,"Sokenzan, Crucible of Defiance"
41,Disenchant,Eliminate,Ensnaring Bridge,"Yavimaya, Cradle of Growth",Defense Grid,Clifftop retreat,Mystic Remora,Blood Moon
42,Fateful absence,Snap,"Sai, Master Thopterist",Horizon Canopy,Thought Scour,Lion sash,"Grist, the Hunger Tide",Simian Spirit Guide
43,Humility,Doom Blade,Thought Monitor,Devil's Play,Doomsday,Ruination,Oath of Nissa,Broadside Bombardiers
44,Moat,Drown in the Loch,Aether Spellbomb,"Iona, Shield of Emeria",Memory Jar,Unholy heat,Teferi's Puzzle Box,Bloodboil Sorcerer
