,Jim Rae,Mason Lange,Christ Kallas,Ryan Adams,Jacob Key,Josh Richter,Jago,Dillion Draper
Date,2016-07-08,,,,,,,
Notes,Sent from Mason via email,,,,,,,
1,Ancestral Recall,Black Lotus,Sol Ring,Mox Jet,Mox Sapphire,Mox Emerald,Time Vault,Mox Pearl
2,Mana Drain,Thoughtseize,Timetwister,Demonic Tutor,Time Walk,Mox Ruby,Mana Crypt,Tinker
3,Mental Misstep,Inquisition of Kozilek,Wheel of Fortune,Mind Twist,Dack Fayden,Strip Mine,Voltaic Key,Balance
4,Force of Will,Lightning Bolt,Mana Vault,Duress,Vampiric Tutor,Wasteland,Grim Monolith,"Thalia, Guardian of Thraben"
5,"Jace, the Mind Sculptor",Deathrite Shaman,Chrome Mox,Dark Confidant,Volcanic Island,Sneak Attack,Grim Tutor,Enlightened Tutor
6,Spell Pierce,Wooded Foothills,Basalt Monolith,Liliana of the Veil,Underground Sea,Channel,Fabricate,Wrath of God
7,Mystical Tutor,Verdant Catacombs,Power Artifact,Survival of the Fittest,Counterspell,Taiga,Entomb,Azorius Signet
8,Snapcaster Mage,Stomping ground,Tolarian Academy,Natural Order,True-Name Nemesis,Ancient Tomb,Yawgmoth's Will,Tundra
9,Vendilion Clique,Bloodstained Mire,Memory Jar,Dark Depths,"Venser, Shaper Savant",Crucible of worlds,Dark Ritual,Stoneforge Mystic
10,Brainstorm,Badlands,Mox Opal,Vampire Hexmage,Chain Lightning,Faithless Looting,Reanimate,Ethersworn Canonist
11,Merchant Scroll,Polluted Delta,Lion's Eye Diamond,Bayou,Scalding Tarn,Mox Diamond,Exhume,Blightsteel Colossus
12,Null Rod,Overgrown Tomb,Lotus Petal,Marsh Flats,Flooded Strand,Hurkyl's Recall,Griselbrand,Swords to Plowshares
13,"Thada Adel, Acquisitor",Blood Crypt,Time Spiral,Abrupt Decay,Misty Rainforest,Eureka,Watery Grave,Path to Exile
14,Preordain,Windswept Heath,Frantic Search,Phyrexian revoker,Young Pyromancer,Arid Mesa,Careful Study,Batterskull
