,Nate,Hoey,Leigh,Cam,DJ,Tay,Morse,Ben
Date,2015-01-01,,,,,,,
1,Black Lotus,Ancestral Recall,Sol Ring,Mox Sapphire,Mox Jet,Mana Crypt,Mox Emerald,Time Vault
2,Mana Vault,Force of Will,Library of Alexandria,Time WalK,Entomb,Mox Ruby,Mox Pearl,Voltaic Key
3,Mox Diamond,Mental Misstep,Umezawa's Jitte,Snapcaster Mage,Reanimate,Wheel of Fortune,Strip Mine,Vampiric Tutor
4,Tolarian Academy,Ponder,Mishra's Workshop,Mana Drain,Show and Tell,Grafdigger's Cage,Wasteland,Chrome Mox
5,Yawgmoth's Will,Spell Pierce,Skullclamp,Preordain,Demonic Tutor,Red Elemental Blast,Stony Silence,Tinker
6,Duress,Spell Snare,Mind Twist,Vendilion Clique,Brainstorm,Null Rod,Fastbond,Serum Visions
7,Thoughtseize,Daze,Grim Monolith,True-Name Nemesis,Griselbrand,Painter's Servant,Exploration,Inquisition of Kozilek
8,Dark Ritual,Gush,Stoneforge Mystic,Scalding Tarn,Underground Sea,Volcanic Island,Wooded Foothills,Mox Opal
9,Lotus Petal,Treasure Cruise,Wurmcoil Engine,"Jace, the Mind Sculptor",Dig through Time,Pyroblast,Crucible of Worlds,Trinket Mage
10,Timetwister,Misty Rainforest,"Thalia, Guardian of Thraben",Counterspell,Bazaar of Baghdad,Steam Vents,Arid Mesa,Polluted Delta
11,Ancient Tomb,Tropical Island,Swords to Plowshares,Remand,Grindstone,Splinter Twin,Crop Rotation,Sensei's divining top
12,Thoughtcast,Breeding Pool,Batterskull,Delver of Secrets // Insectile Aberration,Gitaxian Probe,Pestermite,Tarmogoyf,City of Traitors
13,Windfall,Force Spike,Lodestone Golem,Condescend,Animate Dead,Goblin Guide,Zuran Orb,Miscalculation
14,Chalice of the Void,Flooded Strand,Spellskite,Flusterstorm,Frantic Search,Goblin Rabblemaster,Noxious Revival,Hurkyl's recall
15,Tormod's Crypt,Sylvan Library,Leonin Arbiter,Annul,Careful Study,Young Pyromancer,Balance,Dispel
16,Enlightened Tutor,Monastery Mentor,Path to Exile,Mana Leak,Watery Grave,Magus of the Moon,Containment Priest,Relic of Progenitus
17,Mystical Tutor,Tundra,Armageddon,Ancestral Vision,Necromancy,Avalanche riders,Nature's Claim,Cabal Therapy
18,Vault of Whispers,Dismember,Dark Confidant,Repeal,Dance of the Dead,Eidolon of the Great Revel,Solitary Confinement,Seat of the Synod
19,Ancient Den,Windswept Heath,Volrath's Stronghold,"Thassa, God of the Sea","Urborg, Tomb of Yawgmoth",Monastery Swiftspear,Life from the Loam,Darkslick Shores
20,Lion's Eye Diamond,Geist of Saint Traft,Marsh Flats,"Venser, Shaper Savant",Slaughter Pact,Firedrinker Satyr,Reclamation Sage,Transmute artifact
21,Mana Confluence,Vapor Snag,Liliana of the Veil,Steel Sabotage,Defense Grid,Lightning Bolt,Karakas,Basalt Monolith
22,Chromatic Sphere,Disrupting Shoal,Scrubland,Blue Elemental Blast,Pithing Needle,Chain Lightning,Savannah,Engineered Explosives
23,Chromatic Star,Sleight of Hand,Hymn to Tourach,"Tamiyo, the Moon Sage",Thought Scour,Smash to Smithereens,Taiga,"Tezzeret, Agent of Bolas"
