,A.M.,C.A.,Z.C.,S.J.,R.P.,Hyphen-ated,S.M.,S.F.
Date,2018-06-22,,,,,,,
Wins,3,2,4,2,3,6,2,2
Losses,4,4,2,4,1,0,5,4
1,Sol Ring,Black Lotus,Ancestral Recall,Mox Ruby,Mox Sapphire,Mana Crypt,Mox Jet,Mana Drain
2,Ponder,Time Vault,Mox Emerald,Mox Pearl,"Jace, the Mind Sculptor",Tinker,Library of Alexandria,Time Walk
3,Preordain,Voltaic Key,Brainstorm,Strip Mine,True-Name Nemesis,Mana Vault,Demonic Tutor,Isochron Scepter
4,Sensei's Divining Top,Impulse,"Leovold, Emissary of Trest",Vampiric Tutor,Stoneforge Mystic,Mox Diamond,Snapcaster Mage,Counterspell
5,Counterbalance,Channel,Underground Sea,Thoughtseize,Force of Will,Mystical Tutor,Ancient Tomb,Mana Leak
6,Vampire Hexmage,"Emrakul, the Aeons Torn",Polluted Delta,Inquisition of Kozilek,Tundra,Painter's Servant,Leyline of the Void,Remand
7,Dark Depths,Grim tutor,Hymn to Tourach,Helm of Obedience,Scrubland,Timetwister,Duress,Volcanic Island
8,Flusterstorm,Imperial Seal,Spell Pierce,Rest in Peace,Sword of Fire and Ice,Wheel of Fortune,Glimpse the Unthinkable,Monastery Mentor
9,Misty Rainforest,Show and Tell,Mental Misstep,Marsh Flats,Lingering Souls,Scalding Tarn,Toxic Deluge,Miscalculation
10,Verdant Catacombs,Yawgmoth's Will,Tropical Island,Bloodstained Mire,Celestial Colonnade,Memory Lapse,Mind Twist,Flooded Strand
11,Crop Rotation,Entomb,Bayou,Godless Shrine,Vendilion Clique,Steam Vents,Watery Grave,Boomerang
12,Deathrite Shaman,Reanimate,Breeding Pool,Dark Confidant,Arid Mesa,Wooded Foothills,Damnation,Hallowed Fountain
13,"Ashiok, Nightmare Weaver","Ulamog, the Ceaseless Hunger",Dig Through Time,Liliana of the Veil,"Search for Azcanta // Azcanta, the Sunken Ruin",Chrome Mox,Creeping Tar Pit,Dack Fayden
14,Sanctum Prelate,Lotus Petal,Overgrown Tomb,Unmask,"Elspeth, Knight-Errant",Pyroblast,Archive Trap,Lightning Bolt
15,Meddling Mage,Dark Ritual,Living Death,Enlightened Tutor,Skullclamp,Sneak Attack,Stifle,"Teferi, Hero of Dominaria"
16,Windswept Heath,Frantic Search,Windfall,"Thalia, Guardian of Thraben",Bitterblossom,Grindstone,Swan Song,Burst Lightning
17,Savannah,Cruel Tutor,Innocent Blood,Aven Mindcensor,Gitaxian Probe,Negate,Ravenous Trap,Capsize
