,everbrink,sti1983,tulse,trashboat6824,sphagan,_mr.bishop,yogapantz,rils2
Date,2024-02-15,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1Dv9HC4Phq9RrBYIzdonEdId7N4sBsGUHhNFeD6zb_KU/edit#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Ancestral Recall,Black Lotus,Mox Ruby,Mana Crypt,Time Walk,Mox Sapphire,Mox Jet,Sol Ring
2,Hullbreacher,Urza's Saga,Time Vault,Thoughtseize,White Plume Adventurer,Force of Will,Mox Emerald,Mox Pearl
3,Force of Negation,The One Ring,Tinker,Demonic Tutor,Mox Diamond,"Oko, Thief of Crowns",Mana Vault,"Karn, the Great Creator"
4,Orcish Bowmasters,Mana Drain,Spell Pierce,Snapcaster Mage,Ancient Tomb,"Teferi, Time Raveler",Vampiric Tutor,"Ragavan, Nimble Pilferer"
5,Polluted Delta,Chrome Mox,Scalding Tarn,Mind Twist,Flooded Strand,Misty Rainforest,Verdant Catacombs,Strip Mine
6,Underground Sea,Mental Misstep,"Narset, Parter of Veils",Inquisition of Kozilek,Arid Mesa,Prismatic Vista,Windswept Heath,Grim Monolith
7,Duress,Tolarian Academy,Lightning Bolt,Watery Grave,Tundra,Hallowed Fountain,Dark Ritual,Swords to Plowshares
8,Vendilion Clique,Library of Alexandria,Wooded Foothills,Bloodstained Mire,Brazen Borrower,Stoneforge Mystic,Reanimate,"Comet, Stellar Pup"
9,Tishana's Tidebinder,Gitaxian Probe,Ponder,"Sheoldred, the Apocalypse",Forth Eorlingas!,Preordain,Imperial Seal,Pyroblast
10,Mystical Dispute,Karakas,Mox Opal,Tasha's Hideous Laughter,Solitude,"Minsc & Boo, Timeless Heroes",Lotus Petal,Red Elemental Blast
11,Marsh Flats,Balance,Volcanic Island,Hymn to Tourach,Seasoned Dungeoneer,Birds of Paradise,Fable of the Mirror-Breaker,"Lutri, the Spellchaser"
12,Wasteland,Mishra's Bauble,Mystical Tutor,Bayou,Steam Vents,Tropical Island,Grief,Fury
13,"Otawara, Soaring City",Urza's Bauble,Dack Fayden,Shelldock Isle,Caves of Chaos Adventurer,Esper Sentinel,Entomb,"Laelia, the Blade Reforged"
14,Bitter Triumph,Painter's Servant,Lion's Eye Diamond,Counterspell,Sensei's Divining Top,Savannah,Taiga,"Thalia, Guardian of Thraben"
15,Subtlety,"Emry, Lurker of the Loch",Underworld Breach,Fastbond,Bonecrusher Giant,"Boseiju, Who Endures",Veil of Summer,Walking Ballista
16,Bitterblossom,City of Traitors,Tezzeret the Seeker,Timetwister,Phyrexian Metamorph,Noble Hierarch,"Atraxa, Grand Unifier",Plateau
17,Faerie Mastermind,Mishra's Workshop,Wheel of Fortune,Sylvan Library,Prismatic Ending,"Jace, the Mind Sculptor",Unmask,Loran of the Third Path
18,Null Rod,"Jace, Vryn's Prodigy",Daze,Hexdrinker,Skyclave Apparition,Mana Confluence,Animate Dead,Sacred Foundry
19,Energy Flux,Once Upon a Time,Brainstorm,Collector Ouphe,Palace Jailer,Stony Silence,Dismember,Mother of Runes
20,Arcane Denial,Blue Elemental Blast,Mana Leak,Hydroblast,March of Otherworldly Light,Path to Exile,Overgrown Tomb,Chalice of the Void
21,Consider,Serum Visions,Unholy Heat,Sunken Ruins,Raugrin Triome,Remand,Badlands,"Zirda, the Dawnwaker"
22,Baleful Mastery,Tangle Wire,Blightsteel Colossus,Assassin's Trophy,Archon of Emeria,Spara's Headquarters,Griselbrand,Anointed Peacekeeper
23,Creeping Tar Pit,Lodestone Golem,Abrade,Abrupt Decay,Reprieve,Force of Vigor,Faithless Looting,Pithing Needle
24,Clearwater Pathway,Chromatic Star,An Offer You Can't Refuse,Thassa's Oracle,Phyrexian Revoker,Endurance,Choke,Basalt Monolith
25,Darkslick Shores,Chromatic Sphere,Manifold Key,City of Brass,Prismari Command,Lorien Revealed,Gemstone Caverns,Umezawa's Jitte
26,Miscast,Thoughtcast,Seat of the Synod,Time Spiral,Canoptek Scarab Swarm,Delighted Halfling,Molten Collapse,Inspiring Vantage
27,Flusterstorm,Thought Monitor,Goblin Engineer,Tear Asunder,Rugged Prairie,Kaldra Compleat,Ancient Grudge,Wear // Tear
28,Underground River,Seachrome Coast,True-Name Nemesis,Tainted Pact,Adarkar Wastes,Dovin's Veto,Toxic Deluge,Sorcerous Spyglass
29,Dress Down,Hengegate Pathway,Shivan Reef,"Leovold, Emissary of Trest",Meltdown,Questing Druid,Exhume,Simian Spirit Guide
30,"Malcolm, Alluring Scoundrel","Urza, Lord High Artificer",Thundering Falls,Zagoth Triome,Goblin Rabblemaster,No More Lies,Dread Fugue,Elite Spellbinder
31,Baleful Strix,Grindstone,Cast into the Fire,Demonic Consultation,Broadside Bombardiers,Stern Scolding,Feed the Swarm,Den of the Bugbear
32,Ertai Resurrected,Transmute Artifact,Soul-Guide Lantern,Ignoble Hierarch,Stifle,Ledger Shredder,Witherbloom Command,Cave of the Frost Dragon
33,Drown in the Loch,Portable Hole,By Force,Frantic Search,Nimble Obstructionist,Channel,Blood Crypt,Robber of the Rich
34,Steel Sabotage,Sea Gate Restoration,Portal to Phyrexia,Twilight Mire,Aven Mindcensor,"Emrakul, the Aeons Torn",Mindbreak Trap,Containment Priest
35,Spellstutter Sprite,Kappa Cannoneer,Goblin Welder,Llanowar Wastes,Eldrazi Displacer,Rest in Peace,Collective Brutality,Leonin Arbiter
36,Force Spike,Tormod's Crypt,Fiery Islet,Nurturing Peatland,Touch the Spirit Realm,Enlightened Tutor,Blackcleave Cliffs,Mycosynth Lattice
37,Countersquall,Spire of Industry,Lithomantic Barrage,Undermountain Adventurer,"Otharri, Suns' Glory","Teferi, Hero of Dominaria",Scrubland,"Anim Pakal, Thousandth Moon"
38,Flash Flood,Metallic Rebuke,Pyrite Spellbomb,Botanical Sanctum,Battlefield Forge,Breeding Pool,Opposition Agent,Gideon of the Trials
39,Noxious Grasp,Patchwork Automaton,Active Volcano,Underground Mortuary,Fractured Identity,Razorverge Thicket,Bazaar of Baghdad,Chain Lightning
40,Specter's Shriek,Auriok Salvagers,Spellskite,Surgical Extraction,"Kataki, War's Wage",Stomping Ground,Archon of Cruelty,Relic of Progenitus
41,Notion Thief,Aether Spellbomb,Lose Focus,Nature's Claim,Cursed Mirror,"Uro, Titan of Nature's Wrath","Iona, Shield of Emeria",Dauntless Dismantler
42,Restless Reef,Palantir of Orthanc,Divert,Murderous Rider,Jwari Disruption,Memory Lapse,Necromancy,Blood Moon
43,Drowned Catacomb,Tendo Ice Bridge,Phyrexian Dragon Engine,Long Goodbye,Back to Basics,Pest Infestation,Cathartic Pyre,Needleverge Pathway
44,"Obyra, Dreaming Duelist",Argentum Masticore,Great Furnace,Waterlogged Grove,Reckless Stormseeker,Supreme Verdict,Sire of Insanity,Hellrider
45,Cling to Dust,Defense Grid,Brain Freeze,Damnation,"Venser, Shaper Savant",Ketria Triome,Chain of Smog,Sunbaked Canyon
46,Psionic Blast,Trinisphere,Riverglide Pathway,Chain of Vapor,Agatha's Soul Cauldron,Mystic Reflection,Oath of Druids,Wurmcoil Engine
