,alex,hyphenated,trashboat6824,itsmejuri,thekniphoon,sphagan,bensonericb,sti1983
Date,2023-10-15,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/12JfG7FmkSUEMTGBtitEbt_MDFXzWxiJ9YJZEXLwRYyQ/edit#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Black Lotus,Ancestral Recall,Mana Crypt,Time Walk,Mox Sapphire,Mox Ruby,Mox Jet,Mox Emerald
2,Vampiric Tutor,Mox Diamond,White Plume Adventurer,Time Vault,Force of Will,"Ragavan, Nimble Pilferer",Sol Ring,Mox Pearl
3,Demonic Tutor,Chrome Mox,"Minsc & Boo, Timeless Heroes","Oko, Thief of Crowns",Urza's Saga,Fastbond,Ancient Tomb,Mana Vault
4,Thoughtseize,Mana Drain,Swords to Plowshares,Hullbreacher,Force of Negation,Strip Mine,The One Ring,Tinker
5,Polluted Delta,Spell Pierce,Solitude,Snapcaster Mage,Orcish Bowmasters,"Karn, the Great Creator",Grim Monolith,Tolarian Academy
6,Scalding Tarn,Ponder,Balance,Gitaxian Probe,Mental Misstep,Wrenn and Six,Enlightened Tutor,"Teferi, Time Raveler"
7,Underworld Breach,Preordain,Forth Eorlingas!,Misty Rainforest,Underground Sea,Wooded Foothills,Mishra's Workshop,Mox Opal
8,Watery Grave,Mystical Tutor,Arid Mesa,Flooded Strand,Brazen Borrower,Verdant Catacombs,Basalt Monolith,Lotus Petal
9,Thassa's Oracle,Prismatic Vista,Windswept Heath,"Narset, Parter of Veils",Bloodstained Mire,Marsh Flats,Mystic Forge,Library of Alexandria
10,Brainstorm,Lightning Bolt,Taiga,Timetwister,Skullclamp,Dark Ritual,Lion's Eye Diamond,Stoneforge Mystic
11,Brain Freeze,Dack Fayden,"Comet, Stellar Pup",Daze,Inquisition of Kozilek,Bayou,Sensei's Divining Top,Grindstone
12,Volcanic Island,Red Elemental Blast,Pyroblast,"Jace, Vryn's Prodigy",Dark Confidant,Badlands,"Urza, Lord High Artificer",Esper Sentinel
13,Blood Crypt,Shelldock Isle,Savannah,"Jace, the Mind Sculptor",Retrofitter Foundry,Wheel of Fortune,Krark-Clan Ironworks,"Emry, Lurker of the Loch"
14,Steam Vents,Expressive Iteration,Birds of Paradise,"Lutri, the Spellchaser",Vendilion Clique,Stomping Ground,Walking Ballista,Mishra's Bauble
15,Duress,Urza's Bauble,Questing Druid,Ignoble Hierarch,Mystical Dispute,Sylvan Library,Tundra,Lodestone Golem
16,Imperial Seal,Fury,Veil of Summer,Noble Hierarch,Ledger Shredder,Crucible of Worlds,"Karn, Scion of Urza",City of Traitors
17,Demonic Consultation,Chain Lightning,Pest Infestation,Hexdrinker,True-Name Nemesis,Channel,"Otawara, Soaring City",Tangle Wire
18,Entomb,"Laelia, the Blade Reforged",Fable of the Mirror-Breaker,Green Sun's Zenith,Counterspell,Overgrown Tomb,Aetherflux Reservoir,Portable Hole
19,Reanimate,Fiery Islet,Endurance,Dismember,Lorien Revealed,Tainted Pact,Auriok Salvagers,Chromatic Star
20,Darkslick Shores,Null Rod,Abrade,"Boseiju, Who Endures",Dig Through Time,Sneak Attack,Warping Wail,Chromatic Sphere
21,Underground River,Energy Flux,Collector Ouphe,Spellseeker,Clearwater Pathway,"Emrakul, the Aeons Torn",Tezzeret the Seeker,Painter's Servant
22,Spirebluff Canal,Hydroblast,Rest in Peace,Frantic Search,Creeping Tar Pit,"Ulamog, the Infinite Gyre",Transmute Artifact,Once Upon a Time
23,"Urborg, Tomb of Yawgmoth",Blue Elemental Blast,Delighted Halfling,Remand,River of Tears,Abrupt Decay,"Zirda, the Dawnwaker",Hallowed Fountain
24,Careful Study,Tormod's Crypt,Den of the Bugbear,Force of Vigor,Sunken Ruins,Toxic Deluge,Chain of Vapor,Adarkar Wastes
25,Faithless Looting,Thought Scour,March of Otherworldly Light,Eternal Witness,Steel Sabotage,Crop Rotation,Mystic Gate,Prismatic Ending
26,"Atraxa, Grand Unifier",Mana Confluence,Scavenging Ooze,Nature's Claim,Consider,Through the Breach,Fragmentize,Metallic Rebuke
27,City of Brass,Founding the Third Path,Karakas,Reclamation Sage,Aether Gust,Thespian's Stage,Talisman of Progress,Thought-Knot Seer
28,Griselbrand,Murktide Regent,Path to Exile,Regrowth,Drowned Catacomb,Dark Depths,Mind Stone,Yavimaya Coast
29,Animate Dead,Miscast,Seasoned Dungeoneer,Tropical Island,Flusterstorm,"Yavimaya, Cradle of Growth",Seat of the Synod,Soul-Guide Lantern
30,Gemstone Mine,Caves of Chaos Adventurer,Plateau,Breeding Pool,Baleful Strix,Gamble,Crystal Vein,Dress Down
31,Grief,Young Pyromancer,Temple Garden,Blooming Marsh,Vendetta,Valakut Exploration,Ancient Den,Thoughtcast
32,Blackcleave Cliffs,Sulfur Falls,Sacred Foundry,Scrubland,"Sheoldred, the Apocalypse",Mycosynth Lattice,Fabricate,Thought Monitor
33,Void Snare,Shivan Reef,Loran of the Third Path,Wasteland,Sheoldred's Edict,Ensnaring Bridge,Manifold Key,Sundering Titan
34,Mental Note,Lose Focus,Skyclave Apparition,Mana Leak,Cut Down,Courser of Kruphix,Voltaic Key,Umezawa's Jitte
35,Street Wraith,Dragon's Rage Channeler,Archon of Emeria,"Leovold, Emissary of Trest",Memory Lapse,Defense Grid,Thopter Foundry,Seachrome Coast
36,Unmask,Shattering Spree,Sunbaked Canyon,Zagoth Triome,Miscalculation,"Kozilek, Butcher of Truth",Sword of the Meek,Kaldra Compleat
37,Gemstone Caverns,Frostboil Snarl,Containment Priest,Dispel,Annul,Torpor Orb,Hangarback Walker,Spire of Industry
38,Swan Song,Riverglide Pathway,Horizon Canopy,Echo of Eons,Nihil Spellbomb,Tear Asunder,"Ugin, the Ineffable",Cavern of Souls
39,Raze the Effigy,Disrupt,Phyrexian Revoker,Rona's Vortex,Fatal Push,Tireless Tracker,Whir of Invention,Sea Gate Restoration
40,Exhume,Bedlam Reveler,Rip Apart,Botanical Sanctum,Hive of the Eye Tyrant,Ziatora's Proving Ground,Isochron Scepter,Ingenious Smith
41,Archon of Cruelty,Negate,Fateful Absence,Waterlogged Grove,Dreams of Steel and Oil,Meltdown,Dramatic Reversal,Hengegate Pathway
