,Tom,Bill,Garry,Andy,Georg,Cinderella,Haakon,Jonas
Wins,3,6,1,4,0,4,3,7
Losses,4,1,6,3,7,3,4,0
Date,2018-08-01,,,,,,,
1,Sol Ring,Ancestral Recall,Black Lotus,Mox Sapphire,Time Vault,Time Walk,Mox Ruby,Mox Jet
2,Tinker,"Jace, the Mind Sculptor",Demonic Tutor,Mana Drain,Mana Crypt,Library of Alexandria,Mox Emerald,Mox Pearl
3,Blightsteel Colossus,Snapcaster Mage,Tendrils of Agony,Balance,Mana vault,Dack Fayden,Sneak Attack,Vampiric Tutor
4,Skullclamp,Force of Will,Lotus Petal,Mystical Tutor,Timetwister,Grim monolith,Griselbrand,Strip Mine
5,Arcbound Ravager,Counterspell,Dark Ritual,Merchant Scroll,Painter's Servant,"Jace, Vryn's Prodigy // Jace, Telepath Unbound",Ancient Tomb,Thoughtseize
6,Mishra's Workshop,Ponder,Duress,Null Rod,Tolarian Academy,Treasure Cruise,Wasteland,Mental Misstep
7,Mox Opal,Swords to Plowshares,Yawgmoth's Will,"Emrakul, the Aeons Torn",Mox Diamond,Spell Pierce,Gitaxian Probe,Flooded Strand
8,"Karn, Scion of Urza",Preordain,Mind Twist,"Teferi, Hero of Dominaria",Negate,Remand,Woodfall Primus,Polluted Delta
9,Umezawa's Jitte,Monastery Mentor,Necropotence,Mystic Confluence,Fastbond,Scalding Tarn,Wooded Foothills,Marsh Flats
10,Thoughtcast,Stony Silence,Grim Tutor,Enlightened Tutor,Isochron Scepter,Volcanic Island,Through the Breach,Imperial Seal
11,Hangarback Walker,Flusterstorm,Hymn to Tourach,"Nahiri, The Harbinger",Hurkyl's Recall,Misty Rainforest,Bloodstained Mire,Containment Priest
12,Walking Ballista,Gush,Night's Whisper,Dig Through Time,City of Traitors,Mana Leak,Faithless Looting,Path to Exile
13,Master of Etherium,Energy Flux,Cabal Ritual,Fact or Fiction,Defense Grid,Steam Vents,Seething Song,Inquisition of Kozilek
14,Steel Overseer,Daze,Rain of Filth,Ensnaring Bridge,Pentad prism,Brainstorm,Taiga,Tundra
15,Cranial Plating,Hallowed Fountain,Sign in Blood,Impulse,Intuition,Arid Mesa,Tropical Island,Deathrite Shaman
16,"Sai, Master Thopterist",Cryptic Command,Chrome Mox,Trinisphere,Memory Jar,Vendilion Clique,Show and Tell,"Thalia, Guardian of Thraben"
17,Foundry Inspector,Mindbreak Trap,Distress,"Search for Azcanta // Azcanta, the Sunken Ruin",Voltaic Key,Splinter Twin,Oath of Druids,Unexpectedly Absent
18,Chief of the Foundry,Spell Snare,Cruel Bargain,Force Spike,Transmute Artifact,Miscalculation,Forbidden Orchard,Windswept Heath
19,Phyrexian Revoker,Fragmentize,Bubbling Muck,Stasis,Everflowing chalice,Serum Visions,Ancient Grudge,Arcane Denial
20,Signal Pest,Dispel,Lion's Eye Diamond,"Jace, Architect of Thought",Boomerang,True-Name Nemesis,Sensei's Divining Top,Glen Elendra Archmage
21,Vault Skirge,Supreme Verdict,Dismember,Memory Lapse,Regrowth,Fiery Confluence,Inferno Titan,Dark Confidant
22,Inkmoth Nexus,Pestermite,Yawgmoth's Bargain,Spell Queller,Carpet of Flowers,Red Elemental Blast,Pyroblast,Nimble Obstructionist
23,Blinkmoth Nexus,Deceiver Exarch,Infernal Contract,Power Sink,Channel,Reanimate,Ricochet Trap,Underground Sea
24,Memnite,Sorcerous Spyglass,Unmask,Pithing Needle,Lodestone golem,"Iona, Shield of Emeria",Verdant Catacombs,"Kataki, War's Wage"
