,Sphagan,STI,Matt,Devon,Quincy,Josh,Ever,Ian
Date,2023-07-09,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1WIMMwsJaDuhA9BsZEMcFooCoYMq9qyBTWvpkJ_RtcGQ/edit#gid=0,,,,,,,
Wins,3,4,3,0,2,0,0,2
Losses,2,0,4,2,0,3,3,0
1,Black Lotus,Ancestral Recall,Mana Crypt,Mox Sapphire,Sol Ring,Mox Jet,Mox Ruby,Time Vault
2,Orcish Bowmasters,Force of Negation,Ancient Tomb,Tinker,Force of Will,Time Walk,Mox Emerald,Mox Pearl
3,Wheel of Fortune,Spell Pierce,White Plume Adventurer,Mana Vault,Mana Drain,Demonic Tutor,Mox Diamond,Fastbond
4,"Sheoldred, the Apocalypse",Snapcaster Mage,Chrome Mox,Mox Opal,"Oko, Thief of Crowns",Vampiric Tutor,"Ragavan, Nimble Pilferer",Strip Mine
5,Grim Monolith,Mental Misstep,Lightning Bolt,Mana Leak,Counterspell,Gitaxian Probe,Verdant Catacombs,Urza's Saga
6,Inquisition of Kozilek,Mystical Tutor,Windswept Heath,Preordain,Hullbreacher,Dark Ritual,Thoughtseize,Green Sun's Zenith
7,Hymn to Tourach,Ponder,Arid Mesa,Remand,Daze,Mind Twist,"Boseiju, Who Endures",Flooded Strand
8,Lurrus of the Dream-Den,Misty Rainforest,Stoneforge Mystic,Prismatic Vista,Scalding Tarn,Polluted Delta,Bloodstained Mire,Tropical Island
9,Caves of Chaos Adventurer,Library of Alexandria,"Minsc & Boo, Timeless Heroes","Jace, the Mind Sculptor","Narset, Parter of Veils",Marsh Flats,Badlands,Dark Depths
10,Bitterblossom,"Jace, Vryn's Prodigy",Savannah,True-Name Nemesis,Volcanic Island,Lotus Petal,Taiga,Thespian's Stage
11,Liliana of the Veil,"Teferi, Time Raveler",Undermountain Adventurer,Dack Fayden,Brainstorm,Underworld Breach,Wooded Foothills,Wasteland
12,Pyroblast,Tundra,"Comet, Stellar Pup",Faithless Looting,Breeding Pool,Blood Crypt,Stomping Ground,Exploration
13,Red Elemental Blast,Consider,Plateau,Fable of the Mirror-Breaker,Thought Scour,Underground Sea,Veil of Summer,Crop Rotation
14,Dauthi Voidwalker,Brazen Borrower,Hexdrinker,"Kiki-Jiki, Mirror Breaker",Timetwister,The One Ring,Wrenn and Six,Swords to Plowshares
15,Seasoned Pyromancer,Mental Note,Path to Exile,Tolarian Academy,Splinter Twin,Duress,Dark Confidant,Temple Garden
16,Phyrexian Revoker,Hallowed Fountain,"Thalia, Guardian of Thraben",Pestermite,Archmage's Charm,Lion's Eye Diamond,Reanimate,Collector Ouphe
17,Abrade,Shelldock Isle,Thought-Knot Seer,Deceiver Exarch,"Emrakul, The Aeons Torn",Imperial Seal,Grief,Elvish Reclaimer
18,"Karn, the Great Creator",Karakas,"Laelia, the Blade Reforged",Blightsteel Colossus,Griselbrand,Necropotence,Fury,Endurance
