,Eric,Mark,Brandon,Cody,Stephen,Heidi,Sam,Vince
Date,2023-05-20,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/17PWu9Z57MhopkbNHZjAYrSAfsEFBqtBy-TCwIQo4PfY/edit#gid=0,,,,,,,
Wins,5,6,2,6,3,4,1,1
Losses,2,1,5,1,4,3,6,6
1,Black Lotus,Ancestral Recall,Mana Crypt,Sol Ring,Mox Ruby,mox diamond,Mox Jet,Mox Emerald
2,Urza's Saga,Force of Will,Hexdrinker,Mox SapphIre,TIme Walk,chrome mox,"Ragavan, Nimble Pilferer",Mox Pearl
3,"Karn, the Great Creator",Force of Negation,Ancient Tomb,"Teferi, Time Raveler",Snapcaster Mage,white plume adventurer,Inquisition of Kozilek,Wasteland
4,"Minsc & Boo, Timeless Heroes",Strip Mine,Channel,Stoneforge Mystic,Spell Pierce,grand abolisher,Prismatic Vista,The Tabernacle at Pendrell Vale
5,"Comet, Stellar Pup",Hullbreacher,Fastbond,Solitude,Lightning Bolt,march of otherworldly light,Lotus Petal,Crucible of Worlds
6,Grim Monolith,Mana Drain,Mana Vault,Esper Sentinel,Gitaxian Probe,swords to plowshares,Thoughtseize,Ramunap Excavator
7,Wrenn and Six,Tinker,Sensei's Divining Top,Balance,Scalding Tarn,"thalia, guardian of thraben",Skullclamp,Life from the Loam
8,Wooded Foothills,"Oko, Thief of Crowns",Sylvan Library,Skyclave Apparition,Volcanic Island,mother of runes,Reanimate,"Boseiju, who endures"
9,Windswept Heath,Time Vault,Crop Rotation,Flooded Strand,Wheel of Fortune,null rod,Bloodstained Mire,Collector Ouphe
10,Red Elemental Blast,Misty Rainforest,Thought-Knot Seer,Tundra,Polluted Delta,loran of the third path,Badlands,Dauthi Voidwalker
11,Veil of Summer,Verdant Catacombs,Allosaurus Shepherd,Umezawa's Jitte,Ponder,karakas,Bitterblossom,Bayou
12,City of Traitors,Underground Sea,"Nissa, Who Shakes the World",Seasoned Dungeoneer,Preordain,containment priest,Goblin Assault,Taiga
13,Birds of Paradise,Demonic Tutor,Once Upon a Time,Ephemerate,"Lutri, the Spellchaser",rest in peace,unearth,Dark Depths
14,Caves of Chaos Adventurer,"Urza, Lord High Artificer",Questing Beast,Spell Queller,Blood Crypt,lurrus of the dream-den,Fury,Thespian's Stage
15,"Laelia, the Blade Reforged",Vampiric Tutor,"Yavimaya, Cradle of Growth",Archon of Emeria,Pyroblast,dawnbringer cleric,"Ob Nixilis, the Adversary",Elvish Reclaimer
16,Ignoble Hierarch,Marsh Flats,Joraga Treespeaker,Teferi's Protection,"Ob Nixilis, Captive Kingpin","Greymond, Avacyn's Stalwart",Vexing Devil,Vampire Hexmage
17,Bonecrusher Giant,"Narset, Parter of Veils",Cavern of Souls,Drannith Magistrate,Abrade,"Adeline, Resplendent Cathar",Goblin Rabblemaster,"Urborg, Tomb of Yawgmoth"
