,Leigh 5-2 1st,Austen 4-3 4th,Fil 5-2 3rd,DJ 3-4 6th,Ben 5-2 2nd,Tyler 1-6 Last,Cam 3-4 5th,Nathan 2-5 7th
Wins,5,4,5,3,5,1,3,2
Losses,2,3,2,4,2,6,4,5
Date,2014-08-11,,,,,,,
1,Black Lotus,Ancestral Recall,Sol Ring,Mox Sapphire,Mox Jet,Mox Emerald,Mana Crypt,Mox Ruby
2,Yawgmoth's Will,Time Walk,Tolarian Academy,Mana Vault,Library of Alexandria,Mox Diamond,Time Vault,Mox Pearl
3,Channel,Force of Will,Strip Mine,Tinker,Mind Twist,Entomb,Grim Monolith,Wheel of Fortune
4,Bazaar of Baghdad,Mana Drain,Mishra's Workshop,Mystical Tutor,Thoughtseize,Crucible of Worlds,Voltaic Key,Ancient Tomb
5,Lion's Eye Diamond,Mental Misstep,Maze of Ith,Flash,Dark Confidant,Life from the Loam,Demonic Tutor,Windfall
6,Thopter Foundry,Vendilion Clique,Smokestack,Blightsteel Colossus,Liliana of the Veil,Bloodghast,Vampiric Tutor,"Tezzeret, Agent of Bolas"
7,Sword of the Meek,Snapcaster Mage,Wasteland,Show and Tell,Dark Depths,Skullclamp,Duress,Metalworker
8,Painter's Servant,Spell Pierce,Umezawa's Jitte,"Emrakul, the Aeons Torn",Inquisition of Kozilek,Ancient Grudge,Enlightened Tutor,Wurmcoil Engine
9,Grindstone,"Jace, the Mind Sculptor",Lodestone Golem,Sensei's Divining Top,Imperial Seal,Crop Rotation,Helm of Obedience,Scalding Tarn
10,Auriok Salvagers,Null Rod,Trinket Mage,Tropical Island,Bloodstained Mire,Verdant Catacombs,Leyline of the Void,Polluted Delta
11,Academy Ruins,True-Name Nemesis,Trinisphere,Misdirection,Marsh Flats,Fastbond,Scrubland,Lotus Petal
12,Basalt Monolith,Ponder,Phyrexian Metamorph,Daze,Badlands,Stony Silence,Necropotence,Memory Jar
13,Wake Thrasher,Spell Snare,Phyrexian Revoker,Gush,Goblin Guide,Zuran Orb,Dark Ritual,Timetwister
14,Gorilla Shaman,Preordain,Karn Liberated,Breeding Pool,"Urborg, Tomb of Yawgmoth",Wooded Foothills,Hymn to Tourach,Balance
15,Dack Fayden,Counterspell,Relic of Progenitus,Misty Rainforest,Lightning Bolt,Taiga,Chrome Mox,Arcbound Ravager
16,Tezzeret the Seeker,Stoneforge Mystic,Mox Opal,Seat of the Synod,Thespian's Stage,Savannah,Tendrils of Agony,Cranial Plating
17,Liquimetal Coating,Batterskull,Etched Champion,Tree of Tales,Pyroblast,Volrath's Stronghold,Grim Tutor,Vault of Whispers
18,Pestermite,Swords to Plowshares,Pithing Needle,Brainstorm,Smash to Smithereens,Tarmogoyf,Cabal Ritual,Disciple of the Vault
19,Splinter Twin,Mana Leak,Phantasmal Image,"Kiki-Jiki, Mirror Breaker",Bitterblossom,Qasali Pridemage,Unmask,Master of Etherium
20,"Melira, Sylvok Outcast",Remand,Sculpting Steel,Thirst for Knowledge,Lingering Souls,Bayou,Gitaxian Probe,Springleaf Drum
21,Murderous Redcap,Delver of Secrets // Insectile Aberration,Sphere of Resistance,Karmic Guide,Plateau,Exploration,Underground Sea,Lightning Greaves
22,Deceiver Exarch,Steel Sabotage,Candelabra of Tawnos,Protean Hulk,Tangle Wire,Arid Mesa,Flooded Strand,Myr Battlesphere
