,trashboat6824,bensonericb,xxxmason1337xxx,wanderingwinder,everbrink,masterplum,sphagan,jasterrogue7
Date,2023-08-01,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1BGslsWtuONNMavCc0LokNO_v5UEzDa0YklRutIClL58/edit#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Ancestral Recall,Black Lotus,Mana Crypt,Mox Sapphire,Mox Jet,Mox Ruby,Mox Pearl,Sol Ring
2,Strip Mine,Underworld Breach,Urza's Saga,Mana Drain,Force of Will,Time Walk,White Plume Adventurer,Mox Emerald
3,Fastbond,Lion's Eye Diamond,Thoughtseize,Force of Negation,Time Vault,"Ragavan, Nimble Pilferer",Ancient Tomb,Hexdrinker
4,"Oko, Thief of Crowns",Chrome Mox,"Karn, the Great Creator",Demonic Tutor,Tinker,Snapcaster Mage,Mana Vault,Grim Monolith
5,Mox Diamond,Vampiric Tutor,Verdant Catacombs,Hullbreacher,Polluted Delta,Mental Misstep,Solitude,"Minsc & Boo, Timeless Heroes"
6,Misty Rainforest,Prismatic Vista,Wrenn and Six,Underground Sea,Gitaxian Probe,Spell Pierce,Orcish Bowmasters,The One Ring
7,"Narset, Parter of Veils",Thassa's Oracle,Wooded Foothills,Flooded Strand,Scalding Tarn,Caves of Chaos Adventurer,Lightning Bolt,Windswept Heath
8,Timetwister,Bloodstained Mire,"Sheoldred, the Apocalypse",Marsh Flats,Pyroblast,Brazen Borrower,Fable of the Mirror-Breaker,Veil of Summer
9,"Teferi, Time Raveler",Watery Grave,Dauthi Voidwalker,"Jace, Vryn's Prodigy",Red Elemental Blast,"Laelia, the Blade Reforged","Comet, Stellar Pup",Arid Mesa
10,Tropical Island,Steam Vents,Badlands,Reanimate,Grief,Volcanic Island,Inquisition of Kozilek,Birds of Paradise
11,Noble Hierarch,Flusterstorm,Duress,Dark Ritual,Dack Fayden,Abrade,Swords to Plowshares,Walking Ballista
12,Delighted Halfling,Brain Freeze,Abrupt Decay,Ledger Shredder,Ponder,Preordain,Prismatic Ending,Enlightened Tutor
13,Vendilion Clique,Lotus Petal,"Boseiju, Who Endures",Hymn to Tourach,Baleful Strix,Counterspell,Skyclave Apparition,Once Upon a Time
14,Brainstorm,Expressive Iteration,Dragon's Rage Channeler,Entomb,Flash,"Lutri, the Spellchaser",Thought-Knot Seer,Stoneforge Mystic
15,True-Name Nemesis,Demonic Consultation,Assassin's Trophy,Shelldock Isle,Fury,Mercurial Spelldancer,Forth Eorlingas!,Wasteland
16,"Yavimaya, Cradle of Growth",Tainted Pact,Toxic Deluge,Karakas,Tainted Indulgence,Mystical Tutor,Faithless Looting,Ignoble Hierarch
17,Sevinne's Reclamation,An Offer You Can't Refuse,Opposition Agent,"Otawara, Soaring City",Animate Dead,Subtlety,Plateau,Taiga
18,Path to Exile,Hydroblast,Dark Confidant,Exhume,Leyline of the Void,Mishra's Bauble,Necromancy,Savannah
19,Temple Garden,Yawgmoth's Will,Endurance,Liliana of the Veil,Blue Elemental Blast,Spirebluff Canal,Seasoned Dungeoneer,Deathrite Shaman
20,Rest in Peace,Muddle the Mixture,Scavenging Ooze,Cryptic Command,Wurmcoil Engine,Robber of the Rich,Palace Jailer,Ranger-Captain of Eos
21,Undermountain Adventurer,Chain of Vapor,Skullclamp,Sunken Ruins,Xander's Lounge,Stern Scolding,Touch the Spirit Realm,Lion Sash
