,Talanthalos,ssrego,RagingLevine,sti,becurry,JasterRogue7,CommonOpponent,Stephen Hagan
Date,2022-01-08,,,,,,,
Notes,https://discord.com/channels/648329034211786752/923341061802299472,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Ancestral Recall,Fastbond,Black Lotus,Mox Sapphire,Mox Ruby,Mana Crypt,Mox Jet,Mox Emerald
2,Time Walk,"Ragavan, Nimble Pilferer",Time Vault,Tinker,Strip Mine,Sol Ring,Mox Pearl,"Oko, Thief of Crowns"
3,Force of Will,Prismatic Vista,"Karn, the Great Creator",Mox Diamond,Hullbreacher,"Teferi, Time Raveler",Mana Vault,"Urza, Lord High Artificer"
4,Spell Pierce,Wasteland,Demonic Tutor,Mana Drain,Tolarian Academy,"Narset, Parter of Veils",Thoughtseize,Force of Negation
5,Snapcaster Mage,Wooded Foothills,Inquisition of Kozilek,Misty Rainforest,Scalding Tarn,Flooded Strand,Polluted Delta,Tropical Island
6,Arid Mesa,Red Elemental Blast,Verdant Catacombs,Preordain,Volcanic Island,Tundra,Vampiric Tutor,Underground Sea
7,Ponder,Taiga,Grim Monolith,Chrome Mox,Plateau,Windswept Heath,Dark Confidant,Mental Misstep
8,Hallowed Fountain,Faithless Looting,Marsh Flats,Shelldock Isle,Esper Sentinel,Daze,Skullclamp,Bayou
9,Steam Vents,Veil of Summer,Watery Grave,Ancient Tomb,Timetwister,Prismatic Ending,Remand,"Nissa, Who Shakes the World"
10,Path to Exile,Courser of Kruphix,Counterspell,Show and Tell,Sensei's Divining Top,Swords to Plowshares,Stoneforge Mystic,Sylvan Library
11,Thieving Skydiver,Manamorphose,Urza's Saga,Blightsteel Colossus,"Emrakul, The Aeons Torn",Containment Priest,Hymn to Tourach,Abrupt Decay
12,Bloodstained Mire,Ramunap Excavator,Imperial Seal,Breeding Pool,Dack Fayden,"Dovin, Hand of Control",Duress,"Karn, Scion of Urza"
13,Brainstorm,Goblin Anarchomancer,Tezzeret the Seeker,Dig Through Time,Crucible of Worlds,Mana Leak,Null Rod,Bitterblossom
14,Brazen Borrower // Petty Theft,Ignoble Hierarch,"Jace, the Mind Sculptor",Gitaxian Probe,Mystical Tutor,Spell Queller,Scrubland,Mystical Dispute
15,Library of Alexandria,Dockside Extortionist,Transmute Artifact,Merchant Scroll,Enlightened tutor,Dovin's Veto,Night's Whisper,Vendilion Clique
16,Flusterstorm,Questing Beast,Treasure Cruise,Griselbrand,Balance,Opt,"Thalia, Guardian of Thraben",Dryad of the Ilysian Grove
17,True-Name Nemesis,Bloodbraid Elf,Mox Opal,Consider,Sneak Attack,Chain of Vapor,Serum Visions,Winter Orb
18,Pyroblast,Lotus Cobra,Grindstone,Seat of the Synod,Lotus Petal,Subtlety,Negate,Birds of Paradise
19,Abrade,"Moraug, Fury of Akoum",Painter's Servant,Oath of Druids,Walking Ballista,Humility,Fracture,Pentad Prism
20,Spellseeker,Destiny Spinner,Trinket Mage,Frantic Search,Lightning Bolt,Solitude,Godless Shrine,Thought Erasure
21,Fragmentize,Collector Ouphe,Muddle the Mixture,High Tide,"Emry, Lurker of the Loch","Lavinia, Azorius Renegade",Fateful Absence,Suspicious Stowaway // Seafaring Werewolf
22,Monastery Mentor,Punishing Fire,City of Traitors,Cunning Wish,Memory Jar,Geist of Saint Traft,Tidehollow Sculler,Cemetery Prowler
23,Young Pyromancer,Court of Bounty,Swan Song,Thought Scour,Dragon's Rage Channeler,Malevolent Hermit // Benevolent Geist,Darkslick Shores,"Ashiok, Dream Render"
